Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2e-06,22.989696,[24  5] ; [ 3 18],[15.66 13.34] ; [11.34  9.66],1
r3,1,0.000156,14.2994,[25  3] ; [ 8 13],[18.85714286  9.14285714] ; [14.14285714  6.85714286],1
r4,1,0.006719,7.346671,[11 18] ; [ 1 20],[ 6.96 22.04] ; [ 5.04 15.96],0
s8,1,0.006719,7.346671,[11 18] ; [ 1 20],[ 6.96 22.04] ; [ 5.04 15.96],0
p2,1,0.007135,7.238643,[22  7] ; [ 8 13],[17.4 11.6] ; [12.6  8.4],0
p4,1,0.013284,6.13092,[12 17] ; [ 2 19],[ 8.12 20.88] ; [ 5.88 15.12],0
p11,1,0.01764,5.631571,[22  7] ; [ 9 12],[17.98 11.02] ; [13.02  7.98],0
d3,1,0.019284,5.475559,[18 11] ; [ 6 15],[13.92 15.08] ; [10.08 10.92],0
n6,1,0.038192,4.296437,[19  9] ; [ 8 13],[15.42857143 12.57142857] ; [11.57142857  9.42857143],0
v4,1,0.054832,3.687178,[19 10] ; [ 8 13],[15.66 13.34] ; [11.34  9.66],0
a5,1,0.061448,3.497857,[16 13] ; [ 6 15],[12.76 16.24] ; [ 9.24 11.76],0
v3,1,0.065104,3.402338,[ 7 22] ; [ 1 20],[ 4.64 24.36] ; [ 3.36 17.64],0
p8,1,0.128955,2.305043,[10 19] ; [ 3 17],[ 7.69387755 21.30612245] ; [ 5.30612245 14.69387755],0
s7,1,0.137963,2.200528,[ 8 20] ; [ 2 17],[ 5.95744681 22.04255319] ; [ 4.04255319 14.95744681],0
d4,1,0.145241,2.121533,[21  8] ; [11 10],[18.56 10.44] ; [13.44  7.56],0
s4,1,0.191897,1.70299,[ 2 27] ; [ 4 17],[ 3.48 25.52] ; [ 2.52 18.48],0
v1,1,0.230238,1.439388,[10 19] ; [ 4 17],[ 8.12 20.88] ; [ 5.88 15.12],0
b5,1,0.233085,1.421936,[20  9] ; [11 10],[17.98 11.02] ; [13.02  7.98],0
p7,1,0.242469,1.36618,[13 16] ; [ 6 15],[11.02 17.98] ; [ 7.98 13.02],0
n3,1,0.264589,1.244589,[6 6] ; [8 3],[7.30434783 4.69565217] ; [6.69565217 4.30434783],0
s6,1,0.290696,1.116396,[14 15] ; [ 7 14],[12.18 16.82] ; [ 8.82 12.18],0
p1,1,0.371948,0.797144,[ 1 28] ; [ 2 19],[ 1.74 27.26] ; [ 1.26 19.74],0
b1,1,0.412878,0.670498,[16 13] ; [14  7],[17.4 11.6] ; [12.6  8.4],0
b4,1,0.416304,0.660724,[19 10] ; [16  5],[20.3  8.7] ; [14.7  6.3],0
n5,1,0.493315,0.469288,[18 11] ; [11 10],[16.82 12.18] ; [12.18  8.82],0
a4,1,0.519528,0.41483,[ 6 23] ; [ 6 15],[ 6.96 22.04] ; [ 5.04 15.96],0
u2,1,0.530236,0.393939,[10  5] ; [6 5],[9.23076923 5.76923077] ; [6.76923077 4.23076923],0
n1,1,0.537892,0.379461,[ 2 10] ; [3 8],[2.60869565 9.39130435] ; [2.39130435 8.60869565],0
a6,1,0.547089,0.362558,[10 19] ; [ 9 12],[11.02 17.98] ; [ 7.98 13.02],0
a8,1,0.590879,0.288974,[ 4 22] ; [ 2 18],[ 3.39130435 22.60869565] ; [ 2.60869565 17.39130435],0
n4,1,0.597746,0.278409,[16 13] ; [10 11],[15.08 13.92] ; [10.92 10.08],0
u3,1,0.61193,0.257374,[ 4 11] ; [2 9],[ 3.46153846 11.53846154] ; [2.53846154 8.46153846],0
p6,1,0.625137,0.238713,[ 3 26] ; [ 3 17],[ 3.55102041 25.44897959] ; [ 2.44897959 17.55102041],0
s5,1,0.646587,0.21023,[ 4 25] ; [ 2 19],[ 3.48 25.52] ; [ 2.52 18.48],0
d2,1,0.661612,0.191571,[ 8 21] ; [ 7 14],[ 8.7 20.3] ; [ 6.3 14.7],0
d5,1,0.70436,0.143976,[14 15] ; [ 9 12],[13.34 15.66] ; [ 9.66 11.34],0
s3,1,0.732954,0.116416,[ 7 22] ; [ 4 16],[ 6.51020408 22.48979592] ; [ 4.48979592 15.51020408],0
s1,1,0.73538,0.114229,[ 2 27] ; [ 2 19],[ 2.32 26.68] ; [ 1.68 19.32],0
r1,1,0.738161,0.11175,[11 18] ; [ 7 14],[10.44 18.56] ; [ 7.56 13.44],0
b2,1,0.741854,0.108503,[ 4 11] ; [ 3 11],[ 3.62068966 11.37931034] ; [ 3.37931034 10.62068966],0
b3,1,0.741854,0.108503,[ 4 11] ; [ 3 11],[ 3.62068966 11.37931034] ; [ 3.37931034 10.62068966],0
p12,1,0.753751,0.098406,[ 2 27] ; [ 1 20],[ 1.74 27.26] ; [ 1.26 19.74],0
d1,1,0.792669,0.069088,[ 6 23] ; [ 5 16],[ 6.38 22.62] ; [ 4.62 16.38],0
v2,1,0.792816,0.068988,[10 19] ; [ 8 13],[10.44 18.56] ; [ 7.56 13.44],0
n2,1,0.827435,0.047521,[6 6] ; [5 6],[5.73913043 6.26086957] ; [5.26086957 5.73913043],0
a7,1,0.845025,0.038208,[16 13] ; [11 10],[15.66 13.34] ; [11.34  9.66],0
s2,1,0.886079,0.020525,[ 6 23] ; [ 4 17],[ 5.8 23.2] ; [ 4.2 16.8],0
a3,1,0.905544,0.01408,[14 15] ; [10 10],[14.20408163 14.79591837] ; [ 9.79591837 10.20408163],0
a1,1,0.923909,0.009122,[ 3 26] ; [ 2 19],[ 2.9 26.1] ; [ 2.1 18.9],0
