Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,44.695238,[11 49] ; [54 16],[30. 30.] ; [35. 35.],1
d4,1,0.0,40.041032,[31 29] ; [69  1],[46.15384615 13.84615385] ; [53.84615385 16.15384615],1
d3,1,0.0,34.021624,[23 35] ; [62  8],[38.515625 19.484375] ; [46.484375 23.515625],1
a2,1,6e-06,20.585949,[ 2 58] ; [25 45],[12.46153846 47.53846154] ; [14.53846154 55.46153846],1
u1,1,9e-06,19.651806,[ 1 59] ; [22 48],[10.61538462 49.38461538] ; [12.38461538 57.61538462],1
a5,1,3e-05,17.395718,[29 31] ; [58 12],[40.15384615 19.84615385] ; [46.84615385 23.15384615],1
a4,1,3.7e-05,17.026757,[16 44] ; [44 26],[27.69230769 32.30769231] ; [32.30769231 37.69230769],1
a3,1,5.9e-05,16.137368,[31 29] ; [59 11],[41.53846154 18.46153846] ; [48.46153846 21.53846154],1
r1,1,0.006949,7.286088,[36 24] ; [57 13],[42.92307692 17.07692308] ; [50.07692308 19.92307692],0
n4,1,0.010936,6.47572,[39 21] ; [59 11],[45.23076923 14.76923077] ; [52.76923077 17.23076923],0
u3,1,0.011045,6.458136,[13 15] ; [10  1],[16.51282051 11.48717949] ; [6.48717949 4.51282051],0
r4,1,0.03019,4.698446,[48 12] ; [65  5],[52.15384615  7.84615385] ; [60.84615385  9.15384615],0
s8,1,0.031284,4.637327,[20 40] ; [36 33],[26.04651163 33.95348837] ; [29.95348837 39.04651163],0
p4,1,0.033602,4.514837,[39 21] ; [57 13],[44.30769231 15.69230769] ; [51.69230769 18.30769231],0
u2,1,0.034356,4.476902,[16 13] ; [10  1],[18.85 10.15] ; [7.15 3.85],0
n3,1,0.04674,3.954737,[12  7] ; [18  2],[14.61538462  4.38461538] ; [15.38461538  4.61538462],0
s6,1,0.05099,3.808588,[35 23] ; [52 16],[40.04761905 17.95238095] ; [46.95238095 21.04761905],0
r2,1,0.094475,2.796416,[53  6] ; [66  2],[55.28346457  3.71653543] ; [63.71653543  4.28346457],0
s3,1,0.169907,1.88376,[32 28] ; [45 24],[35.81395349 24.18604651] ; [41.18604651 27.81395349],0
p5,1,0.176912,1.823377,[12 48] ; [ 8 62],[ 9.23076923 50.76923077] ; [10.76923077 59.23076923],0
n6,1,0.176912,1.823377,[48 12] ; [62  8],[50.76923077  9.23076923] ; [59.23076923 10.76923077],0
p7,1,0.177921,1.814905,[50  8] ; [53 16],[47.03937008 10.96062992] ; [55.96062992 13.03937008],0
p9,1,0.181731,1.783409,[47 13] ; [61  9],[49.84615385 10.15384615] ; [58.15384615 11.84615385],0
p1,1,0.239794,1.381803,[ 6 54] ; [12 58],[ 8.30769231 51.69230769] ; [ 9.69230769 60.30769231],0
s7,1,0.248195,1.333438,[29 28] ; [41 26],[32.17741935 24.82258065] ; [37.82258065 29.17741935],0
