Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2e-06,22.586538,[25  7] ; [ 4 22],[16. 16.] ; [13. 13.],1
d5,1,4e-06,21.38194,[31  1] ; [11 15],[23.17241379  8.82758621] ; [18.82758621  7.17241379],1
d4,1,9.3e-05,15.272666,[31  1] ; [14 12],[24.82758621  7.17241379] ; [20.17241379  5.82758621],1
d3,1,0.000154,14.320155,[30  2] ; [13 13],[23.72413793  8.27586207] ; [19.27586207  6.72413793],1
a3,1,0.003993,8.287042,[22 10] ; [ 8 18],[16.55172414 15.44827586] ; [13.44827586 12.55172414],0
n4,1,0.011368,6.40688,[24  8] ; [11 15],[19.31034483 12.68965517] ; [15.68965517 10.31034483],0
r4,1,0.021572,5.27997,[28  4] ; [16 10],[24.27586207  7.72413793] ; [19.72413793  6.27586207],0
r1,1,0.023753,5.112594,[27  5] ; [15 11],[23.17241379  8.82758621] ; [18.82758621  7.17241379],0
a5,1,0.048818,3.881596,[24  8] ; [13 13],[20.4137931 11.5862069] ; [16.5862069  9.4137931],0
r2,1,0.049868,3.845898,[30  1] ; [21  5],[27.73684211  3.26315789] ; [23.26315789  2.73684211],0
s8,1,0.05094,3.810234,[12 19] ; [ 4 22],[ 8.70175439 22.29824561] ; [ 7.29824561 18.70175439],0
p10,1,0.06073,3.517337,[15 17] ; [ 6 20],[11.5862069 20.4137931] ; [ 9.4137931 16.5862069],0
n5,1,0.075767,3.153442,[21 11] ; [11 15],[17.65517241 14.34482759] ; [14.34482759 11.65517241],0
u1,1,0.083137,3.002478,[ 6 26] ; [ 1 25],[ 3.86206897 28.13793103] ; [ 3.13793103 22.86206897],0
p2,1,0.092799,2.825128,[27  5] ; [17  9],[24.27586207  7.72413793] ; [19.72413793  6.27586207],0
p7,1,0.093121,2.81958,[21  9] ; [23  3],[23.57142857  6.42857143] ; [20.42857143  5.57142857],0
v4,1,0.098055,2.736901,[31  1] ; [22  4],[29.24137931  2.75862069] ; [23.75862069  2.24137931],0
b4,1,0.146583,2.107453,[22 10] ; [13 13],[19.31034483 12.68965517] ; [15.68965517 10.31034483],0
a7,1,0.162501,1.950794,[24  8] ; [15 11],[21.51724138 10.48275862] ; [17.48275862  8.51724138],0
u3,1,0.193868,1.687977,[7 3] ; [ 8 10],[5.35714286 4.64285714] ; [9.64285714 8.35714286],0
p11,1,0.213174,1.549741,[20 12] ; [12 14],[17.65517241 14.34482759] ; [14.34482759 11.65517241],0
p1,1,0.242895,1.363716,[ 4 28] ; [ 1 25],[ 2.75862069 29.24137931] ; [ 2.24137931 23.75862069],0
