Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.5e-05,18.756213,[123  16] ; [5 7],[117.82781457  21.17218543] ; [10.17218543  1.82781457],1
p10,1,0.002545,9.108108,[108  27] ; [5 7],[103.7755102  31.2244898] ; [9.2244898 2.7755102],0
r1,1,0.011363,6.407686,[105  34] ; [5 7],[101.25827815  37.74172185] ; [8.74172185 3.25827815],0
v2,1,0.047319,3.933998,[65 67] ; [2 9],[61.84615385 70.15384615] ; [5.15384615 5.84615385],0
v4,1,0.068514,3.318279,[132   6] ; [10  2],[130.64   7.36] ; [11.36  0.64],0
u3,1,0.074791,3.174615,[35 29] ; [1 5],[32.91428571 31.08571429] ; [3.08571429 2.91428571],0
s5,1,0.075705,3.154786,[34 97] ; [6 6],[36.64335664 94.35664336] ; [3.35664336 8.64335664],0
p9,1,0.109033,2.568187,[113  23] ; [7 4],[111.02040816  24.97959184] ; [8.97959184 2.02040816],0
a6,1,0.130298,2.288945,[88 50] ; [5 7],[85.56 52.44] ; [7.44 4.56],0
a7,1,0.144699,2.127265,[87 51] ; [5 7],[84.64 53.36] ; [7.36 4.64],0
r2,1,0.148514,2.087451,[123  15] ; [9 3],[121.44  16.56] ; [10.56  1.44],0
v1,1,0.168335,1.897705,[62 74] ; [3 9],[59.72972973 76.27027027] ; [5.27027027 6.72972973],0
n6,1,0.169435,1.887936,[115  24] ; [8 4],[113.22516556  25.77483444] ; [9.77483444 2.22516556],0
b1,1,0.169995,1.88299,[53 86] ; [7 5],[55.23178808 83.76821192] ; [4.76821192 7.23178808],0
b5,1,0.188198,1.731668,[77 62] ; [9 3],[79.16556291 59.83443709] ; [6.83443709 5.16556291],0
d4,1,0.193385,1.691638,[73 65] ; [4 8],[70.84 67.16] ; [6.16 5.84],0
d3,1,0.230951,1.434998,[59 79] ; [3 9],[57.04 80.96] ; [4.96 7.04],0
p1,1,0.257508,1.282107,[ 18 119] ; [3 9],[ 19.30872483 117.69127517] ; [ 1.69127517 10.30872483],0
v3,1,0.293993,1.101243,[46 91] ; [2 9],[44.43243243 92.56756757] ; [3.56756757 7.43243243],0
b4,1,0.319493,0.99102,[84 55] ; [9 3],[85.60927152 53.39072848] ; [7.39072848 4.60927152],0
s6,1,0.372032,0.796866,[80 55] ; [5 6],[78.59589041 56.40410959] ; [6.40410959 4.59589041],0
n2,1,0.372078,0.796714,[22  6] ; [3 2],[21.21212121  6.78787879] ; [3.78787879 1.21212121],0
d2,1,0.384929,0.754902,[ 31 108] ; [4 8],[ 32.21854305 106.78145695] ; [2.78145695 9.21854305],0
p2,1,0.406655,0.688558,[99 38] ; [10  2],[100.22147651  36.77852349] ; [8.77852349 3.22147651],0
a1,1,0.420325,0.649405,[  5 134] ; [ 1 11],[  5.52317881 133.47682119] ; [ 0.47682119 11.52317881],0
s1,1,0.549226,0.358705,[  6 128] ; [ 1 11],[  6.42465753 127.57534247] ; [ 0.57534247 11.42465753],0
u2,1,0.57218,0.319048,[35 29] ; [4 2],[35.65714286 28.34285714] ; [3.34285714 2.65714286],0
s8,1,0.581348,0.30406,[49 89] ; [3 8],[48.16107383 89.83892617] ; [3.83892617 7.16107383],0
p6,1,0.588885,0.292089,[44 91] ; [3 9],[43.16326531 91.83673469] ; [3.83673469 8.16326531],0
b3,1,0.591251,0.288395,[33 52] ; [2 5],[32.33695652 52.66304348] ; [2.66304348 4.33695652],0
b2,1,0.591251,0.288395,[33 52] ; [2 5],[32.33695652 52.66304348] ; [2.66304348 4.33695652],0
p3,1,0.609456,0.260968,[56 81] ; [4 8],[55.16778523 81.83221477] ; [4.83221477 7.16778523],0
p5,1,0.618465,0.248031,[ 16 120] ; [ 2 10],[ 16.54054054 119.45945946] ; [ 1.45945946 10.54054054],0
a4,1,0.633469,0.227387,[ 31 106] ; [ 2 10],[ 30.34228188 106.65771812] ; [2.65771812 9.34228188],0
s4,1,0.661128,0.192156,[ 27 110] ; [3 9],[ 27.58389262 109.41610738] ; [2.41610738 9.58389262],0
p4,1,0.739207,0.110825,[63 72] ; [5 7],[62.44897959 72.55102041] ; [5.55102041 6.44897959],0
n3,1,0.742715,0.107755,[24  4] ; [4 1],[23.75757576  4.24242424] ; [4.24242424 0.75757576],0
a3,1,0.771927,0.084016,[75 63] ; [6 6],[74.52 63.48] ; [6.48 5.52],0
p7,1,0.790892,0.070306,[78 55] ; [6 5],[77.58333333 55.41666667] ; [6.41666667 4.58333333],0
p12,1,0.823224,0.049907,[ 14 121] ; [ 1 11],[ 13.7755102 121.2244898] ; [ 1.2244898 10.7755102],0
n5,1,0.847397,0.037033,[95 42] ; [8 4],[94.70469799 42.29530201] ; [8.29530201 3.70469799],0
n1,1,0.854403,0.033673,[10 18] ; [2 3],[10.18181818 17.81818182] ; [1.81818182 3.18181818],0
s3,1,0.874142,0.02509,[71 64] ; [5 5],[70.75862069 64.24137931] ; [5.24137931 4.75862069],0
p8,1,0.881207,0.022332,[71 65] ; [6 5],[71.23809524 64.76190476] ; [5.76190476 5.23809524],0
a5,1,0.885043,0.020903,[72 66] ; [6 6],[71.76 66.24] ; [6.24 5.76],0
n4,1,0.959463,0.002583,[91 47] ; [8 4],[91.08 46.92] ; [7.92 4.08],0
s2,1,0.97021,0.001395,[57 78] ; [5 7],[56.93877551 78.06122449] ; [5.06122449 6.93877551],0
s7,1,0.977305,0.000809,[53 78] ; [4 6],[52.95744681 78.04255319] ; [4.04255319 5.95744681],0
