Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.044136,4.051339,[ 1 15] ; [5 9],[ 3.2 12.8] ; [ 2.8 11.2],0
b4,1,0.045126,4.013936,[11  6] ; [ 4 10],[8.22580645 8.77419355] ; [6.77419355 7.22580645],0
a5,1,0.055861,3.656199,[ 4 13] ; [8 6],[ 6.58064516 10.41935484] ; [5.41935484 8.58064516],0
n1,1,0.086359,2.940972,[5 3] ; [1 5],[3.42857143 4.57142857] ; [2.57142857 3.42857143],0
r1,1,0.092111,2.837088,[ 7 10] ; [10  4],[9.32258065 7.67741935] ; [7.67741935 6.32258065],0
u3,1,0.124541,2.359259,[8 1] ; [2 2],[6.92307692 2.07692308] ; [3.07692308 0.92307692],0
n5,1,0.125294,2.349866,[ 4 13] ; [7 7],[ 6.03225806 10.96774194] ; [4.96774194 9.03225806],0
a3,1,0.171188,1.872513,[8 9] ; [10  4],[9.87096774 7.12903226] ; [8.12903226 5.87096774],0
s8,1,0.171188,1.872513,[9 8] ; [ 4 10],[7.12903226 9.87096774] ; [5.87096774 8.12903226],0
r2,1,0.197213,1.662896,[15  2] ; [9 4],[13.6  3.4] ; [10.4  2.6],0
d4,1,0.238514,1.389356,[15  2] ; [10  4],[13.70967742  3.29032258] ; [11.29032258  2.70967742],0
d3,1,0.24179,1.370128,[10  7] ; [11  3],[11.51612903  5.48387097] ; [9.48387097 4.51612903],0
s3,1,0.252595,1.308892,[14  3] ; [9 5],[12.61290323  4.38709677] ; [10.38709677  3.61290323],0
p7,1,0.340405,0.908906,[7 8] ; [9 5],[8.27586207 6.72413793] ; [7.72413793 6.27586207],0
a7,1,0.376017,0.783683,[10  7] ; [6 8],[8.77419355 8.22580645] ; [7.22580645 6.77419355],0
p3,1,0.376017,0.783683,[ 7 10] ; [8 6],[8.22580645 8.77419355] ; [6.77419355 7.22580645],0
b3,1,0.405187,0.692877,[4 6] ; [2 7],[3.15789474 6.84210526] ; [2.84210526 6.15789474],0
b2,1,0.405187,0.692877,[4 6] ; [2 7],[3.15789474 6.84210526] ; [2.84210526 6.15789474],0
s2,1,0.436198,0.606264,[12  5] ; [8 6],[10.96774194  6.03225806] ; [9.03225806 4.96774194],0
v1,1,0.436198,0.606264,[ 5 12] ; [6 8],[ 6.03225806 10.96774194] ; [4.96774194 9.03225806],0
r4,1,0.436198,0.606264,[12  5] ; [8 6],[10.96774194  6.03225806] ; [9.03225806 4.96774194],0
p2,1,0.469094,0.52411,[14  3] ; [10  4],[13.16129032  3.83870968] ; [10.83870968  3.16129032],0
v2,1,0.51043,0.433185,[ 5 11] ; [6 8],[ 5.86666667 10.13333333] ; [5.13333333 8.86666667],0
r3,1,0.512691,0.428571,[14  2] ; [11  3],[13.33333333  2.66666667] ; [11.66666667  2.33333333],0
p10,1,0.549563,0.3581,[8 7] ; [9 5],[8.79310345 6.20689655] ; [8.20689655 5.79310345],0
u1,1,0.664901,0.187625,[ 2 15] ; [ 1 13],[ 1.64516129 15.35483871] ; [ 1.35483871 12.64516129],0
p6,1,0.732105,0.117188,[9 7] ; [7 7],[8.53333333 7.46666667] ; [7.46666667 6.53333333],0
n2,1,0.732678,0.116667,[6 2] ; [4 2],[5.71428571 2.28571429] ; [4.28571429 1.71428571],0
d5,1,0.749518,0.101936,[13  4] ; [10  4],[12.61290323  4.38709677] ; [10.38709677  3.61290323],0
p4,1,0.756014,0.096547,[ 7 10] ; [5 9],[ 6.58064516 10.41935484] ; [5.41935484 8.58064516],0
s6,1,0.795809,0.066964,[11  5] ; [9 5],[10.66666667  5.33333333] ; [9.33333333 4.66666667],0
p9,1,0.812126,0.056494,[9 6] ; [9 5],[9.31034483 5.68965517] ; [8.68965517 5.31034483],0
d1,1,0.815032,0.054728,[8 9] ; [6 8],[7.67741935 9.32258065] ; [6.32258065 7.67741935],0
s7,1,0.823218,0.049911,[10  6] ; [7 5],[9.71428571 6.28571429] ; [7.28571429 4.71428571],0
v4,1,0.869125,0.027149,[14  3] ; [11  2],[14.16666667  2.83333333] ; [10.83333333  2.16666667],0
b1,1,0.87046,0.026593,[9 8] ; [7 7],[8.77419355 8.22580645] ; [7.22580645 6.77419355],0
b5,1,0.87046,0.026593,[9 8] ; [7 7],[8.77419355 8.22580645] ; [7.22580645 6.77419355],0
p11,1,0.87046,0.026593,[8 9] ; [7 7],[8.22580645 8.77419355] ; [6.77419355 7.22580645],0
n3,1,0.872081,0.025926,[5 3] ; [4 2],[5.14285714 2.85714286] ; [3.85714286 2.14285714],0
a2,1,0.886948,0.020212,[ 1 16] ; [ 1 13],[ 1.09677419 15.90322581] ; [ 0.90322581 13.09677419],0
p8,1,0.892772,0.01817,[ 5 10] ; [5 9],[5.17241379 9.82758621] ; [4.82758621 9.17241379],0
s5,1,0.912219,0.012153,[7 9] ; [5 7],[6.85714286 9.14285714] ; [5.14285714 6.85714286],0
d2,1,0.924813,0.008906,[ 7 10] ; [6 8],[7.12903226 9.87096774] ; [5.87096774 8.12903226],0
a6,1,0.924813,0.008906,[10  7] ; [8 6],[9.87096774 7.12903226] ; [8.12903226 5.87096774],0
a4,1,0.980588,0.000592,[ 6 11] ; [5 9],[ 6.03225806 10.96774194] ; [4.96774194 9.03225806],0
