Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,32.924708,[110  30] ; [27 43],[91.33333333 48.66666667] ; [45.66666667 24.33333333],1
a6,1,5e-06,20.742857,[108  32] ; [32 38],[93.33333333 46.66666667] ; [46.66666667 23.33333333],1
u1,1,0.000178,14.051664,[ 39 101] ; [ 4 66],[ 28.66666667 111.33333333] ; [14.33333333 55.66666667],1
p4,1,0.003298,8.634868,[74 66] ; [22 48],[64. 76.] ; [32. 38.],0
a2,1,0.005528,7.697947,[45 95] ; [10 60],[ 36.66666667 103.33333333] ; [18.33333333 51.66666667],0
r4,1,0.00989,6.65467,[125  15] ; [53 17],[118.66666667  21.33333333] ; [59.33333333 10.66666667],0
v2,1,0.017065,5.689694,[93 41] ; [35 32],[85.33333333 48.66666667] ; [42.66666667 24.33333333],0
p6,1,0.017363,5.659342,[43 94] ; [11 58],[ 35.91262136 101.08737864] ; [18.08737864 50.91262136],0
r3,1,0.026936,4.894902,[134   5] ; [62  8],[130.35406699   8.64593301] ; [65.64593301  4.35406699],0
p2,1,0.027922,4.832898,[111  29] ; [45 24],[104.49760766  35.50239234] ; [51.50239234 17.49760766],0
d5,1,0.028108,4.821429,[118  22] ; [50 20],[112.  28.] ; [56. 14.],0
d1,1,0.031671,4.616223,[80 60] ; [29 41],[72.66666667 67.33333333] ; [36.33333333 33.66666667],0
n6,1,0.033734,4.508135,[115  25] ; [47 21],[109.03846154  30.96153846] ; [52.96153846 15.03846154],0
b1,1,0.045459,4.001524,[48 92] ; [34 36],[54.66666667 85.33333333] ; [27.33333333 42.66666667],0
u2,1,0.056255,3.644501,[26 12] ; [ 8 11],[22.66666667 15.33333333] ; [11.33333333  7.66666667],0
v4,1,0.085146,2.963822,[132   7] ; [61  8],[128.97596154  10.02403846] ; [64.02403846  4.97596154],0
n1,1,0.114295,2.493808,[ 9 24] ; [11 12],[11.78571429 21.21428571] ; [ 8.21428571 14.78571429],0
a1,1,0.125252,2.350388,[  5 135] ; [ 6 64],[  7.33333333 132.66666667] ; [ 3.66666667 66.33333333],0
b5,1,0.142756,2.148001,[100  40] ; [43 27],[95.33333333 44.66666667] ; [47.66666667 22.33333333],0
v3,1,0.162907,1.947029,[61 74] ; [23 43],[56.41791045 78.58208955] ; [27.58208955 38.41791045],0
b3,1,0.192068,1.701681,[27 54] ; [24 30],[30.6 50.4] ; [20.4 33.6],0
b2,1,0.192068,1.701681,[27 54] ; [24 30],[30.6 50.4] ; [20.4 33.6],0
p3,1,0.208631,1.580898,[61 78] ; [24 45],[56.80288462 82.19711538] ; [28.19711538 40.80288462],0
n4,1,0.20992,1.571981,[106  33] ; [47 22],[102.24519231  36.75480769] ; [50.75480769 18.24519231],0
p9,1,0.319834,0.989627,[113  26] ; [52 17],[110.26442308  28.73557692] ; [54.73557692 14.26442308],0
a8,1,0.327251,0.959747,[ 20 105] ; [ 7 58],[ 17.76315789 107.23684211] ; [ 9.23684211 55.76315789],0
n2,1,0.344732,0.892754,[22 11] ; [18  5],[23.57142857  9.42857143] ; [16.42857143  6.57142857],0
s2,1,0.357649,0.846131,[73 64] ; [42 28],[76.11111111 60.88888889] ; [38.88888889 31.11111111],0
s1,1,0.373736,0.791206,[  6 131] ; [ 5 63],[  7.35121951 129.64878049] ; [ 3.64878049 64.35121951],0
p5,1,0.392634,0.73077,[  8 131] ; [ 6 61],[  9.44660194 129.55339806] ; [ 4.55339806 62.44660194],0
