Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,8.1e-05,15.52501,[47 19] ; [ 6 18],[38.86666667 27.13333333] ; [14.13333333  9.86666667],1
n4,1,0.012534,6.233766,[51 15] ; [12 12],[46.2 19.8] ; [16.8  7.2],0
d1,1,0.059755,3.544165,[34 32] ; [ 7 17],[30.06666667 35.93333333] ; [10.93333333 13.06666667],0
r2,1,0.076765,3.132102,[61  5] ; [19  5],[58.66666667  7.33333333] ; [21.33333333  2.66666667],0
d2,1,0.111543,2.532221,[34 31] ; [ 8 16],[30.6741573 34.3258427] ; [11.3258427 12.6741573],0
u1,1,0.159438,1.979548,[10 56] ; [ 1 23],[ 8.06666667 57.93333333] ; [ 2.93333333 21.06666667],0
r1,1,0.17619,1.829475,[53 13] ; [16  8],[50.6 15.4] ; [18.4  5.6],0
u2,1,0.197743,1.658969,[14 14] ; [8 3],[15.79487179 12.20512821] ; [6.20512821 4.79487179],0
p10,1,0.236839,1.399311,[25 40] ; [ 6 18],[22.64044944 42.35955056] ; [ 8.35955056 15.64044944],0
a4,1,0.290974,1.115111,[24 41] ; [ 6 18],[21.91011236 43.08988764] ; [ 8.08988764 15.91011236],0
a8,1,0.2936,1.103039,[ 7 51] ; [ 1 22],[ 5.72839506 52.27160494] ; [ 2.27160494 20.72839506],0
s3,1,0.30778,1.040177,[30 35] ; [14 10],[32.13483146 32.86516854] ; [11.86516854 12.13483146],0
u3,1,0.311564,1.024033,[16 13] ; [8 3],[17.4 11.6] ; [6.6 4.4],0
b2,1,0.327357,0.959327,[13 32] ; [ 2 11],[11.63793103 33.36206897] ; [3.36206897 9.63793103],0
b3,1,0.327357,0.959327,[13 32] ; [ 2 11],[11.63793103 33.36206897] ; [3.36206897 9.63793103],0
b1,1,0.340356,0.909091,[31 35] ; [14 10],[33. 33.] ; [12. 12.],0
d3,1,0.36766,0.811557,[40 26] ; [12 12],[38.13333333 27.86666667] ; [13.86666667 10.13333333],0
a7,1,0.367947,0.810586,[42 23] ; [13 11],[40.16853933 24.83146067] ; [14.83146067  9.16853933],0
a2,1,0.400095,0.708042,[10 56] ; [ 2 22],[ 8.8 57.2] ; [ 3.2 20.8],0
p4,1,0.423999,0.639205,[31 35] ; [ 9 15],[29.33333333 36.66666667] ; [10.66666667 13.33333333],0
b4,1,0.429824,0.623298,[47 19] ; [15  9],[45.46666667 20.53333333] ; [16.53333333  7.46666667],0
n1,1,0.465209,0.533333,[ 6 12] ; [3 3],[ 6.75 11.25] ; [2.25 3.75],0
p1,1,0.466814,0.529507,[ 6 60] ; [ 1 22],[ 5.19101124 60.80898876] ; [ 1.80898876 21.19101124],0
s4,1,0.469221,0.52381,[ 7 57] ; [ 4 20],[ 8. 56.] ; [ 3. 21.],0
v2,1,0.521811,0.410313,[30 34] ; [ 9 14],[28.68965517 35.31034483] ; [10.31034483 12.68965517],0
v3,1,0.532504,0.38961,[21 45] ; [ 6 18],[19.8 46.2] ; [ 7.2 16.8],0
a6,1,0.552799,0.352327,[43 23] ; [14 10],[41.8 24.2] ; [15.2  8.8],0
v1,1,0.552799,0.352327,[23 43] ; [10 14],[24.2 41.8] ; [ 8.8 15.2],0
