Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,107.359385,[244  60] ; [ 86 150],[185.77777778 118.22222222] ; [144.22222222  91.77777778],1
s2,1,0.0,40.992998,[245  72] ; [125 118],[209.44642857 107.55357143] ; [160.55357143  82.44642857],1
s3,1,0.0,27.760845,[251  65] ; [140  98],[223.02527076  92.97472924] ; [167.97472924  70.02527076],1
d2,1,4.6e-05,16.610274,[184 135] ; [ 98 145],[160.06761566 158.93238434] ; [121.93238434 121.06761566],1
a3,1,0.000499,12.121056,[250  68] ; [159  84],[231.83957219  86.16042781] ; [177.16042781  65.83957219],1
d1,1,0.001071,10.7013,[215 104] ; [132 113],[196.2641844 122.7358156] ; [150.7358156  94.2641844],0
p6,1,0.003116,8.73825,[147 169] ; [ 81 157],[130.05054152 185.94945848] ; [ 97.94945848 140.05054152],0
p10,1,0.003448,8.553777,[281  35] ; [192  48],[268.82733813  47.17266187] ; [204.17266187  35.82733813],0
d5,1,0.005445,7.725504,[277  41] ; [191  53],[264.8113879  53.1886121] ; [203.1886121  40.8113879],0
p9,1,0.010294,6.583223,[290  27] ; [201  37],[280.44504505  36.55495495] ; [210.55495495  27.44504505],0
v1,1,0.01084,6.491362,[190 117] ; [123 118],[175.34854015 131.65145985] ; [137.65145985 103.34854015],0
n4,1,0.011597,6.371432,[262  55] ; [181  64],[249.8772242  67.1227758] ; [193.1227758  51.8772242],0
a5,1,0.016575,5.740804,[254  65] ; [173  71],[241.94138544  77.05861456] ; [185.05861456  58.94138544],0
s5,1,0.017119,5.684155,[150 158] ; [ 92 147],[136.26325411 171.73674589] ; [105.73674589 133.26325411],0
p3,1,0.017885,5.607389,[185 134] ; [117 127],[171.11545293 147.88454707] ; [130.88454707 113.11545293],0
u4,1,0.019857,5.424455,[ 15 304] ; [  3 242],[ 10.18085106 308.81914894] ; [  7.81914894 237.18085106],0
v3,1,0.020899,5.335212,[139 165] ; [ 85 152],[125.87060998 178.12939002] ; [ 98.12939002 138.87060998],0
u1,1,0.020903,5.334872,[ 79 240] ; [ 41 204],[ 67.87234043 251.12765957] ; [ 52.12765957 192.87234043],0
b3,1,0.023184,5.154682,[ 89 123] ; [38 90],[ 79.18823529 132.81176471] ; [47.81176471 80.18823529],0
b2,1,0.023184,5.154682,[ 89 123] ; [38 90],[ 79.18823529 132.81176471] ; [47.81176471 80.18823529],0
p1,1,0.035857,4.403879,[ 36 281] ; [ 15 227],[ 28.92128801 288.07871199] ; [ 22.07871199 219.92128801],0
b1,1,0.043409,4.079397,[132 187] ; [ 81 164],[120.47340426 198.52659574] ; [ 92.52659574 152.47340426],0
r1,1,0.050388,3.828498,[284  33] ; [205  39],[276.31550802  40.68449198] ; [212.68449198  31.31550802],0
a7,1,0.052854,3.748523,[226  92] ; [191  53],[235.95373665  82.04626335] ; [181.04626335  62.95373665],0
