Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,6e-06,20.417596,[403  41] ; [30 14],[393.95901639  50.04098361] ; [39.04098361  4.95901639],1
d3,1,0.000138,14.531414,[326 121] ; [20 24],[314.99389002 132.00610998] ; [31.00610998 12.99389002],1
p4,1,0.000188,13.951325,[324 123] ; [20 24],[313.17311609 133.82688391] ; [30.82688391 13.17311609],1
a3,1,0.00048,12.190531,[340 105] ; [23 21],[330.33742331 114.66257669] ; [32.66257669 11.33742331],1
p8,1,0.00053,12.008735,[314 129] ; [20 24],[303.82340862 139.17659138] ; [30.17659138 13.82340862],1
p11,1,0.000782,11.282928,[383  65] ; [29 15],[375.15447154  72.84552846] ; [36.84552846  7.15447154],1
p10,1,0.001894,9.649234,[395  49] ; [32 12],[388.5  55.5] ; [38.5  5.5],0
a2,1,0.003514,8.519481,[120 328] ; [ 3 41],[112. 336.] ; [11. 33.],0
a5,1,0.007496,7.149987,[346 102] ; [26 18],[338.73170732 109.26829268] ; [33.26829268 10.73170732],0
v4,1,0.022944,5.172776,[433  12] ; [40  4],[430.4396728  14.5603272] ; [42.5603272  1.4396728],0
u1,1,0.027827,4.838755,[ 92 356] ; [ 3 41],[ 86.50406504 361.49593496] ; [ 8.49593496 35.50406504],0
d5,1,0.035847,4.404379,[371  75] ; [31 13],[365.90204082  80.09795918] ; [36.09795918  7.90204082],0
a7,1,0.048816,3.881685,[326 120] ; [26 18],[320.39183673 125.60816327] ; [31.60816327 12.39183673],0
s1,1,0.050778,3.815584,[  9 434] ; [ 3 41],[ 10.91581109 432.08418891] ; [ 1.08418891 42.91581109],0
d4,1,0.060582,3.521375,[375  72] ; [32 12],[370.52749491  76.47250509] ; [36.47250509  7.52749491],0
r1,1,0.07077,3.265063,[371  73] ; [32 12],[366.66393443  77.33606557] ; [36.33606557  7.66393443],0
a6,1,0.075623,3.156543,[303 144] ; [24 20],[297.69653768 149.30346232] ; [29.30346232 14.69653768],0
s7,1,0.097729,2.742213,[241 188] ; [18 24],[235.9044586 193.0955414] ; [23.0955414 18.9044586],0
b5,1,0.120049,2.416681,[251 197] ; [30 14],[255.8699187 192.1300813] ; [25.1300813 18.8699187],0
b1,1,0.12983,2.294534,[162 286] ; [21 23],[166.63414634 281.36585366] ; [16.36585366 27.63414634],0
d2,1,0.150189,2.070331,[224 224] ; [17 27],[219.44715447 228.55284553] ; [21.55284553 22.44715447],0
d1,1,0.157675,1.996382,[273 175] ; [22 22],[268.61788618 179.38211382] ; [26.38211382 17.61788618],0
n4,1,0.157736,1.995793,[373  74] ; [33 11],[369.61710794  77.38289206] ; [36.38289206  7.61710794],0
v3,1,0.161675,1.958492,[197 240] ; [15 29],[192.60706861 244.39293139] ; [19.39293139 24.60706861],0
u2,1,0.190664,1.712478,[54 52] ; [ 7 13],[51.31746032 54.68253968] ; [ 9.68253968 10.31746032],0
r2,1,0.278755,1.173148,[426  16] ; [40  3],[424.68453608  17.31546392] ; [41.31546392  1.68453608],0
n5,1,0.278991,1.171997,[366  82] ; [33 11],[363.31707317  84.68292683] ; [35.68292683  8.31707317],0
p3,1,0.300104,1.07373,[280 168] ; [24 20],[276.81300813 171.18699187] ; [27.18699187 16.81300813],0
a4,1,0.351555,0.867838,[205 241] ; [17 27],[202.06530612 243.93469388] ; [19.93469388 24.06530612],0
