Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,76.908555,[370 102] ; [72 99],[324.45412131 147.54587869] ; [117.54587869  53.45412131],1
d3,1,0.0,68.2826,[373 100] ; [77 94],[330.51242236 142.48757764] ; [119.48757764  51.51242236],1
a2,1,0.0,34.598029,[146 327] ; [ 14 157],[117.51552795 355.48447205] ; [ 42.48447205 128.51552795],1
u1,1,7e-06,20.332571,[111 362] ; [ 13 158],[ 91.07453416 381.92546584] ; [ 32.92546584 138.07453416],1
b5,1,1.6e-05,18.622411,[300 173] ; [76 95],[276.16149068 196.83850932] ; [99.83850932 71.16149068],1
d1,1,0.00054,11.972111,[309 164] ; [86 85],[290.11645963 182.88354037] ; [104.88354037  66.11645963],1
r3,1,0.000737,11.392396,[458  11] ; [157  14],[450.6796875  18.3203125] ; [164.3203125   6.6796875],1
r4,1,0.002484,9.15214,[446  27] ; [149  22],[437.01086957  35.98913043] ; [157.98913043  13.01086957],0
u3,1,0.009249,6.774194,[78 50] ; [15 25],[70.85714286 57.14285714] ; [22.14285714 17.85714286],0
v4,1,0.013931,6.046907,[457  13] ; [159  12],[451.66926677  18.33073323] ; [164.33073323   6.66926677],0
n5,1,0.02028,5.387587,[383  89] ; [152  19],[392.72161742  79.27838258] ; [142.27838258  28.72161742],0
r1,1,0.02152,5.284177,[393  78] ; [129  42],[382.96261682  88.03738318] ; [139.03738318  31.96261682],0
b2,1,0.029237,4.753614,[101 174] ; [55 58],[110.56701031 164.43298969] ; [45.43298969 67.56701031],0
b3,1,0.029237,4.753614,[101 174] ; [55 58],[110.56701031 164.43298969] ; [45.43298969 67.56701031],0
v2,1,0.038735,4.272467,[278 175] ; [86 79],[266.81553398 186.18446602] ; [97.18446602 67.81553398],0
b1,1,0.048697,3.885779,[154 319] ; [ 70 101],[164.52173913 308.47826087] ; [ 59.47826087 111.52173913],0
b4,1,0.060217,3.531409,[288 185] ; [90 81],[277.63043478 195.36956522] ; [100.36956522  70.63043478],0
s8,1,0.07876,3.090306,[216 254] ; [92 79],[225.83463339 244.16536661] ; [82.16536661 88.83463339],0
p4,1,0.089704,2.879683,[312 160] ; [100  70],[302.90342679 169.09657321] ; [109.09657321  60.90342679],0
s7,1,0.096005,2.770681,[229 221] ; [97 69],[238.14935065 211.85064935] ; [87.85064935 78.14935065],0
d4,1,0.10713,2.596055,[401  72] ; [135  35],[394.28926905  78.71073095] ; [141.71073095  28.28926905],0
r2,1,0.112796,2.514605,[452  17] ; [157  11],[448.38461538  20.61538462] ; [160.61538462   7.38461538],0
a5,1,0.155193,2.02045,[371 102] ; [125  46],[364.29813665 108.70186335] ; [131.70186335  39.29813665],0
u2,1,0.155289,2.019508,[74 54] ; [18 22],[70.0952381 57.9047619] ; [21.9047619 18.0952381],0
s5,1,0.163352,1.942918,[166 290] ; [69 93],[173.39805825 282.60194175] ; [ 61.60194175 100.39805825],0
n1,1,0.197781,1.658687,[30 57] ; [19 22],[33.3046875 53.6953125] ; [15.6953125 25.3046875],0
d5,1,0.203883,1.614339,[396  77] ; [135  35],[390.61119751  82.38880249] ; [140.38880249  29.61119751],0
n4,1,0.21689,1.524828,[387  86] ; [147  24],[392.20807453  80.79192547] ; [141.79192547  29.20807453],0
p12,1,0.24675,1.341612,[ 51 421] ; [ 13 156],[ 47.12636505 424.87363495] ; [ 16.87363495 152.12636505],0
s2,1,0.250725,1.319259,[258 210] ; [85 85],[251.60501567 216.39498433] ; [91.39498433 78.60501567],0
