Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.011108,6.447932,[ 5 16] ; [6 2],[ 7.96551724 13.03448276] ; [3.03448276 4.96551724],0
b1,1,0.025286,5.004163,[21 18] ; [13  2],[24.55555556 14.44444444] ; [9.44444444 5.55555556],0
p7,1,0.025286,5.004163,[21 18] ; [13  2],[24.55555556 14.44444444] ; [9.44444444 5.55555556],0
p8,1,0.026504,4.922861,[13 26] ; [10  5],[16.61111111 22.38888889] ; [6.38888889 8.61111111],0
v3,1,0.094212,2.800885,[17 21] ; [ 3 12],[14.33962264 23.66037736] ; [5.66037736 9.33962264],0
p2,1,0.10787,2.585158,[22 17] ; [12  3],[24.55555556 14.44444444] ; [9.44444444 5.55555556],0
b4,1,0.124064,2.365249,[27 12] ; [7 8],[24.55555556 14.44444444] ; [9.44444444 5.55555556],0
s7,1,0.139547,2.182952,[ 9 28] ; [6 7],[11.1 25.9] ; [3.9 9.1],0
u3,1,0.151446,2.05763,[10 12] ; [6 2],[11.73333333 10.26666667] ; [4.26666667 3.73333333],0
b3,1,0.155668,2.01581,[ 5 18] ; [5 6],[ 6.76470588 16.23529412] ; [3.23529412 7.76470588],0
b2,1,0.155668,2.01581,[ 5 18] ; [5 6],[ 6.76470588 16.23529412] ; [3.23529412 7.76470588],0
b5,1,0.191763,1.704021,[21 18] ; [11  4],[23.11111111 15.88888889] ; [8.88888889 6.11111111],0
u1,1,0.197396,1.661538,[ 3 36] ; [ 3 12],[ 4.33333333 34.66666667] ; [ 1.66666667 13.33333333],0
d3,1,0.236103,1.403714,[19 20] ; [10  5],[20.94444444 18.05555556] ; [8.05555556 6.94444444],0
a5,1,0.242818,1.364161,[25 14] ; [7 8],[23.11111111 15.88888889] ; [8.88888889 6.11111111],0
n1,1,0.291841,1.111111,[4 8] ; [2 1],[4.8 7.2] ; [1.2 1.8],0
s8,1,0.323643,0.974167,[ 8 31] ; [ 5 10],[ 9.38888889 29.61111111] ; [ 3.61111111 11.38888889],0
p4,1,0.327735,0.957828,[23 16] ; [11  4],[24.55555556 14.44444444] ; [9.44444444 5.55555556],0
a2,1,0.339697,0.911574,[ 4 35] ; [ 3 12],[ 5.05555556 33.94444444] ; [ 1.94444444 13.05555556],0
v2,1,0.359105,0.84102,[15 23] ; [8 7],[16.49056604 21.50943396] ; [6.50943396 8.49056604],0
s1,1,0.39296,0.729764,[ 6 33] ; [ 1 14],[ 5.05555556 33.94444444] ; [ 1.94444444 13.05555556],0
v4,1,0.39296,0.729764,[33  6] ; [14  1],[33.94444444  5.05555556] ; [13.05555556  1.94444444],0
a4,1,0.403224,0.698691,[11 28] ; [6 9],[12.27777778 26.72222222] ; [ 4.72222222 10.27777778],0
s4,1,0.441105,0.593407,[ 9 30] ; [ 5 10],[10.11111111 28.88888889] ; [ 3.88888889 11.11111111],0
s2,1,0.459461,0.547207,[16 22] ; [8 7],[17.20754717 20.79245283] ; [6.79245283 8.20754717],0
d1,1,0.467166,0.528671,[14 25] ; [7 8],[15.16666667 23.83333333] ; [5.83333333 9.16666667],0
s3,1,0.511219,0.431571,[19 19] ; [9 6],[20.0754717 17.9245283] ; [7.9245283 7.0754717],0
r3,1,0.519249,0.415385,[34  5] ; [14  1],[34.66666667  4.33333333] ; [13.33333333  1.66666667],0
p1,1,0.521818,0.410298,[ 3 36] ; [ 2 13],[ 3.61111111 35.38888889] ; [ 1.38888889 13.61111111],0
s6,1,0.564976,0.331162,[20 19] ; [9 6],[20.94444444 18.05555556] ; [8.05555556 6.94444444],0
r1,1,0.571892,0.319527,[29 10] ; [10  5],[28.16666667 10.83333333] ; [10.83333333  4.16666667],0
n6,1,0.596097,0.280922,[25 13] ; [11  4],[25.81132075 12.18867925] ; [10.18867925  4.81132075],0
a7,1,0.603513,0.26973,[23 16] ; [10  5],[23.83333333 15.16666667] ; [9.16666667 5.83333333],0
n5,1,0.636259,0.223669,[21 18] ; [7 8],[20.22222222 18.77777778] ; [7.77777778 7.22222222],0
p11,1,0.683553,0.166154,[18 21] ; [6 9],[17.33333333 21.66666667] ; [6.66666667 8.33333333],0
d5,1,0.711645,0.13664,[28 11] ; [10  5],[27.44444444 11.55555556] ; [10.55555556  4.44444444],0
