Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,180.483876,[  6 112] ; [423 170],[71.19831224 46.80168776] ; [357.80168776 235.19831224],1
d3,1,0.0,118.475347,[32 84] ; [464 129],[81.15091678 34.84908322] ; [414.84908322 178.15091678],1
d5,1,0.0,93.477048,[60 57] ; [525  68],[96.40140845 20.59859155] ; [488.59859155 104.40140845],1
d2,1,0.0,37.30274,[26 92] ; [312 279],[56.2538787 61.7461213] ; [281.7461213 309.2538787],1
a3,1,0.0,29.260629,[62 56] ; [454 137],[85.8787024 32.1212976] ; [430.1212976 160.8787024],1
a4,1,1e-06,23.380864,[29 89] ; [289 303],[52.85070423 65.14929577] ; [265.14929577 326.85070423],1
a5,1,3e-06,21.808894,[69 49] ; [467 126],[88.95639944 29.04360056] ; [447.04360056 145.95639944],1
u1,1,1.8e-05,18.422077,[  5 113] ; [124 469],[21.4092827 96.5907173] ; [107.5907173 485.4092827],1
a2,1,5.4e-05,16.297606,[ 11 107] ; [158 435],[28.04781997 89.95218003] ; [140.95218003 452.04781997],1
r1,1,0.003656,8.447221,[84 33] ; [492  99],[95.18644068 21.81355932] ; [480.81355932 110.18644068],0
b3,1,0.003953,8.305074,[16 52] ; [148 203],[26.61575179 41.38424821] ; [137.38424821 213.61575179],0
b2,1,0.003953,8.305074,[16 52] ; [148 203],[26.61575179 41.38424821] ; [137.38424821 213.61575179],0
s2,1,0.009275,6.769065,[50 66] ; [332 258],[62.76487252 53.23512748] ; [319.23512748 270.76487252],0
s5,1,0.016499,5.748895,[30 84] ; [217 352],[41.22693997 72.77306003] ; [205.77306003 363.22693997],0
b4,1,0.022125,5.235949,[57 61] ; [354 239],[68.21097046 49.78902954] ; [342.78902954 250.21097046],0
p2,1,0.02517,5.012138,[94 24] ; [516  74],[101.66666667  16.33333333] ; [508.33333333  81.66666667],0
p1,1,0.029814,4.72,[ 16 102] ; [ 44 546],[ 10. 108.] ; [ 50. 540.],0
a1,1,0.031951,4.601109,[  1 117] ; [ 32 561],[  5.47679325 112.52320675] ; [ 27.52320675 565.47679325],0
u2,1,0.036133,4.390796,[27 29] ; [89 49],[33.48453608 22.51546392] ; [82.51546392 55.48453608],0
v2,1,0.05588,3.655633,[57 54] ; [347 221],[66.04418262 44.95581738] ; [337.95581738 230.04418262],0
n4,1,0.087203,2.925272,[86 32] ; [474 119],[92.9395218 25.0604782] ; [467.0604782 125.9395218],0
v3,1,0.088266,2.90572,[40 77] ; [243 326],[48.26676385 68.73323615] ; [234.73323615 334.26676385],0
p4,1,0.09986,2.707782,[66 52] ; [378 213],[73.89562764 44.10437236] ; [370.10437236 220.89562764],0
v1,1,0.101035,2.689133,[56 58] ; [331 245],[63.93913043 50.06086957] ; [323.06086957 252.93913043],0
r4,1,0.10511,2.626252,[106  12] ; [557  36],[110.03375527   7.96624473] ; [552.96624473  40.03375527],0
n3,1,0.113324,2.507246,[22  3] ; [81 30],[18.93382353  6.06617647] ; [84.06617647 26.93382353],0
p6,1,0.117683,2.447888,[37 80] ; [230 355],[44.5 72.5] ; [222.5 362.5],0
a8,1,0.124689,2.357405,[10 99] ; [ 80 463],[15.04601227 93.95398773] ; [ 74.95398773 468.04601227],0
a7,1,0.125625,2.345745,[80 37] ; [445 147],[86.63610719 30.36389281] ; [438.36389281 153.63610719],0
n2,1,0.137694,2.203548,[22  3] ; [83 29],[19.16058394  5.83941606] ; [85.83941606 26.16058394],0
r2,1,0.13814,2.19856,[108   9] ; [561  26],[111.18323864   5.81676136] ; [557.81676136  29.18323864],0
v4,1,0.173269,1.854433,[109   7] ; [571  20],[111.57001414   4.42998586] ; [568.42998586  22.57001414],0
s8,1,0.194991,1.679499,[50 68] ; [289 302],[56.4203103 61.5796897] ; [282.5796897 308.4203103],0
u3,1,0.22268,1.487014,[29 27] ; [84 53],[32.78756477 23.21243523] ; [80.21243523 56.78756477],0
s3,1,0.22579,1.467188,[62 55] ; [346 240],[67.90327169 49.09672831] ; [340.09672831 245.90327169],0
p7,1,0.236415,1.401844,[73 43] ; [397 182],[78.44604317 37.55395683] ; [391.55395683 187.44604317],0
n6,1,0.25095,1.318006,[99 19] ; [517  72],[102.81188119  15.18811881] ; [513.18811881  75.81188119],0
s4,1,0.26288,1.253528,[25 92] ; [100 487],[20.77414773 96.22585227] ; [104.22585227 482.77414773],0
s6,1,0.269894,1.217286,[75 39] ; [413 169],[79.93103448 34.06896552] ; [408.06896552 173.93103448],0
a6,1,0.297261,1.086443,[77 41] ; [415 177],[81.76901408 36.23098592] ; [410.23098592 181.76901408],0
p12,1,0.348338,0.879503,[  8 110] ; [ 56 534],[ 10.66666667 107.33333333] ; [ 53.33333333 536.66666667],0
p3,1,0.383612,0.759095,[57 60] ; [315 278],[61.30140845 55.69859155] ; [310.69859155 282.30140845],0
p5,1,0.435501,0.608107,[ 12 106] ; [ 75 513],[ 14.54107649 103.45892351] ; [ 72.45892351 515.54107649],0
p9,1,0.501699,0.451341,[110   8] ; [561  31],[111.51830986   6.48169014] ; [559.48169014  32.51830986],0
p8,1,0.502588,0.449467,[61 55] ; [328 258],[64.27920228 51.72079772] ; [324.72079772 261.27920228],0
n1,1,0.526152,0.401819,[10 14] ; [39 73],[ 8.64705882 15.35294118] ; [40.35294118 71.64705882],0
b5,1,0.533166,0.388354,[67 51] ; [355 238],[70.03656821 47.96343179] ; [351.96343179 241.03656821],0
n5,1,0.542318,0.371261,[94 23] ; [459 131],[91.51485149 25.48514851] ; [461.48514851 128.51485149],0
p11,1,0.619698,0.246292,[99 19] ; [508  85],[100.73980309  17.26019691] ; [506.26019691  86.73980309],0
