Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,36.312724,[ 2 21] ; [54 14],[14.15384615  8.84615385] ; [41.84615385 26.15384615],1
v4,1,1.3e-05,19.023261,[10 13] ; [59  8],[17.63333333  5.36666667] ; [51.36666667 15.63333333],1
r1,1,0.000569,11.873653,[ 5 18] ; [43 25],[12.13186813 10.86813187] ; [35.86813187 32.13186813],1
r3,1,0.003991,8.288041,[12 11] ; [56 12],[17.18681319  5.81318681] ; [50.81318681 17.18681319],0
s3,1,0.018556,5.54292,[ 6 17] ; [36 30],[10.85393258 12.14606742] ; [31.14606742 34.85393258],0
u3,1,0.023831,5.106865,[ 1 11] ; [18 23],[4.30188679 7.69811321] ; [14.69811321 26.30188679],0
p6,1,0.058631,3.575701,[ 1 21] ; [15 52],[ 3.95505618 18.04494382] ; [12.04494382 54.95505618],0
b1,1,0.061149,3.505932,[15  8] ; [29 39],[11.12087912 11.87912088] ; [32.87912088 35.12087912],0
p11,1,0.089398,2.885189,[11 12] ; [46 22],[14.40659341  8.59340659] ; [42.59340659 25.40659341],0
b2,1,0.103251,2.654602,[ 3 12] ; [20 26],[5.6557377 9.3442623] ; [17.3442623 28.6557377],0
b3,1,0.103251,2.654602,[ 3 12] ; [20 26],[5.6557377 9.3442623] ; [17.3442623 28.6557377],0
s5,1,0.133244,2.254297,[ 2 21] ; [15 50],[ 4.44318182 18.55681818] ; [12.55681818 52.44318182],0
n3,1,0.141454,2.162075,[5 7] ; [13  6],[6.96774194 5.03225806] ; [11.03225806  7.96774194],0
s1,1,0.161604,1.959153,[ 3 20] ; [ 3 63],[ 1.5505618 21.4494382] ; [ 4.4494382 61.5505618],0
s6,1,0.184665,1.759675,[ 7 16] ; [31 36],[ 9.71111111 13.28888889] ; [28.28888889 38.71111111],0
p3,1,0.227822,1.454409,[ 5 18] ; [24 44],[ 7.32967033 15.67032967] ; [21.67032967 46.32967033],0
n4,1,0.230152,1.439922,[12 11] ; [45 23],[14.40659341  8.59340659] ; [42.59340659 25.40659341],0
v3,1,0.305249,1.051123,[ 3 20] ; [15 50],[ 4.70454545 18.29545455] ; [13.29545455 51.70454545],0
s4,1,0.328513,0.954749,[ 5 18] ; [ 9 59],[ 3.53846154 19.46153846] ; [10.46153846 57.53846154],0
u2,1,0.344401,0.893982,[4 8] ; [20 21],[5.43396226 6.56603774] ; [18.56603774 22.43396226],0
a6,1,0.365348,0.819427,[ 8 15] ; [31 37],[ 9.85714286 13.14285714] ; [29.14285714 38.85714286],0
v2,1,0.370261,0.802789,[ 4 18] ; [17 44],[ 5.56626506 16.43373494] ; [15.43373494 45.56626506],0
s7,1,0.471228,0.519095,[ 5 17] ; [20 45],[ 6.32183908 15.67816092] ; [18.67816092 46.32183908],0
v1,1,0.472257,0.516691,[ 7 16] ; [26 41],[ 8.43333333 14.56666667] ; [24.56666667 42.43333333],0
s8,1,0.476098,0.507789,[ 5 18] ; [20 48],[ 6.31868132 16.68131868] ; [18.68131868 49.31868132],0
d3,1,0.477169,0.505326,[ 6 17] ; [13 55],[ 4.8021978 18.1978022] ; [14.1978022 53.8021978],0
a3,1,0.528273,0.397712,[11 12] ; [27 40],[ 9.71111111 13.28888889] ; [28.28888889 38.71111111],0
s2,1,0.561847,0.336516,[ 8 15] ; [19 48],[ 6.9 16.1] ; [20.1 46.9],0
p9,1,0.576782,0.311466,[13  9] ; [44 23],[14.08988764  7.91011236] ; [42.91011236 24.08988764],0
p4,1,0.583602,0.300448,[ 9 14] ; [22 45],[ 7.92222222 15.07777778] ; [23.07777778 43.92222222],0
b5,1,0.584468,0.299068,[12 11] ; [31 37],[10.86813187 12.13186813] ; [32.13186813 35.86813187],0
d4,1,0.600784,0.273814,[10 13] ; [25 42],[ 8.94444444 14.05555556] ; [26.05555556 40.94444444],0
p12,1,0.615658,0.252017,[ 1 22] ; [ 5 63],[ 1.51648352 21.48351648] ; [ 4.48351648 63.51648352],0
n1,1,0.616311,0.251087,[3 9] ; [ 7 14],[3.63636364 8.36363636] ; [ 6.36363636 14.63636364],0
n2,1,0.632142,0.229167,[7 5] ; [14  7],[7.63636364 4.36363636] ; [13.36363636  7.63636364],0
a1,1,0.638377,0.220872,[ 2 21] ; [ 4 64],[ 1.51648352 21.48351648] ; [ 4.48351648 63.51648352],0
d2,1,0.651736,0.203719,[ 5 18] ; [18 50],[ 5.81318681 17.18681319] ; [17.18681319 50.81318681],0
p2,1,0.656672,0.197591,[13 10] ; [42 26],[13.9010989  9.0989011] ; [41.0989011 26.9010989],0
d1,1,0.743967,0.106671,[ 1 22] ; [ 2 66],[ 0.75824176 22.24175824] ; [ 2.24175824 65.75824176],0
