Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,25.127095,[52 20] ; [ 1 16],[42.87640449 29.12359551] ; [10.12359551  6.87640449],1
r3,1,0.000202,13.816404,[55 17] ; [ 5 12],[48.53932584 23.46067416] ; [11.46067416  5.53932584],1
v4,1,0.000348,12.790977,[54 18] ; [ 5 12],[47.73033708 24.26966292] ; [11.26966292  5.73033708],1
r1,1,0.004878,7.924282,[48 24] ; [ 5 12],[42.87640449 29.12359551] ; [10.12359551  6.87640449],0
p1,1,0.046178,3.975092,[ 3 69] ; [ 3 14],[ 4.85393258 67.14606742] ; [ 1.14606742 15.85393258],0
n2,1,0.049219,3.867863,[21 14] ; [1 5],[18.7804878 16.2195122] ; [3.2195122 2.7804878],0
a8,1,0.085359,2.959791,[ 4 66] ; [ 3 13],[ 5.69767442 64.30232558] ; [ 1.30232558 14.69767442],0
p9,1,0.094781,2.791244,[18 53] ; [ 1 15],[15.50574713 55.49425287] ; [ 3.49425287 12.50574713],0
p11,1,0.119355,2.42576,[27 45] ; [ 3 14],[24.26966292 47.73033708] ; [ 5.73033708 11.26966292],0
v3,1,0.195434,1.676173,[23 45] ; [ 3 14],[20.8 47.2] ; [ 5.2 11.8],0
s5,1,0.201554,1.63108,[13 57] ; [ 1 16],[11.26436782 58.73563218] ; [ 2.73563218 14.26436782],0
p8,1,0.242881,1.363792,[13 59] ; [ 1 15],[11.45454545 60.54545455] ; [ 2.54545455 13.45454545],0
s2,1,0.286818,1.134496,[22 50] ; [ 3 14],[20.2247191 51.7752809] ; [ 4.7752809 12.2247191],0
s7,1,0.330324,0.947629,[17 51] ; [ 2 13],[15.56626506 52.43373494] ; [ 3.43373494 11.56626506],0
n6,1,0.36578,0.817951,[42 29] ; [8 9],[40.34090909 30.65909091] ; [9.65909091 7.34090909],0
n3,1,0.373597,0.791667,[17 15] ; [2 4],[16. 16.] ; [3. 3.],0
s6,1,0.404362,0.695316,[33 38] ; [ 6 11],[31.46590909 39.53409091] ; [7.53409091 9.46590909],0
d1,1,0.430855,0.620517,[33 39] ; [ 6 11],[31.5505618 40.4494382] ; [7.4494382 9.5505618],0
d2,1,0.448225,0.575136,[36 34] ; [ 7 10],[34.59770115 35.40229885] ; [8.40229885 8.59770115],0
p4,1,0.452341,0.564779,[19 53] ; [ 3 14],[17.79775281 54.20224719] ; [ 4.20224719 12.79775281],0
n1,1,0.489199,0.478287,[17 18] ; [2 4],[16.2195122 18.7804878] ; [2.7804878 3.2195122],0
b4,1,0.492692,0.470642,[40 32] ; [11  6],[41.25842697 30.74157303] ; [9.74157303 7.25842697],0
b1,1,0.492692,0.470642,[40 32] ; [11  6],[41.25842697 30.74157303] ; [9.74157303 7.25842697],0
v1,1,0.497243,0.460816,[23 49] ; [ 4 13],[21.84269663 50.15730337] ; [ 5.15730337 11.84269663],0
a4,1,0.501175,0.452447,[31 39] ; [ 6 11],[29.77011494 40.22988506] ; [7.22988506 9.77011494],0
n4,1,0.537019,0.381092,[44 28] ; [9 8],[42.87640449 29.12359551] ; [10.12359551  6.87640449],0
s1,1,0.576252,0.312333,[ 9 63] ; [ 3 14],[ 9.70786517 62.29213483] ; [ 2.29213483 14.70786517],0
b5,1,0.580745,0.305031,[37 35] ; [10  7],[38.02247191 33.97752809] ; [8.97752809 8.02247191],0
d3,1,0.61832,0.248235,[34 37] ; [ 7 10],[33.07954545 37.92045455] ; [7.92045455 9.07954545],0
u3,1,0.622496,0.242375,[17 15] ; [3 4],[16.41025641 15.58974359] ; [3.58974359 3.41025641],0
a3,1,0.652434,0.202845,[40 31] ; [10  6],[40.8045977 30.1954023] ; [9.1954023 6.8045977],0
b3,1,0.669949,0.181662,[17 26] ; [ 5 10],[16.31034483 26.68965517] ; [5.68965517 9.31034483],0
b2,1,0.669949,0.181662,[17 26] ; [ 5 10],[16.31034483 26.68965517] ; [5.68965517 9.31034483],0
p3,1,0.674708,0.176144,[17 55] ; [ 3 13],[16.36363636 55.63636364] ; [ 3.63636364 12.36363636],0
a5,1,0.686014,0.163434,[42 30] ; [9 8],[41.25842697 30.74157303] ; [9.74157303 7.25842697],0
p5,1,0.717447,0.130952,[ 3 69] ; [ 1 15],[ 3.27272727 68.72727273] ; [ 0.72727273 15.27272727],0
a7,1,0.748075,0.103156,[35 37] ; [9 8],[35.59550562 36.40449438] ; [8.40449438 8.59550562],0
s3,1,0.778653,0.079003,[24 47] ; [ 6 10],[24.48275862 46.51724138] ; [ 5.51724138 10.48275862],0
a6,1,0.787149,0.072908,[35 36] ; [9 8],[35.5 35.5] ; [8.5 8.5],0
v2,1,0.871914,0.025994,[22 48] ; [ 5 12],[21.72413793 48.27586207] ; [ 5.27586207 11.72413793],0
p7,1,0.876117,0.024303,[18 53] ; [ 4 13],[17.75 53.25] ; [ 4.25 12.75],0
n5,1,0.887963,0.019848,[41 31] ; [10  7],[41.25842697 30.74157303] ; [9.74157303 7.25842697],0
u2,1,0.911824,0.012263,[14 17] ; [3 4],[13.86842105 17.13157895] ; [3.13157895 3.86842105],0
s4,1,0.918712,0.010415,[ 9 62] ; [ 2 15],[ 8.875 62.125] ; [ 2.125 14.875],0
