Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,74.615311,[48 81] ; [268  71],[87.1025641 41.8974359] ; [228.8974359 110.1025641],1
d3,1,0.0,55.170737,[59 70] ; [274  66],[91.59275053 37.40724947] ; [241.40724947  98.59275053],1
a2,1,1e-06,25.144683,[ 12 117] ; [109 232],[33.2106383 95.7893617] ; [ 87.7893617 253.2106383],1
u1,1,1e-06,24.104575,[  7 122] ; [ 88 253],[ 26.07446809 102.92553191] ; [ 68.92553191 272.07446809],1
b5,1,0.000246,13.444464,[65 64] ; [234 107],[82.06595745 46.93404255] ; [216.93404255 124.06595745],1
b1,1,0.003152,8.717053,[63 66] ; [116 225],[49.12978723 79.87021277] ; [129.87021277 211.12978723],0
d1,1,0.0042,8.195181,[67 62] ; [226 115],[80.41914894 48.58085106] ; [212.58085106 128.41914894],0
p4,1,0.00467,8.00319,[70 57] ; [233 104],[82.93318966 44.06681034] ; [220.06681034 116.93318966],0
n6,1,0.00716,7.232312,[100  27] ; [300  39],[109.01287554  17.98712446] ; [290.98712446  48.01287554],0
b3,1,0.008871,6.848612,[48 40] ; [ 80 130],[37.79865772 50.20134228] ; [ 90.20134228 119.79865772],0
b2,1,0.008871,6.848612,[48 40] ; [ 80 130],[37.79865772 50.20134228] ; [ 90.20134228 119.79865772],0
r4,1,0.014763,5.944542,[115  14] ; [325  16],[120.76595745   8.23404255] ; [319.23404255  21.76595745],0
a5,1,0.026114,4.948486,[90 39] ; [271  70],[99.08297872 29.91702128] ; [261.91702128  79.08297872],0
p2,1,0.030549,4.678115,[100  25] ; [298  41],[107.21982759  17.78017241] ; [290.78017241  48.21982759],0
p12,1,0.031385,4.631794,[  6 118] ; [ 39 299],[ 12.07792208 111.92207792] ; [ 32.92207792 305.07792208],0
p8,1,0.065971,3.380517,[63 61] ; [201 132],[71.63238512 52.36761488] ; [192.36761488 140.63238512],0
p6,1,0.077518,3.116181,[44 78] ; [150 181],[52.24724062 69.75275938] ; [141.75275938 189.24724062],0
p3,1,0.084294,2.980103,[62 64] ; [196 141],[70.21166307 55.78833693] ; [187.78833693 149.21166307],0
s5,1,0.086223,2.943506,[57 67] ; [121 205],[49.04888889 74.95111111] ; [128.95111111 197.04888889],0
