Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.002938,8.84574,[ 2 35] ; [14 30],[ 7.30864198 29.69135802] ; [ 8.69135802 35.30864198],0
d2,1,0.005759,7.624163,[13 24] ; [29 15],[19.18518519 17.81481481] ; [22.81481481 21.18518519],0
d1,1,0.006784,7.329303,[15 22] ; [31 13],[21.01234568 15.98765432] ; [24.98765432 19.01234568],0
n1,1,0.021133,5.315777,[7 4] ; [ 2 10],[4.30434783 6.69565217] ; [4.69565217 7.30434783],0
a5,1,0.026216,4.941713,[22 15] ; [36  8],[26.49382716 10.50617284] ; [31.50617284 12.49382716],0
d5,1,0.027157,4.880789,[28  9] ; [41  3],[31.51851852  5.48148148] ; [37.48148148  6.51851852],0
a6,1,0.048327,3.898571,[20 17] ; [33 11],[24.20987654 12.79012346] ; [28.79012346 15.20987654],0
v3,1,0.060786,3.515816,[ 8 29] ; [17 24],[11.85897436 25.14102564] ; [13.14102564 27.85897436],0
r2,1,0.062351,3.473715,[32  5] ; [41  1],[34.18987342  2.81012658] ; [38.81012658  3.18987342],0
b4,1,0.082745,3.010135,[21 16] ; [33 11],[24.66666667 12.33333333] ; [29.33333333 14.66666667],0
p8,1,0.131052,2.279997,[20 17] ; [16 27],[16.65 20.35] ; [19.35 23.65],0
s3,1,0.132204,2.266436,[21 16] ; [32 12],[24.20987654 12.79012346] ; [28.79012346 15.20987654],0
n4,1,0.155047,2.021884,[16 21] ; [26 18],[19.18518519 17.81481481] ; [22.81481481 21.18518519],0
a2,1,0.15846,1.988863,[ 6 31] ; [13 31],[ 8.67901235 28.32098765] ; [10.32098765 33.67901235],0
p2,1,0.15846,1.988863,[31  6] ; [31 13],[28.32098765  8.67901235] ; [33.67901235 10.32098765],0
u3,1,0.17753,1.818182,[10  1] ; [6 3],[8.8 2.2] ; [7.2 1.8],0
s8,1,0.251311,1.316001,[18 19] ; [27 17],[20.55555556 16.44444444] ; [24.44444444 19.55555556],0
p6,1,0.302977,1.061044,[17 19] ; [15 27],[14.76923077 21.23076923] ; [17.23076923 24.76923077],0
r1,1,0.327967,0.956908,[25 12] ; [34 10],[26.95061728 10.04938272] ; [32.04938272 11.95061728],0
a3,1,0.334895,0.929875,[26 11] ; [35  9],[27.86419753  9.13580247] ; [33.13580247 10.86419753],0
d4,1,0.340354,0.909098,[30  7] ; [39  5],[31.51851852  5.48148148] ; [37.48148148  6.51851852],0
b5,1,0.381953,0.764407,[20 17] ; [28 16],[21.92592593 15.07407407] ; [26.07407407 17.92592593],0
s2,1,0.381953,0.764407,[20 17] ; [28 16],[21.92592593 15.07407407] ; [26.07407407 17.92592593],0
s1,1,0.394459,0.725153,[ 1 36] ; [ 3 41],[ 1.82716049 35.17283951] ; [ 2.17283951 41.82716049],0
v1,1,0.399562,0.709643,[15 22] ; [21 21],[16.86075949 20.13924051] ; [19.13924051 22.86075949],0
s4,1,0.414701,0.665282,[15 22] ; [14 30],[13.24691358 23.75308642] ; [15.75308642 28.24691358],0
a8,1,0.42924,0.62488,[ 5 31] ; [ 3 34],[ 3.94520548 32.05479452] ; [ 4.05479452 32.94520548],0
r3,1,0.457079,0.553038,[35  2] ; [43  1],[35.62962963  1.37037037] ; [42.37037037  1.62962963],0
a4,1,0.460559,0.544537,[13 24] ; [19 25],[14.61728395 22.38271605] ; [17.38271605 26.61728395],0
