Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,63.832218,[198  36] ; [76 86],[161.90909091  72.09090909] ; [112.09090909  49.90909091],1
p4,1,0.0,58.177673,[193  45] ; [74 92],[157.29207921  80.70792079] ; [109.70792079  56.29207921],1
p6,1,0.0,30.881615,[129 104] ; [ 44 118],[102.04810127 130.95189873] ; [70.95189873 91.04810127],1
p2,1,0.0,28.639477,[225  13] ; [126  39],[207.29032258  30.70967742] ; [143.70967742  21.29032258],1
p3,1,0.0,27.153477,[161  77] ; [68 96],[135.57711443 102.42288557] ; [93.42288557 70.57711443],1
p11,1,4e-06,21.149481,[210  28] ; [116  50],[192.04950495  45.95049505] ; [133.95049505  32.04950495],1
p10,1,2.6e-05,17.677769,[214  22] ; [124  41],[198.92269327  37.07730673] ; [139.07730673  25.92269327],1
n5,1,3.9e-05,16.910664,[205  32] ; [115  50],[188.65671642  48.34328358] ; [131.34328358  33.65671642],1
n6,1,7.4e-05,15.712557,[216  20] ; [127  37],[202.37  33.63] ; [140.63  23.37],1
p5,1,0.000148,14.393325,[ 49 189] ; [ 11 151],[ 35.7 202.3] ; [ 24.3 137.7],1
p9,1,0.000213,13.713477,[220  16] ; [133  31],[208.27  27.73] ; [144.73  19.27],1
r4,1,0.001082,10.681491,[226  12] ; [142  24],[216.79207921  21.20792079] ; [151.20792079  14.79207921],0
a5,1,0.001758,9.7866,[200  38] ; [118  48],[187.33663366  50.66336634] ; [130.66336634  35.33663366],0
s8,1,0.00451,8.066086,[135 100] ; [71 94],[121.025 113.975] ; [84.975 80.025],0
d1,1,0.008474,6.930365,[182  56] ; [107  59],[170.25247525  67.74752475] ; [118.74752475  47.25247525],0
n4,1,0.012901,6.182591,[200  38] ; [122  43],[190.16377171  47.83622829] ; [131.83622829  33.16377171],0
b5,1,0.013171,6.146042,[139  99] ; [117  49],[150.81188119  87.18811881] ; [105.18811881  60.81188119],0
p1,1,0.038968,4.262268,[ 25 212] ; [  8 158],[ 19.40694789 217.59305211] ; [ 13.59305211 152.40694789],0
v4,1,0.039782,4.227158,[232   5] ; [155  10],[228.15671642   8.84328358] ; [158.84328358   6.15671642],0
v3,1,0.04045,4.198919,[128 104] ; [70 87],[118.0874036 113.9125964] ; [79.9125964 77.0874036],0
n2,1,0.051866,3.78008,[29  5] ; [29 15],[25.28205128  8.71794872] ; [32.71794872 11.28205128],0
d5,1,0.052181,3.769961,[217  21] ; [141  25],[210.9009901  27.0990099] ; [147.0990099  18.9009901],0
a7,1,0.064899,3.407542,[181  56] ; [113  53],[172.89826303  64.10173697] ; [121.10173697  44.89826303],0
p12,1,0.068781,3.311866,[ 31 207] ; [ 12 152],[ 25.45771144 212.54228856] ; [ 17.54228856 146.45771144],0
s5,1,0.0954,2.780815,[104 124] ; [ 59 100],[ 96.03100775 131.96899225] ; [66.96899225 92.03100775],0
s1,1,0.11724,2.453809,[  4 233] ; [  7 156],[  6.5175 230.4825] ; [  4.4825 158.5175],0
n1,1,0.14317,2.143556,[18 16] ; [16 28],[14.82051282 19.17948718] ; [19.17948718 24.82051282],0
a3,1,0.156137,2.011245,[189  47] ; [123  43],[183.1641791  52.8358209] ; [128.8358209  37.1641791],0
s7,1,0.171591,1.868988,[127  98] ; [78 80],[120.4308094 104.5691906] ; [84.5691906 73.4308094],0
u4,1,0.179669,1.800356,[ 10 228] ; [  3 163],[  7.65841584 230.34158416] ; [  5.34158416 160.65841584],0
a4,1,0.187955,1.733576,[117 120] ; [93 73],[123.49875931 113.50124069] ; [86.50124069 79.49875931],0
r2,1,0.199996,1.642404,[226   9] ; [154  11],[223.25  11.75] ; [156.75   8.25],0
r1,1,0.205548,1.602508,[203  33] ; [135  31],[198.4278607  37.5721393] ; [139.5721393  26.4278607],0
r3,1,0.208478,1.581965,[231   7] ; [157   9],[228.57425743   9.42574257] ; [159.42574257   6.57425743],0
u2,1,0.299782,1.075162,[27 22] ; [27 14],[29.4 19.6] ; [24.6 16.4],0
u1,1,0.311402,1.024721,[ 50 188] ; [ 42 124],[ 54.1980198 183.8019802] ; [ 37.8019802 128.1980198],0
d3,1,0.328621,0.954325,[189  49] ; [125  41],[184.98019802  53.01980198] ; [129.01980198  36.98019802],0
s3,1,0.453807,0.561127,[138  97] ; [89 73],[134.37027708 100.62972292] ; [92.62972292 69.37027708],0
s6,1,0.469174,0.52392,[171  60] ; [116  48],[167.84050633  63.15949367] ; [119.15949367  44.84050633],0
a8,1,0.515426,0.423036,[ 35 177] ; [ 21 129],[ 32.79558011 179.20441989] ; [ 23.20441989 126.79558011],0
a2,1,0.562696,0.335058,[ 64 174] ; [ 49 117],[ 66.56930693 171.43069307] ; [ 46.43069307 119.56930693],0
b3,1,0.625044,0.238842,[71 84] ; [44 59],[69.08914729 85.91085271] ; [45.91085271 57.08914729],0
b2,1,0.625044,0.238842,[71 84] ; [44 59],[69.08914729 85.91085271] ; [45.91085271 57.08914729],0
s2,1,0.638384,0.220861,[132 103] ; [96 68],[134.28571429 100.71428571] ; [93.71428571 70.28571429],0
b1,1,0.656458,0.197854,[ 88 150] ; [ 65 101],[ 90.13366337 147.86633663] ; [ 62.86633663 103.13366337],0
u3,1,0.674737,0.176111,[31 18] ; [29 14],[31.95652174 17.04347826] ; [28.04347826 14.95652174],0
b4,1,0.690609,0.158426,[143  95] ; [103  63],[144.92079208  93.07920792] ; [101.07920792  64.92079208],0
s4,1,0.707002,0.14129,[ 36 198] ; [ 23 141],[ 34.68844221 199.31155779] ; [ 24.31155779 139.68844221],0
d2,1,0.734895,0.114664,[131 107] ; [88 77],[129.33498759 108.66501241] ; [89.66501241 75.33498759],0
n3,1,0.781069,0.077243,[21 12] ; [30 15],[21.57692308 11.42307692] ; [29.42307692 15.57692308],0
v2,1,0.816584,0.053797,[164  70] ; [109  49],[162.96428571  71.03571429] ; [110.03571429  47.96428571],0
a6,1,0.844097,0.038673,[162  75] ; [115  51],[162.90074442  74.09925558] ; [114.09925558  51.90074442],0
a1,1,0.90902,0.013059,[ 15 223] ; [ 10 156],[ 14.72772277 223.27227723] ; [ 10.27227723 155.72772277],0
