Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.001714,9.833389,[6 4] ; [ 5 33],[2.29166667 7.70833333] ; [ 8.70833333 29.29166667],0
p4,1,0.010695,6.515235,[5 5] ; [ 5 33],[2.08333333 7.91666667] ; [ 7.91666667 30.08333333],0
p8,1,0.014911,5.926976,[4 5] ; [ 4 34],[1.53191489 7.46808511] ; [ 6.46808511 31.53191489],0
p2,1,0.015911,5.812649,[6 4] ; [ 8 30],[2.91666667 7.08333333] ; [11.08333333 26.91666667],0
p6,1,0.025214,5.009099,[3 7] ; [ 2 35],[1.06382979 8.93617021] ; [ 3.93617021 33.06382979],0
n4,1,0.067721,3.337421,[4 6] ; [27 11],[6.45833333 3.54166667] ; [24.54166667 13.45833333],0
r2,1,0.087912,2.912193,[4 6] ; [25 11],[6.30434783 3.69565217] ; [22.69565217 13.30434783],0
n5,1,0.10331,2.653693,[5 5] ; [29  9],[7.08333333 2.91666667] ; [26.91666667 11.08333333],0
d2,1,0.179738,1.799793,[2 8] ; [16 21],[3.82978723 6.17021277] ; [14.17021277 22.82978723],0
a3,1,0.209211,1.576876,[8 2] ; [21 15],[6.30434783 3.69565217] ; [22.69565217 13.30434783],0
d1,1,0.251936,1.312534,[2 8] ; [15 23],[3.54166667 6.45833333] ; [13.45833333 24.54166667],0
d5,1,0.312252,1.021126,[4 6] ; [22 16],[5.41666667 4.58333333] ; [20.58333333 17.41666667],0
a8,1,0.321813,0.981566,[1 9] ; [ 1 35],[0.43478261 9.56521739] ; [ 1.56521739 34.43478261],0
u2,1,0.421317,0.646639,[1 1] ; [ 4 13],[0.52631579 1.47368421] ; [ 4.47368421 12.52631579],0
s6,1,0.42243,0.643546,[3 7] ; [ 7 31],[2.08333333 7.91666667] ; [ 7.91666667 30.08333333],0
a4,1,0.503657,0.447222,[3 7] ; [15 21],[3.91304348 6.08695652] ; [14.08695652 21.91304348],0
p10,1,0.53646,0.38214,[4 6] ; [11 26],[3.19148936 6.80851064] ; [11.80851064 25.19148936],0
s7,1,0.537471,0.380247,[1 7] ; [ 8 28],[1.63636364 6.36363636] ; [ 7.36363636 28.63636364],0
b5,1,0.548006,0.360902,[5 5] ; [15 23],[4.16666667 5.83333333] ; [15.83333333 22.16666667],0
r4,1,0.585439,0.297524,[2 8] ; [ 5 33],[1.45833333 8.54166667] ; [ 5.54166667 32.45833333],0
v2,1,0.60922,0.261313,[2 8] ; [ 5 32],[1.4893617 8.5106383] ; [ 5.5106383 31.4893617],0
a6,1,0.677343,0.173132,[4 6] ; [18 20],[4.58333333 5.41666667] ; [17.41666667 20.58333333],0
v1,1,0.681519,0.168421,[3 7] ; [ 9 29],[2.5 7.5] ; [ 9.5 28.5],0
p9,1,0.739193,0.110837,[4 6] ; [12 23],[3.55555556 6.44444444] ; [12.44444444 22.55555556],0
s2,1,0.75057,0.101053,[2 8] ; [ 6 32],[1.66666667 8.33333333] ; [ 6.33333333 31.66666667],0
d3,1,0.766308,0.088333,[5 5] ; [17 21],[4.58333333 5.41666667] ; [17.41666667 20.58333333],0
s5,1,0.767681,0.087267,[1 9] ; [ 5 32],[1.27659574 8.72340426] ; [ 4.72340426 32.27659574],0
d4,1,0.788188,0.07218,[6 4] ; [21 17],[5.625 4.375] ; [21.375 16.625],0
b1,1,0.801573,0.063158,[7 3] ; [25 13],[6.66666667 3.33333333] ; [25.33333333 12.66666667],0
v3,1,0.805189,0.06083,[2 8] ; [ 9 29],[2.29166667 7.70833333] ; [ 8.70833333 29.29166667],0
n2,1,0.877059,0.023932,[2 2] ; [13 11],[2.14285714 1.85714286] ; [12.85714286 11.14285714],0
v4,1,0.882172,0.021968,[5 5] ; [20 18],[5.20833333 4.79166667] ; [19.79166667 18.20833333],0
a7,1,0.882172,0.021968,[5 5] ; [18 20],[4.79166667 5.20833333] ; [18.20833333 19.79166667],0
a5,1,0.882172,0.021968,[5 5] ; [18 20],[4.79166667 5.20833333] ; [18.20833333 19.79166667],0
b4,1,0.882172,0.021968,[5 5] ; [20 18],[5.20833333 4.79166667] ; [19.79166667 18.20833333],0
s3,1,0.890188,0.019062,[3 7] ; [10 26],[2.82608696 7.17391304] ; [10.17391304 25.82608696],0
n6,1,0.904364,0.014436,[4 6] ; [16 22],[4.16666667 5.83333333] ; [15.83333333 22.16666667],0
s4,1,0.909379,0.012955,[2 8] ; [ 7 31],[1.875 8.125] ; [ 7.125 30.875],0
s1,1,0.961336,0.00235,[1 9] ; [ 4 34],[1.04166667 8.95833333] ; [ 3.95833333 34.04166667],0
r1,1,0.975842,0.000917,[4 6] ; [15 23],[3.95833333 6.04166667] ; [15.04166667 22.95833333],0
n1,1,1.0,0.0,[2 2] ; [12 12],[2. 2.] ; [12. 12.],0
