Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.025347,5.0,[8 1] ; [2 4],[6. 3.] ; [4. 2.],0
a5,1,0.0456,3.996327,[9 2] ; [2 4],[7.11764706 3.88235294] ; [3.88235294 2.11764706],0
a3,1,0.063716,3.437921,[7 4] ; [1 5],[5.17647059 5.82352941] ; [2.82352941 3.17647059],0
a7,1,0.114758,2.487446,[8 3] ; [2 4],[6.47058824 4.52941176] ; [3.52941176 2.47058824],0
b4,1,0.114758,2.487446,[8 3] ; [2 4],[6.47058824 4.52941176] ; [3.52941176 2.47058824],0
s2,1,0.129392,2.299784,[6 5] ; [1 5],[4.52941176 6.47058824] ; [2.47058824 3.52941176],0
p3,1,0.168843,1.893182,[9 2] ; [3 3],[7.76470588 3.23529412] ; [4.23529412 1.76470588],0
p8,1,0.210075,1.570909,[8 2] ; [3 3],[6.875 3.125] ; [4.125 1.875],0
n4,1,0.210209,1.569986,[10  1] ; [4 2],[9.05882353 1.94117647] ; [4.94117647 1.05882353],0
p11,1,0.210209,1.569986,[10  1] ; [4 2],[9.05882353 1.94117647] ; [4.94117647 1.05882353],0
v3,1,0.231605,1.430976,[7 4] ; [2 4],[5.82352941 5.17647059] ; [3.17647059 2.82352941],0
b5,1,0.231605,1.430976,[4 7] ; [4 2],[5.17647059 5.82352941] ; [2.82352941 3.17647059],0
s6,1,0.247004,1.340171,[9 1] ; [4 2],[8.125 1.875] ; [4.875 1.125],0
u2,1,0.293718,1.1025,[3 1] ; [2 3],[2.22222222 1.77777778] ; [2.77777778 2.22222222],0
p6,1,0.348723,0.878099,[8 3] ; [3 3],[7.11764706 3.88235294] ; [3.88235294 2.11764706],0
d5,1,0.348723,0.878099,[3 8] ; [3 3],[3.88235294 7.11764706] ; [2.11764706 3.88235294],0
v2,1,0.402388,0.701178,[6 5] ; [2 4],[5.17647059 5.82352941] ; [2.82352941 3.17647059],0
d3,1,0.481556,0.495338,[2 9] ; [2 4],[2.58823529 8.41176471] ; [1.41176471 4.58823529],0
s8,1,0.515305,0.42328,[5 5] ; [2 4],[4.375 5.625] ; [2.625 3.375],0
p1,1,0.585106,0.298052,[4 7] ; [3 3],[4.52941176 6.47058824] ; [2.47058824 3.52941176],0
p10,1,0.622252,0.242716,[8 3] ; [5 1],[8.41176471 2.58823529] ; [4.58823529 1.41176471],0
p4,1,0.622252,0.242716,[8 3] ; [5 1],[8.41176471 2.58823529] ; [4.58823529 1.41176471],0
p12,1,0.622252,0.242716,[3 8] ; [1 5],[2.58823529 8.41176471] ; [1.41176471 4.58823529],0
u3,1,0.764177,0.09,[2 2] ; [2 3],[1.77777778 2.22222222] ; [2.22222222 2.77777778],0
p2,1,0.793258,0.068687,[8 3] ; [4 2],[7.76470588 3.23529412] ; [4.23529412 1.76470588],0
p7,1,0.793258,0.068687,[8 3] ; [4 2],[7.76470588 3.23529412] ; [4.23529412 1.76470588],0
b2,1,0.818971,0.052381,[3 4] ; [2 2],[3.18181818 3.81818182] ; [1.81818182 2.18181818],0
b3,1,0.818971,0.052381,[3 4] ; [2 2],[3.18181818 3.81818182] ; [1.81818182 2.18181818],0
v1,1,0.857596,0.032197,[6 5] ; [3 3],[5.82352941 5.17647059] ; [3.17647059 2.82352941],0
a6,1,0.857596,0.032197,[6 5] ; [3 3],[5.82352941 5.17647059] ; [3.17647059 2.82352941],0
b1,1,0.857596,0.032197,[5 6] ; [3 3],[5.17647059 5.82352941] ; [2.82352941 3.17647059],0
p9,1,0.868645,0.02735,[8 2] ; [5 1],[8.125 1.875] ; [4.875 1.125],0
a8,1,0.931175,0.007459,[2 9] ; [1 4],[2.0625 8.9375] ; [0.9375 4.0625],0
s1,1,0.93758,0.006133,[2 9] ; [1 5],[1.94117647 9.05882353] ; [1.05882353 4.94117647],0
r3,1,0.93758,0.006133,[9 2] ; [5 1],[9.05882353 1.94117647] ; [4.94117647 1.05882353],0
s3,1,1.0,0.0,[5 5] ; [3 3],[5. 5.] ; [3. 3.],0
