Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,26.951411,[ 7 17] ; [58 10],[16.95652174  7.04347826] ; [48.04347826 19.95652174],1
d1,1,1e-05,19.427284,[ 1 23] ; [38 30],[10.17391304 13.82608696] ; [28.82608696 39.17391304],1
d3,1,7.3e-05,15.736218,[ 5 19] ; [46 22],[13.30434783 10.69565217] ; [37.69565217 30.30434783],1
r3,1,0.000269,13.277946,[11 13] ; [57 11],[17.73913043  6.26086957] ; [50.26086957 17.73913043],1
a7,1,0.000781,11.286491,[ 8 16] ; [49 19],[14.86956522  9.13043478] ; [42.13043478 25.86956522],1
r4,1,0.004838,7.939134,[10 14] ; [50 18],[15.65217391  8.34782609] ; [44.34782609 23.65217391],0
r1,1,0.0056,7.674576,[10 14] ; [49 18],[15.56043956  8.43956044] ; [43.43956044 23.56043956],0
v2,1,0.005681,7.648877,[ 3 19] ; [30 34],[ 8.44186047 13.55813953] ; [24.55813953 39.44186047],0
s2,1,0.010611,6.529318,[ 3 21] ; [28 40],[ 8.08695652 15.91304348] ; [22.91304348 45.08695652],0
a1,1,0.014103,6.025152,[ 5 19] ; [ 3 65],[ 2.08695652 21.91304348] ; [ 5.91304348 62.08695652],0
p1,1,0.023732,5.11412,[ 6 18] ; [ 5 62],[ 2.9010989 21.0989011] ; [ 8.0989011 58.9010989],0
a5,1,0.024955,5.027,[10 14] ; [46 22],[14.60869565  9.39130435] ; [41.39130435 26.60869565],0
n5,1,0.029715,4.725682,[13 11] ; [20 48],[ 8.60869565 15.39130435] ; [24.39130435 43.60869565],0
u2,1,0.041558,4.153134,[4 9] ; [14  7],[6.88235294 6.11764706] ; [11.11764706  9.88235294],0
s3,1,0.052365,3.764073,[ 6 18] ; [32 35],[10.02197802 13.97802198] ; [27.97802198 39.02197802],0
v4,1,0.067148,3.351407,[13 10] ; [52 16],[16.42857143  6.57142857] ; [48.57142857 19.42857143],0
a4,1,0.076987,3.127388,[ 6 18] ; [31 37],[ 9.65217391 14.34782609] ; [27.34782609 40.65217391],0
a3,1,0.089398,2.885189,[11 12] ; [46 22],[14.40659341  8.59340659] ; [42.59340659 25.40659341],0
s6,1,0.110911,2.541196,[ 5 19] ; [26 41],[ 8.17582418 15.82417582] ; [22.82417582 44.17582418],0
p2,1,0.121426,2.398832,[ 9 15] ; [38 30],[12.26086957 11.73913043] ; [34.73913043 33.26086957],0
b3,1,0.138632,2.193077,[8 5] ; [14 23],[5.72 7.28] ; [16.28 20.72],0
b2,1,0.138632,2.193077,[8 5] ; [14 23],[5.72 7.28] ; [16.28 20.72],0
p10,1,0.147948,2.093281,[ 7 16] ; [32 35],[ 9.96666667 13.03333333] ; [29.03333333 37.96666667],0
