Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,28.062272,[120 113] ; [25 90],[ 97.08333333 135.91666667] ; [47.91666667 67.08333333],1
a6,1,2.6e-05,17.670601,[158  75] ; [51 64],[139.93390805  93.06609195] ; [69.06609195 45.93390805],1
p2,1,0.001841,9.701767,[194  38] ; [78 35],[182.91014493  49.08985507] ; [89.08985507 23.91014493],0
b5,1,0.015968,5.80643,[147  86] ; [57 58],[136.5862069  96.4137931] ; [67.4137931 47.5862069],0
b3,1,0.048305,3.899342,[34 88] ; [30 42],[40.24742268 81.75257732] ; [23.75257732 48.24742268],0
b2,1,0.048305,3.899342,[34 88] ; [30 42],[40.24742268 81.75257732] ; [23.75257732 48.24742268],0
d2,1,0.090442,2.866484,[ 29 204] ; [22 92],[ 34.24495677 198.75504323] ; [16.75504323 97.24495677],0
u3,1,0.096258,2.766467,[58 38] ; [23 27],[53.26027397 42.73972603] ; [27.73972603 22.26027397],0
p9,1,0.097913,2.739205,[185  40] ; [85 29],[179.20353982  45.79646018] ; [90.79646018 23.20353982],0
p4,1,0.125697,2.344854,[122 108] ; [50 63],[115.33527697 114.66472303] ; [56.66472303 56.33527697],0
s8,1,0.148931,2.083165,[ 75 156] ; [46 68],[ 81.0173913 149.9826087] ; [39.9826087 74.0173913],0
p10,1,0.152991,2.042169,[176  50] ; [80 33],[170.66666667  55.33333333] ; [85.33333333 27.66666667],0
p8,1,0.154256,2.029648,[113 114] ; [47 66],[106.82352941 120.17647059] ; [53.17647059 59.82352941],0
a1,1,0.203843,1.614624,[  6 227] ; [  6 109],[  8.03448276 224.96551724] ; [  3.96551724 111.03448276],0
v2,1,0.226209,1.46454,[115 106] ; [49 60],[109.83030303 111.16969697] ; [54.16969697 54.83030303],0
d5,1,0.24049,1.377721,[139  94] ; [61 54],[133.90804598  99.09195402] ; [66.09195402 48.90804598],0
p12,1,0.241263,1.373197,[ 11 218] ; [  9 104],[ 13.39181287 215.60818713] ; [  6.60818713 106.39181287],0
d4,1,0.271804,1.207618,[142  91] ; [63 52],[137.25574713  95.74425287] ; [67.74425287 47.25574713],0
s3,1,0.283521,1.150132,[116 112] ; [65 49],[120.66666667 107.33333333] ; [60.33333333 53.66666667],0
n2,1,0.288716,1.125597,[37 10] ; [29  4],[38.775  8.225] ; [27.225  5.775],0
a5,1,0.307568,1.041093,[139  94] ; [62 53],[134.57758621  98.42241379] ; [66.42241379 48.57758621],0
s1,1,0.313324,1.016613,[  7 220] ; [  6 107],[  8.67941176 218.32058824] ; [  4.32058824 108.67941176],0
a2,1,0.353258,0.86172,[ 16 217] ; [  5 110],[ 14.06034483 218.93965517] ; [  6.93965517 108.06034483],0
v3,1,0.410462,0.677463,[ 77 152] ; [42 68],[ 80.38643068 148.61356932] ; [38.61356932 71.38643068],0
p6,1,0.414457,0.665979,[ 73 155] ; [31 81],[ 69.74117647 158.25882353] ; [34.25882353 77.74117647],0
b1,1,0.442163,0.590662,[ 93 140] ; [41 74],[ 89.7183908 143.2816092] ; [44.2816092 70.7183908],0
b4,1,0.475873,0.508306,[135  98] ; [62 53],[131.89942529 101.10057471] ; [65.10057471 49.89942529],0
s5,1,0.496127,0.463211,[ 65 161] ; [35 73],[ 67.66467066 158.33532934] ; [32.33532934 75.66467066],0
r1,1,0.497317,0.460657,[186  45] ; [89 26],[183.5982659  47.4017341] ; [91.4017341 23.5982659],0
s6,1,0.504863,0.444699,[148  79] ; [67 42],[145.25297619  81.74702381] ; [69.74702381 39.25297619],0
n6,1,0.511648,0.430696,[190  42] ; [90 24],[187.74566474  44.25433526] ; [92.25433526 21.74566474],0
n3,1,0.542088,0.371683,[39  8] ; [24  7],[37.96153846  9.03846154] ; [25.03846154  5.96153846],0
s2,1,0.559775,0.340093,[102 127] ; [47 67],[ 99.47813411 129.52186589] ; [49.52186589 64.47813411],0
p11,1,0.566625,0.328363,[178  55] ; [91 24],[180.10632184  52.89367816] ; [88.89367816 26.10632184],0
p5,1,0.587171,0.294784,[ 27 204] ; [ 11 102],[ 25.51744186 205.48255814] ; [ 12.48255814 100.51744186],0
s4,1,0.594189,0.283849,[ 39 190] ; [17 98],[ 37.27906977 191.72093023] ; [18.72093023 96.27906977],0
n1,1,0.599469,0.275797,[16 30] ; [13 19],[17.1025641 28.8974359] ; [11.8974359 20.1025641],0
p7,1,0.614612,0.253514,[137  88] ; [65 47],[134.86646884  90.13353116] ; [67.13353116 44.86646884],0
n5,1,0.640208,0.21847,[162  69] ; [82 31],[163.84883721  67.15116279] ; [80.15116279 32.84883721],0
u1,1,0.679123,0.171115,[  8 225] ; [  3 112],[  7.36494253 225.63505747] ; [  3.63505747 111.36494253],0
v4,1,0.688825,0.16036,[225   8] ; [111   3],[225.61383285   7.38616715] ; [110.38616715   3.61383285],0
p1,1,0.702188,0.146206,[ 21 209] ; [  9 105],[ 20.05813953 209.94186047] ; [  9.94186047 104.05813953],0
u2,1,0.719844,0.128642,[51 45] ; [25 25],[49.97260274 46.02739726] ; [26.02739726 23.97260274],0
p3,1,0.745321,0.105505,[104 128] ; [49 65],[102.58959538 129.41040462] ; [50.41040462 63.58959538],0
a3,1,0.767248,0.087602,[135  97] ; [65 50],[133.71757925  98.28242075] ; [66.28242075 48.71757925],0
s7,1,0.767409,0.087477,[ 90 126] ; [49 64],[ 91.25835866 124.74164134] ; [47.74164134 65.25835866],0
r3,1,0.791025,0.070214,[227   5] ; [112   3],[226.65129683   5.34870317] ; [112.34870317   2.65129683],0
r2,1,0.858824,0.031638,[224   9] ; [111   4],[224.29597701   8.70402299] ; [110.70402299   4.29597701],0
a8,1,0.879599,0.022946,[ 34 186] ; [16 92],[ 33.53658537 186.46341463] ; [16.46341463 91.53658537],0
n4,1,0.952421,0.00356,[164  67] ; [82 33],[164.23699422  66.76300578] ; [81.76300578 33.23699422],0
