Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000153,14.338381,[ 2 29] ; [8 6],[ 6.88888889 24.11111111] ; [ 3.11111111 10.88888889],1
n6,1,0.012259,6.273041,[17 14] ; [13  1],[20.66666667 10.33333333] ; [9.33333333 4.66666667],0
n5,1,0.013829,6.059837,[15 17] ; [12  2],[18.7826087 13.2173913] ; [8.2173913 5.7826087],0
p7,1,0.020762,5.34662,[ 9 23] ; [9 5],[12.52173913 19.47826087] ; [5.47826087 8.52173913],0
p8,1,0.022791,5.184332,[ 7 24] ; [8 6],[10.33333333 20.66666667] ; [4.66666667 9.33333333],0
p10,1,0.031686,4.615385,[16 16] ; [11  2],[19.2 12.8] ; [7.8 5.2],0
p11,1,0.035116,4.439547,[17 15] ; [12  2],[20.17391304 11.82608696] ; [8.82608696 5.17391304],0
s6,1,0.042254,4.125,[13 19] ; [9 3],[16. 16.] ; [6. 6.],0
r2,1,0.050304,3.831293,[22  8] ; [6 8],[19.09090909 10.90909091] ; [8.90909091 5.09090909],0
n4,1,0.053532,3.727232,[18 14] ; [12  2],[20.86956522 11.13043478] ; [9.13043478 4.86956522],0
a8,1,0.055163,3.677152,[ 4 27] ; [5 8],[ 6.34090909 24.65909091] ; [ 2.65909091 10.34090909],0
u3,1,0.058375,3.582959,[ 2 11] ; [3 2],[3.61111111 9.38888889] ; [1.38888889 3.61111111],0
p6,1,0.065864,3.383195,[ 7 24] ; [7 7],[ 9.64444444 21.35555556] ; [4.35555556 9.64444444],0
p9,1,0.090043,2.873597,[18 13] ; [11  2],[20.43181818 10.56818182] ; [8.56818182 4.43181818],0
s7,1,0.147299,2.1,[ 8 22] ; [6 6],[10. 20.] ; [4. 8.],0
d3,1,0.199934,1.642857,[18 14] ; [5 9],[16. 16.] ; [7. 7.],0
s3,1,0.202462,1.624528,[13 19] ; [8 5],[14.93333333 17.06666667] ; [6.06666667 6.93333333],0
p2,1,0.212787,1.552361,[16 15] ; [10  4],[17.91111111 13.08888889] ; [8.08888889 5.91111111],0
p3,1,0.225845,1.466837,[ 8 24] ; [6 8],[ 9.73913043 22.26086957] ; [4.26086957 9.73913043],0
v1,1,0.252709,1.308267,[ 8 23] ; [6 8],[ 9.64444444 21.35555556] ; [4.35555556 9.64444444],0
u2,1,0.254524,1.298302,[4 9] ; [3 2],[5.05555556 7.94444444] ; [1.94444444 3.05555556],0
a2,1,0.264022,1.247545,[ 3 29] ; [ 3 11],[ 4.17391304 27.82608696] ; [ 1.82608696 12.17391304],0
a6,1,0.300723,1.070986,[13 19] ; [8 6],[14.60869565 17.39130435] ; [6.39130435 7.60869565],0
d4,1,0.308457,1.037269,[27  5] ; [10  4],[25.73913043  6.26086957] ; [11.26086957  2.73913043],0
a4,1,0.326717,0.961866,[ 9 23] ; [6 8],[10.43478261 21.56521739] ; [4.56521739 9.43478261],0
d1,1,0.370768,0.801088,[16 16] ; [5 9],[14.60869565 17.39130435] ; [6.39130435 7.60869565],0
p5,1,0.373468,0.792092,[ 2 30] ; [ 2 12],[ 2.7826087 29.2173913] ; [ 1.2173913 12.7826087],0
p4,1,0.428207,0.62768,[12 20] ; [7 7],[13.2173913 18.7826087] ; [5.7826087 8.2173913],0
s4,1,0.431872,0.617783,[ 5 27] ; [ 1 13],[ 4.17391304 27.82608696] ; [ 1.82608696 12.17391304],0
b4,1,0.457726,0.551449,[24  8] ; [9 5],[22.95652174  9.04347826] ; [10.04347826  3.95652174],0
p1,1,0.538652,0.378044,[ 1 31] ; [ 1 13],[ 1.39130435 30.60869565] ; [ 0.60869565 13.39130435],0
n2,1,0.550985,0.355556,[7 5] ; [3 1],[7.5 4.5] ; [2.5 1.5],0
s2,1,0.641838,0.216346,[10 22] ; [5 8],[10.66666667 21.33333333] ; [4.33333333 8.66666667],0
r1,1,0.655421,0.199134,[16 16] ; [8 6],[16.69565217 15.30434783] ; [7.30434783 6.69565217],0
a5,1,0.753511,0.098604,[19 13] ; [9 5],[19.47826087 12.52173913] ; [8.52173913 5.47826087],0
a3,1,0.753511,0.098604,[19 13] ; [9 5],[19.47826087 12.52173913] ; [8.52173913 5.47826087],0
n1,1,0.771084,0.084656,[5 7] ; [2 2],[5.25 6.75] ; [1.75 2.25],0
d5,1,0.793866,0.068275,[24  8] ; [11  3],[24.34782609  7.65217391] ; [10.65217391  3.34782609],0
d2,1,0.801251,0.063367,[17 15] ; [8 6],[17.39130435 14.60869565] ; [7.60869565 6.39130435],0
u1,1,0.804737,0.061118,[ 3 29] ; [ 1 13],[ 2.7826087 29.2173913] ; [ 1.2173913 12.7826087],0
r4,1,0.845211,0.038116,[15 17] ; [7 7],[15.30434783 16.69565217] ; [6.69565217 7.30434783],0
b5,1,0.887494,0.020015,[19 13] ; [8 6],[18.7826087 13.2173913] ; [8.2173913 5.7826087],0
v2,1,0.887494,0.020015,[19 13] ; [8 6],[18.7826087 13.2173913] ; [8.2173913 5.7826087],0
a7,1,0.887494,0.020015,[19 13] ; [8 6],[18.7826087 13.2173913] ; [8.2173913 5.7826087],0
s1,1,0.910149,0.012735,[ 2 30] ; [ 1 13],[ 2.08695652 29.91304348] ; [ 0.91304348 13.08695652],0
s5,1,0.97141,0.001284,[ 7 24] ; [ 3 10],[ 7.04545455 23.95454545] ; [ 2.95454545 10.04545455],0
b2,1,0.979092,0.000687,[ 7 12] ; [4 7],[ 6.96666667 12.03333333] ; [4.03333333 6.96666667],0
b3,1,0.979092,0.000687,[ 7 12] ; [4 7],[ 6.96666667 12.03333333] ; [4.03333333 6.96666667],0
b1,1,1.0,0.0,[16 16] ; [7 7],[16. 16.] ; [7. 7.],0
