Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,6e-06,20.631363,[117  26] ; [31 30],[103.74509804  39.25490196] ; [44.25490196 16.74509804],1
b1,1,2.2e-05,18.027705,[ 34 109] ; [34 29],[47.2038835 95.7961165] ; [20.7961165 42.2038835],1
p9,1,0.00017,14.140004,[125  17] ; [40 21],[115.41871921  26.58128079] ; [49.58128079 11.41871921],1
a6,1,0.002196,9.378374,[104  39] ; [32 31],[94.40776699 48.59223301] ; [41.59223301 21.40776699],0
n5,1,0.002884,8.879649,[109  34] ; [35 28],[99.96116505 43.03883495] ; [44.03883495 18.96116505],0
n4,1,0.003528,8.512089,[114  29] ; [38 25],[105.51456311  37.48543689] ; [46.48543689 16.51456311],0
p1,1,0.00669,7.354461,[  8 135] ; [11 52],[ 13.18932039 129.81067961] ; [ 5.81067961 57.18932039],0
a5,1,0.007785,7.08238,[110  33] ; [37 26],[102.04368932  40.95631068] ; [44.95631068 18.04368932],0
p12,1,0.020618,5.358806,[ 20 123] ; [ 2 61],[ 15.27184466 127.72815534] ; [ 6.72815534 56.27184466],0
n6,1,0.055957,3.653341,[126  17] ; [49 14],[121.48058252  21.51941748] ; [53.51941748  9.48058252],0
a7,1,0.061048,3.508687,[95 48] ; [50 13],[100.65533981  42.34466019] ; [44.34466019 18.65533981],0
a3,1,0.079255,3.080116,[101  42] ; [36 26],[95.56585366 47.43414634] ; [41.43414634 20.56585366],0
s7,1,0.102024,2.673611,[68 72] ; [35 22],[73.19796954 66.80203046] ; [29.80203046 27.19796954],0
s5,1,0.105742,2.616726,[43 94] ; [26 34],[47.98477157 89.01522843] ; [21.01522843 38.98477157],0
b4,1,0.114218,2.494871,[98 45] ; [36 27],[93.01941748 49.98058252] ; [40.98058252 22.01941748],0
s2,1,0.117541,2.44978,[84 56] ; [45 18],[88.96551724 51.03448276] ; [40.03448276 22.96551724],0
n3,1,0.148898,2.083507,[26  7] ; [20 12],[23.35384615  9.64615385] ; [22.64615385  9.35384615],0
r3,1,0.160297,1.971418,[135   8] ; [56  7],[132.58737864  10.41262136] ; [58.41262136  4.58737864],0
b3,1,0.17368,1.850891,[33 50] ; [ 9 25],[29.79487179 53.20512821] ; [12.20512821 21.79487179],0
b2,1,0.17368,1.850891,[33 50] ; [ 9 25],[29.79487179 53.20512821] ; [12.20512821 21.79487179],0
b5,1,0.179912,1.798347,[102  41] ; [39 24],[97.87864078 45.12135922] ; [43.12135922 19.87864078],0
d4,1,0.180161,1.796296,[111  32] ; [54  9],[114.53883495  28.46116505] ; [50.46116505 12.53883495],0
p2,1,0.183024,1.772895,[104  39] ; [40 23],[99.96116505 43.03883495] ; [44.03883495 18.96116505],0
d3,1,0.202416,1.624853,[89 54] ; [45 18],[93.01941748 49.98058252] ; [40.98058252 22.01941748],0
v1,1,0.245119,1.350908,[73 62] ; [28 34],[69.21319797 65.78680203] ; [31.78680203 30.21319797],0
s4,1,0.266724,1.233517,[ 26 114] ; [16 47],[ 28.96551724 111.03448276] ; [13.03448276 49.96551724],0
s1,1,0.269515,1.219214,[  6 135] ; [ 5 57],[  7.64039409 133.35960591] ; [ 3.35960591 58.64039409],0
d5,1,0.285659,1.139968,[111  32] ; [53 10],[113.84466019  29.15533981] ; [50.15533981 12.84466019],0
v4,1,0.301845,1.066026,[135   8] ; [57  6],[133.2815534   9.7184466] ; [58.7184466  4.2815534],0
p5,1,0.337292,0.920696,[ 10 131] ; [ 7 56],[ 11.75 129.25] ; [ 5.25 57.75],0
a8,1,0.363856,0.824539,[ 15 115] ; [ 4 52],[ 13.27956989 116.72043011] ; [ 5.72043011 50.27956989],0
r1,1,0.410264,0.678037,[110  32] ; [52 11],[112.21463415  29.78536585] ; [49.78536585 13.21463415],0
p3,1,0.425711,0.634496,[56 87] ; [21 42],[53.45145631 89.54854369] ; [23.54854369 39.45145631],0
a1,1,0.473299,0.514264,[  4 139] ; [ 3 60],[  4.8592233 138.1407767] ; [ 2.1407767 60.8592233],0
p4,1,0.49485,0.465964,[71 72] ; [34 28],[73.24390244 69.75609756] ; [31.75609756 30.24390244],0
d1,1,0.539993,0.375552,[82 61] ; [39 24],[83.99514563 59.00485437] ; [37.00485437 25.99514563],0
r2,1,0.543988,0.368199,[133  10] ; [60  3],[133.97572816   9.02427184] ; [59.02427184  3.97572816],0
v3,1,0.639374,0.219562,[52 83] ; [21 39],[50.53846154 84.46153846] ; [22.46153846 37.53846154],0
p6,1,0.672236,0.178998,[ 26 116] ; [10 53],[ 24.93658537 117.06341463] ; [11.06341463 51.93658537],0
u3,1,0.674116,0.176825,[27 15] ; [16 11],[26.17391304 15.82608696] ; [16.82608696 10.17391304],0
v2,1,0.716707,0.13167,[73 61] ; [31 29],[71.83505155 62.16494845] ; [32.16494845 27.83505155],0
n2,1,0.721771,0.126802,[25  8] ; [23  9],[24.36923077  8.63076923] ; [23.63076923  8.36923077],0
u2,1,0.73009,0.119029,[26 16] ; [15 11],[25.32352941 16.67647059] ; [15.67647059 10.32352941],0
s3,1,0.740786,0.109437,[93 46] ; [40 22],[91.97512438 47.02487562] ; [41.02487562 20.97512438],0
d2,1,0.80606,0.060276,[74 68] ; [34 29],[74.8097561 67.1902439] ; [33.1902439 29.8097561],0
s8,1,0.861574,0.030405,[68 74] ; [31 32],[68.57560976 73.42439024] ; [30.42439024 32.57560976],0
u4,1,0.882014,0.022028,[  4 139] ; [ 2 61],[  4.16504854 138.83495146] ; [ 1.83495146 61.16504854],0
r4,1,0.894118,0.017714,[128  15] ; [56  7],[127.72815534  15.27184466] ; [56.27184466  6.72815534],0
u1,1,0.901079,0.01545,[ 26 117] ; [11 52],[ 25.68446602 117.31553398] ; [11.31553398 51.68446602],0
a2,1,0.930631,0.007578,[ 31 112] ; [14 49],[ 31.23786408 111.76213592] ; [13.76213592 49.23786408],0
a4,1,0.979703,0.000647,[62 81] ; [27 35],[62.08292683 80.91707317] ; [26.91707317 35.08292683],0
n1,1,0.981209,0.000555,[15 18] ; [14 17],[14.953125 18.046875] ; [14.046875 16.953125],0
p8,1,0.983424,0.000432,[ 34 108] ; [15 48],[ 33.94146341 108.05853659] ; [15.05853659 47.94146341],0
