Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000279,13.206812,[31 76] ; [18  9],[39.12686567 67.87313433] ; [ 9.87313433 17.12686567],1
p6,1,0.003428,8.564189,[14 94] ; [10 17],[19.2 88.8] ; [ 4.8 22.2],0
d4,1,0.014962,5.920922,[76 33] ; [25  2],[80.94852941 28.05147059] ; [20.05147059  6.94852941],0
n1,1,0.038081,4.301408,[20 35] ; [6 2],[22.6984127 32.3015873] ; [3.3015873 4.6984127],0
r2,1,0.099825,2.708333,[91 17] ; [26  1],[93.6 14.4] ; [23.4  3.6],0
v2,1,0.122403,2.386306,[35 69] ; [13 13],[38.4 65.6] ; [ 9.6 16.4],0
a8,1,0.129068,2.303678,[ 9 93] ; [ 5 21],[11.15625 90.84375] ; [ 2.84375 23.15625],0
v1,1,0.134137,2.243966,[36 74] ; [13 14],[39.34306569 70.65693431] ; [ 9.65693431 17.34306569],0
n4,1,0.138547,2.194028,[63 47] ; [19  7],[66.32352941 43.67647059] ; [15.67647059 10.32352941],0
n2,1,0.139679,2.181488,[34 22] ; [7 1],[35.875 20.125] ; [5.125 2.875],0
s5,1,0.14965,2.075815,[20 86] ; [ 8 17],[22.65648855 83.34351145] ; [ 5.34351145 19.65648855],0
v4,1,0.173707,1.850654,[84 25] ; [24  3],[86.55882353 22.44117647] ; [21.44117647  5.55882353],0
p1,1,0.187677,1.735759,[  5 106] ; [ 3 24],[  6.43478261 104.56521739] ; [ 1.56521739 25.43478261],0
a3,1,0.242528,1.365841,[67 41] ; [20  7],[69.6 38.4] ; [17.4  9.6],0
s6,1,0.280025,1.166969,[44 65] ; [14 13],[46.48529412 62.51470588] ; [11.51470588 15.48529412],0
a1,1,0.304685,1.053577,[ 11 100] ; [ 1 26],[  9.65217391 101.34782609] ; [ 2.34782609 24.65217391],0
r4,1,0.335725,0.926687,[67 44] ; [19  8],[69.17391304 41.82608696] ; [16.82608696 10.17391304],0
n5,1,0.352683,0.86378,[66 44] ; [13 13],[63.89705882 46.10294118] ; [15.10294118 10.89705882],0
b4,1,0.358068,0.84466,[59 52] ; [17 10],[61.13043478 49.86956522] ; [14.86956522 12.13043478],0
b1,1,0.365273,0.819682,[55 56] ; [16 11],[57.10869565 53.89130435] ; [13.89130435 13.10869565],0
p2,1,0.369986,0.803713,[51 60] ; [15 12],[53.08695652 57.91304348] ; [12.91304348 14.08695652],0
b5,1,0.379154,0.773443,[68 43] ; [19  8],[69.97826087 41.02173913] ; [17.02173913  9.97826087],0
s8,1,0.390005,0.738926,[24 86] ; [ 8 19],[25.69343066 84.30656934] ; [ 6.30656934 20.69343066],0
u1,1,0.448648,0.574066,[14 97] ; [ 2 25],[12.86956522 98.13043478] ; [ 3.13043478 23.86956522],0
s3,1,0.463193,0.538168,[44 65] ; [13 14],[45.68382353 63.31617647] ; [11.31617647 15.68382353],0
s7,1,0.463652,0.537063,[31 73] ; [ 9 15],[32.5 71.5] ; [ 7.5 16.5],0
d1,1,0.470836,0.520013,[49 62] ; [14 13],[50.67391304 60.32608696] ; [12.32608696 14.67391304],0
a5,1,0.503191,0.448201,[62 49] ; [17 10],[63.54347826 47.45652174] ; [15.45652174 11.54347826],0
d2,1,0.519909,0.414073,[49 60] ; [14 13],[50.49264706 58.50735294] ; [12.50735294 14.49264706],0
n6,1,0.525789,0.402523,[62 47] ; [13 13],[60.55555556 48.44444444] ; [14.44444444 11.55555556],0
p10,1,0.549494,0.358225,[50 56] ; [11 16],[48.61654135 57.38345865] ; [12.38345865 14.61654135],0
u3,1,0.652136,0.203217,[15 29] ; [3 4],[15.52941176 28.47058824] ; [2.47058824 4.52941176],0
d5,1,0.724087,0.124611,[77 32] ; [20  7],[77.74264706 31.25735294] ; [19.25735294  7.74264706],0
p9,1,0.724524,0.1242,[53 49] ; [13 14],[52.18604651 49.81395349] ; [13.81395349 13.18604651],0
v3,1,0.738126,0.111781,[26 79] ; [ 7 18],[26.65384615 78.34615385] ; [ 6.34615385 18.65384615],0
b2,1,0.769254,0.086054,[22 33] ; [5 9],[21.52173913 33.47826087] ; [5.47826087 8.52173913],0
b3,1,0.769254,0.086054,[22 33] ; [5 9],[21.52173913 33.47826087] ; [5.47826087 8.52173913],0
a2,1,0.780713,0.077501,[22 89] ; [ 6 21],[22.52173913 88.47826087] ; [ 5.47826087 21.52173913],0
s2,1,0.783899,0.075209,[38 73] ; [10 17],[38.60869565 72.39130435] ; [ 9.39130435 17.60869565],0
r3,1,0.794342,0.067952,[78 31] ; [20  7],[78.54411765 30.45588235] ; [19.45588235  7.54411765],0
r1,1,0.811767,0.056714,[70 39] ; [18  9],[70.52941176 38.47058824] ; [17.47058824  9.52941176],0
p8,1,0.814558,0.055014,[22 87] ; [ 6 21],[22.44117647 86.55882353] ; [ 5.55882353 21.44117647],0
d3,1,0.862882,0.029828,[58 50] ; [15 12],[58.4 49.6] ; [14.6 12.4],0
s4,1,0.878502,0.023369,[22 89] ; [ 5 22],[21.7173913 89.2826087] ; [ 5.2826087 21.7173913],0
u2,1,0.968737,0.001536,[18 26] ; [2 3],[17.95918367 26.04081633] ; [2.04081633 2.95918367],0
a4,1,0.971739,0.001255,[44 65] ; [11 16],[44.08088235 64.91911765] ; [10.91911765 16.08088235],0
a7,1,0.975881,0.000914,[73 36] ; [18  9],[72.93382353 36.06617647] ; [18.06617647  8.93382353],0
a6,1,0.987279,0.000254,[65 45] ; [16 11],[65.03649635 44.96350365] ; [15.96350365 11.03649635],0
s1,1,0.990336,0.000147,[  8 101] ; [ 2 25],[  8.01470588 100.98529412] ; [ 1.98529412 25.01470588],0
