Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,4e-06,21.487979,[45 23] ; [ 8 32],[33.37037037 34.62962963] ; [19.62962963 20.37037037],1
s2,1,1.1e-05,19.246793,[42 27] ; [ 7 33],[31.01834862 37.98165138] ; [17.98165138 22.01834862],1
s5,1,0.00047,12.229651,[30 36] ; [ 5 35],[21.79245283 44.20754717] ; [13.20754717 26.79245283],1
s8,1,0.008222,6.984549,[27 42] ; [ 6 34],[20.88990826 48.11009174] ; [12.11009174 27.88990826],0
s7,1,0.009259,6.772235,[29 39] ; [ 7 32],[22.87850467 45.12149533] ; [13.12149533 25.87850467],0
s4,1,0.030566,4.677156,[19 50] ; [ 4 36],[14.55963303 54.44036697] ; [ 8.44036697 31.55963303],0
r3,1,0.04164,4.149766,[67  1] ; [36  4],[64.85185185  3.14814815] ; [38.14814815  1.85185185],0
b4,1,0.074805,3.174316,[48 21] ; [21 19],[43.67889908 25.32110092] ; [25.32110092 14.67889908],0
a6,1,0.076908,3.129061,[51 18] ; [23 17],[46.8440367 22.1559633] ; [27.1559633 12.8440367],0
a2,1,0.086428,2.939681,[16 53] ; [ 4 36],[12.66055046 56.33944954] ; [ 7.33944954 32.66055046],0
p10,1,0.101265,2.685501,[52 16] ; [24 15],[48.29906542 19.70093458] ; [27.70093458 11.29906542],0
p3,1,0.106058,2.611993,[29 40] ; [10 28],[25.14953271 43.85046729] ; [13.85046729 24.14953271],0
a7,1,0.125728,2.344476,[57 12] ; [28 12],[53.80733945 15.19266055] ; [31.19266055  8.80733945],0
p9,1,0.170425,1.879202,[55 13] ; [27 12],[52.11214953 15.88785047] ; [29.88785047  9.11214953],0
a3,1,0.178553,1.809628,[45 24] ; [31  9],[48.11009174 20.88990826] ; [27.88990826 12.11009174],0
p4,1,0.208439,1.582235,[37 32] ; [16 23],[33.86111111 35.13888889] ; [19.13888889 19.86111111],0
p7,1,0.211367,1.562042,[41 26] ; [19 20],[37.9245283 29.0754717] ; [22.0754717 16.9245283],0
a4,1,0.226081,1.465349,[25 44] ; [10 30],[22.1559633 46.8440367] ; [12.8440367 27.1559633],0
r2,1,0.254662,1.297546,[65  3] ; [36  4],[63.59259259  4.40740741] ; [37.40740741  2.59259259],0
b1,1,0.279148,1.171231,[19 50] ; [15 25],[21.52293578 47.47706422] ; [12.47706422 27.52293578],0
a8,1,0.279867,1.167736,[ 1 62] ; [ 2 35],[ 1.89 61.11] ; [ 1.11 35.89],0
s1,1,0.281117,1.161681,[ 1 67] ; [ 2 38],[ 1.88888889 66.11111111] ; [ 1.11111111 38.88888889],0
n2,1,0.281942,1.157705,[18  5] ; [8 5],[16.61111111  6.38888889] ; [9.38888889 3.61111111],0
n6,1,0.28237,1.155649,[47 20] ; [24 16],[44.45794393 22.54205607] ; [26.54205607 13.45794393],0
u1,1,0.385424,0.753331,[11 58] ; [ 4 36],[ 9.49541284 59.50458716] ; [ 5.50458716 34.49541284],0
p5,1,0.395355,0.722408,[ 4 65] ; [ 4 35],[ 5.11111111 63.88888889] ; [ 2.88888889 36.11111111],0
d3,1,0.41367,0.668227,[50 19] ; [26 14],[48.11009174 20.88990826] ; [27.88990826 12.11009174],0
p1,1,0.419197,0.652564,[ 4 64] ; [ 1 39],[ 3.14814815 64.85185185] ; [ 1.85185185 38.14814815],0
a5,1,0.449692,0.571428,[48 21] ; [25 15],[46.21100917 22.78899083] ; [26.78899083 13.21100917],0
p6,1,0.479073,0.500973,[19 49] ; [ 8 29],[17.48571429 50.51428571] ; [ 9.51428571 27.48571429],0
b5,1,0.481963,0.494418,[41 28] ; [21 19],[39.24770642 29.75229358] ; [22.75229358 17.24770642],0
v3,1,0.492931,0.470121,[30 37] ; [14 23],[28.34615385 38.65384615] ; [15.65384615 21.34615385],0
b3,1,0.494225,0.467315,[ 9 22] ; [ 8 13],[10.13461538 20.86538462] ; [ 6.86538462 14.13461538],0
b2,1,0.494225,0.467315,[ 9 22] ; [ 8 13],[10.13461538 20.86538462] ; [ 6.86538462 14.13461538],0
d2,1,0.507813,0.438571,[25 44] ; [12 28],[23.42201835 45.57798165] ; [13.57798165 26.42201835],0
n5,1,0.549018,0.359079,[26 42] ; [13 27],[24.55555556 43.44444444] ; [14.44444444 25.55555556],0
r4,1,0.590409,0.289706,[58 11] ; [32  8],[56.97247706 12.02752294] ; [33.02752294  6.97247706],0
d1,1,0.608966,0.261683,[38 31] ; [20 20],[36.71559633 32.28440367] ; [21.28440367 18.71559633],0
v4,1,0.631497,0.230036,[63  5] ; [38  2],[63.59259259  4.40740741] ; [37.40740741  2.59259259],0
n1,1,0.643563,0.214113,[ 5 18] ; [ 2 11],[ 4.47222222 18.52777778] ; [ 2.52777778 10.47222222],0
d5,1,0.646389,0.210484,[56 13] ; [31  9],[55.0733945 13.9266055] ; [31.9266055  8.0733945],0
p12,1,0.66759,0.184434,[ 5 64] ; [ 2 37],[ 4.47222222 64.52777778] ; [ 2.52777778 36.47222222],0
r1,1,0.67342,0.177627,[55 13] ; [31  9],[54.14814815 13.85185185] ; [31.85185185  8.14814815],0
p2,1,0.684484,0.165122,[52 17] ; [28 11],[51.11111111 17.88888889] ; [28.88888889 10.11111111],0
d4,1,0.734503,0.115017,[57 12] ; [32  8],[56.33944954 12.66055046] ; [32.66055046  7.33944954],0
p8,1,0.758055,0.094886,[33 34] ; [18 21],[32.23584906 34.76415094] ; [18.76415094 20.23584906],0
u2,1,0.776105,0.080882,[12 12] ; [4 5],[11.63636364 12.36363636] ; [4.36363636 4.63636364],0
u3,1,0.885663,0.020677,[14 10] ; [5 4],[13.81818182 10.18181818] ; [5.18181818 3.81818182],0
v1,1,0.954929,0.003194,[37 31] ; [21 18],[36.85981308 31.14018692] ; [21.14018692 17.85981308],0
p11,1,0.96202,0.002268,[48 21] ; [28 12],[48.11009174 20.88990826] ; [27.88990826 12.11009174],0
n3,1,0.968457,0.001564,[14  9] ; [8 5],[14.05555556  8.94444444] ; [7.94444444 5.05555556],0
