Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,5e-06,20.678176,[103  71] ; [ 85 148],[80.37346437 93.62653563] ; [107.62653563 125.37346437],1
r3,1,0.000981,10.863505,[174   2] ; [214  20],[166.55609756   9.44390244] ; [221.44390244  12.55609756],1
s1,1,0.005954,7.564033,[  1 174] ; [ 13 220],[  6.00490196 168.99509804] ; [  7.99509804 225.00490196],0
u1,1,0.006054,7.534218,[ 42 136] ; [ 31 204],[ 31.46246973 146.53753027] ; [ 41.53753027 193.46246973],0
a5,1,0.009029,6.816999,[143  35] ; [162  73],[131.4527845  46.5472155] ; [173.5472155  61.4527845],0
a6,1,0.01783,5.6128,[131  47] ; [147  88],[119.81598063  58.18401937] ; [158.18401937  76.81598063],0
d5,1,0.022257,5.225584,[153  25] ; [181  54],[143.95157385  34.04842615] ; [190.04842615  44.95157385],0
p9,1,0.028351,4.806618,[149  26] ; [178  55],[140.25735294  34.74264706] ; [186.74264706  46.25735294],0
n3,1,0.035065,4.442005,[27  5] ; [48 27],[22.42990654  9.57009346] ; [52.57009346 22.42990654],0
p3,1,0.041112,4.171383,[89 88] ; [ 94 140],[78.81021898 98.18978102] ; [104.18978102 129.81021898],0
a7,1,0.053284,3.734978,[140  38] ; [165  70],[131.4527845  46.5472155] ; [173.5472155  61.4527845],0
r4,1,0.062335,3.474151,[171   7] ; [215  20],[166.36319613  11.63680387] ; [219.63680387  15.36319613],0
d4,1,0.063822,3.435168,[156  22] ; [190  45],[149.12348668  28.87651332] ; [196.87651332  38.12348668],0
d2,1,0.080123,3.062396,[95 83] ; [105 130],[86.19854722 91.80145278] ; [113.80145278 121.19854722],0
p10,1,0.115645,2.475338,[141  34] ; [173  61],[134.35207824  40.64792176] ; [179.64792176  54.35207824],0
p1,1,0.166446,1.914667,[  9 169] ; [ 20 213],[ 12.55961071 165.44038929] ; [ 16.44038929 216.55961071],0
r2,1,0.184186,1.76352,[171   5] ; [221  13],[168.27317073   7.72682927] ; [223.72682927  10.27317073],0
s3,1,0.274102,1.196105,[91 86] ; [133 101],[96.46715328 80.53284672] ; [127.53284672 106.46715328],0
d1,1,0.275442,1.189442,[108  70] ; [130 105],[102.57627119  75.42372881] ; [135.42372881  99.57627119],0
a1,1,0.28266,1.154254,[  3 175] ; [  8 227],[  4.7409201 173.2590799] ; [  6.2590799 228.7409201],0
n6,1,0.290787,1.115973,[147  28] ; [187  47],[142.90953545  32.09046455] ; [191.09046455  42.90953545],0
p5,1,0.301184,1.068947,[ 11 166] ; [ 21 213],[ 13.7810219 163.2189781] ; [ 18.2189781 215.7810219],0
s4,1,0.319167,0.992358,[ 30 147] ; [ 48 182],[ 33.92137592 143.07862408] ; [ 44.07862408 185.92137592],0
p11,1,0.322324,0.979494,[140  38] ; [175  60],[135.76271186  42.23728814] ; [179.23728814  55.76271186],0
p7,1,0.325622,0.966229,[112  62] ; [137  93],[107.24257426  66.75742574] ; [141.75742574  88.24257426],0
a3,1,0.336111,0.925209,[130  48] ; [160  73],[125.59610706  52.40389294] ; [164.40389294  68.59610706],0
n2,1,0.368303,0.809381,[24  8] ; [51 26],[22.01834862  9.98165138] ; [52.98165138 24.01834862],0
b5,1,0.372723,0.794565,[110  68] ; [135 100],[105.59322034  72.40677966] ; [139.40677966  95.59322034],0
b1,1,0.387393,0.747108,[ 66 112] ; [ 97 138],[ 70.25181598 107.74818402] ; [ 92.74818402 142.25181598],0
a8,1,0.426091,0.633454,[ 26 135] ; [ 29 190],[ 23.30263158 137.69736842] ; [ 31.69736842 187.30263158],0
a2,1,0.43806,0.60136,[ 46 132] ; [ 53 182],[ 42.66828087 135.33171913] ; [ 56.33171913 178.66828087],0
u3,1,0.467112,0.5288,[28 20] ; [48 26],[29.90163934 18.09836066] ; [46.09836066 27.90163934],0
s6,1,0.47244,0.516263,[123  53] ; [151  76],[119.66253102  56.33746898] ; [154.33746898  72.66253102],0
p4,1,0.511116,0.431782,[102  74] ; [128 106],[98.73170732 77.26829268] ; [131.26829268 102.73170732],0
p8,1,0.538944,0.377501,[84 91] ; [119 114],[87.07107843 87.92892157] ; [115.92892157 117.07107843],0
n5,1,0.57326,0.317259,[119  54] ; [167  67],[121.56756757  51.43243243] ; [164.43243243  69.56756757],0
p12,1,0.576819,0.311406,[  7 169] ; [ 12 221],[  8.17603912 167.82396088] ; [ 10.82396088 222.17603912],0
