Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.00538,7.746896,[ 2 13] ; [13  9],[6.08108108 8.91891892] ; [ 8.91891892 13.08108108],0
d1,1,0.026326,4.934493,[ 1 14] ; [ 9 14],[ 3.94736842 11.05263158] ; [ 6.05263158 16.94736842],0
v3,1,0.038721,4.273064,[ 1 14] ; [ 8 14],[ 3.64864865 11.35135135] ; [ 5.35135135 16.64864865],0
d5,1,0.039016,4.260161,[ 4 11] ; [14  9],[7.10526316 7.89473684] ; [10.89473684 12.10526316],0
d3,1,0.04733,3.933611,[ 3 12] ; [12 11],[5.92105263 9.07894737] ; [ 9.07894737 13.92105263],0
v2,1,0.057371,3.611814,[ 1 13] ; [ 8 15],[ 3.40540541 10.59459459] ; [ 5.59459459 17.40540541],0
r3,1,0.119551,2.423188,[ 4 11] ; [12 11],[6.31578947 8.68421053] ; [ 9.68421053 13.31578947],0
s6,1,0.121447,2.398563,[ 2 13] ; [ 8 14],[ 4.05405405 10.94594595] ; [ 5.94594595 16.05405405],0
p1,1,0.212957,1.551208,[ 1 14] ; [ 5 18],[ 2.36842105 12.63157895] ; [ 3.63157895 19.36842105],0
v1,1,0.214947,1.537793,[ 3 12] ; [ 9 14],[ 4.73684211 10.26315789] ; [ 7.26315789 15.73684211],0
p4,1,0.214947,1.537793,[ 3 12] ; [ 9 14],[ 4.73684211 10.26315789] ; [ 7.26315789 15.73684211],0
a6,1,0.253568,1.303536,[ 5 10] ; [12 11],[6.71052632 8.28947368] ; [10.28947368 12.71052632],0
b2,1,0.315266,1.008485,[3 8] ; [7 8],[4.23076923 6.76923077] ; [5.76923077 9.23076923],0
b3,1,0.315266,1.008485,[3 8] ; [7 8],[4.23076923 6.76923077] ; [5.76923077 9.23076923],0
a7,1,0.319424,0.991304,[6 9] ; [13 10],[7.5 7.5] ; [11.5 11.5],0
p3,1,0.32603,0.964603,[ 3 12] ; [ 8 15],[ 4.34210526 10.65789474] ; [ 6.65789474 16.34210526],0
n4,1,0.367123,0.813378,[9 6] ; [17  6],[10.26315789  4.73684211] ; [15.73684211  7.26315789],0
r1,1,0.376445,0.782279,[ 5 10] ; [11 12],[6.31578947 8.68421053] ; [ 9.68421053 13.31578947],0
p8,1,0.376504,0.782085,[ 1 13] ; [ 4 19],[ 1.89189189 12.10810811] ; [ 3.10810811 19.89189189],0
p9,1,0.388741,0.742877,[ 3 11] ; [ 8 15],[4.16216216 9.83783784] ; [ 6.83783784 16.16216216],0
b5,1,0.389412,0.740779,[8 7] ; [ 9 14],[6.71052632 8.28947368] ; [10.28947368 12.71052632],0
p7,1,0.427576,0.6294,[ 5 10] ; [ 5 18],[ 3.94736842 11.05263158] ; [ 6.05263158 16.94736842],0
b4,1,0.462553,0.53971,[9 6] ; [11 12],[7.89473684 7.10526316] ; [12.10526316 10.89473684],0
n5,1,0.463813,0.536677,[8 7] ; [15  8],[9.07894737 5.92105263] ; [13.92105263  9.07894737],0
a1,1,0.513526,0.426875,[ 2 13] ; [ 5 18],[ 2.76315789 12.23684211] ; [ 4.23684211 18.76315789],0
s3,1,0.514084,0.425745,[ 4 10] ; [ 9 14],[4.91891892 9.08108108] ; [ 8.08108108 14.91891892],0
u2,1,0.518217,0.41744,[1 6] ; [3 8],[1.55555556 5.44444444] ; [2.44444444 8.55555556],0
s1,1,0.565403,0.330435,[ 3 12] ; [ 3 20],[ 2.36842105 12.63157895] ; [ 3.63157895 19.36842105],0
a8,1,0.648867,0.207332,[ 2 13] ; [ 2 21],[ 1.57894737 13.42105263] ; [ 2.42105263 20.57894737],0
s7,1,0.667082,0.185034,[ 2 12] ; [ 4 16],[ 2.47058824 11.52941176] ; [ 3.52941176 16.47058824],0
n3,1,0.73244,0.116883,[2 5] ; [4 7],[2.33333333 4.66666667] ; [3.66666667 7.33333333],0
a4,1,0.736421,0.113297,[ 4 11] ; [ 7 15],[ 4.45945946 10.54054054] ; [ 6.54054054 15.45945946],0
a5,1,0.739979,0.110145,[7 8] ; [12 11],[7.5 7.5] ; [11.5 11.5],0
p10,1,0.748737,0.102595,[ 3 11] ; [ 6 17],[ 3.40540541 10.59459459] ; [ 5.59459459 17.40540541],0
a3,1,0.768651,0.086518,[8 6] ; [12 11],[7.56756757 6.43243243] ; [12.43243243 10.56756757],0
p2,1,0.802317,0.062675,[ 4 11] ; [ 7 16],[ 4.34210526 10.65789474] ; [ 6.65789474 16.34210526],0
d4,1,0.846791,0.037332,[8 7] ; [13 10],[8.28947368 6.71052632] ; [12.71052632 10.28947368],0
n6,1,0.904273,0.014464,[ 4 10] ; [ 7 16],[4.16216216 9.83783784] ; [ 6.83783784 16.16216216],0
n2,1,0.913906,0.011688,[3 4] ; [5 6],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
n1,1,0.913906,0.011688,[3 4] ; [5 6],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
b1,1,0.957251,0.002873,[9 6] ; [14  9],[9.07894737 5.92105263] ; [13.92105263  9.07894737],0
s2,1,0.968358,0.001573,[ 4 11] ; [ 6 17],[ 3.94736842 11.05263158] ; [ 6.05263158 16.94736842],0
s4,1,0.979387,0.000668,[ 2 13] ; [ 3 20],[ 1.97368421 13.02631579] ; [ 3.02631579 19.97368421],0
a2,1,0.979387,0.000668,[ 2 13] ; [ 3 20],[ 1.97368421 13.02631579] ; [ 3.02631579 19.97368421],0
