Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,69.998312,[104   9] ; [13 34],[82.63125 30.36875] ; [34.36875 12.63125],1
a3,1,0.000907,11.008211,[94 21] ; [26 20],[85.71428571 29.28571429] ; [34.28571429 11.71428571],1
a5,1,0.004373,8.122148,[95 20] ; [29 18],[88.02469136 26.97530864] ; [35.97530864 11.02469136],0
s7,1,0.005215,7.803417,[69 42] ; [16 27],[61.26623377 49.73376623] ; [23.73376623 19.26623377],0
n2,1,0.013092,6.156596,[21  1] ; [11  6],[18.05128205  3.94871795] ; [13.94871795  3.05128205],0
p7,1,0.018057,5.590637,[71 42] ; [18 25],[64.46794872 48.53205128] ; [24.53205128 18.46794872],0
v3,1,0.023405,5.138196,[55 58] ; [13 32],[48.63291139 64.36708861] ; [19.36708861 25.63291139],0
p3,1,0.024554,5.055074,[59 56] ; [15 32],[52.5308642 62.4691358] ; [21.4691358 25.5308642],0
r4,1,0.02717,4.879989,[105  10] ; [37 10],[100.80246914  14.19753086] ; [41.19753086  5.80246914],0
p2,1,0.032344,4.580172,[99 16] ; [33 13],[94.28571429 20.71428571] ; [37.71428571  8.28571429],0
p4,1,0.034527,4.468411,[64 49] ; [18 29],[57.9125 55.0875] ; [24.0875 22.9125],0
d2,1,0.037039,4.348638,[69 45] ; [20 27],[63.01863354 50.98136646] ; [25.98136646 21.01863354],0
b1,1,0.04177,4.144494,[49 66] ; [12 35],[43.30246914 71.69753086] ; [17.69753086 29.30246914],0
r1,1,0.048122,3.905722,[99 15] ; [34 12],[94.7625 19.2375] ; [38.2375  7.7625],0
p5,1,0.058846,3.569617,[21 94] ; [ 3 43],[17.14285714 97.85714286] ; [ 6.85714286 39.14285714],0
v1,1,0.058887,3.568448,[64 49] ; [18 27],[58.64556962 54.35443038] ; [23.35443038 21.64556962],0
n3,1,0.074574,3.179348,[20  3] ; [10  6],[17.69230769  5.30769231] ; [12.30769231  3.69230769],0
n6,1,0.074596,3.178885,[101  12] ; [37 10],[97.4625 15.5375] ; [40.5375  6.4625],0
u1,1,0.078797,3.089548,[26 89] ; [ 5 42],[22.00617284 92.99382716] ; [ 8.99382716 38.00617284],0
