Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,8.6e-05,15.411644,[19  5] ; [ 8 23],[11.78181818 12.21818182] ; [15.21818182 15.78181818],1
d5,1,0.000711,11.461414,[23  1] ; [17 14],[17.45454545  6.54545455] ; [22.54545455  8.45454545],1
a2,1,0.005851,7.595486,[ 7 17] ; [ 1 31],[ 3.42857143 20.57142857] ; [ 4.57142857 27.42857143],0
u1,1,0.014306,6.0,[ 6 18] ; [ 1 31],[ 3. 21.] ; [ 4. 28.],0
d4,1,0.022359,5.217651,[22  2] ; [21 11],[18.42857143  5.57142857] ; [24.57142857  7.42857143],0
p9,1,0.022359,5.217651,[22  2] ; [21 11],[18.42857143  5.57142857] ; [24.57142857  7.42857143],0
v3,1,0.023927,5.099914,[ 7 17] ; [ 2 29],[ 3.92727273 20.07272727] ; [ 5.07272727 25.92727273],0
s8,1,0.028903,4.773368,[14  9] ; [10 22],[10.03636364 12.96363636] ; [13.96363636 18.03636364],0
a6,1,0.034249,4.482213,[18  6] ; [15 17],[14.14285714  9.85714286] ; [18.85714286 13.14285714],0
p10,1,0.036561,4.370732,[21  3] ; [20 12],[17.57142857  6.42857143] ; [23.42857143  8.57142857],0
d1,1,0.036759,4.361538,[15  9] ; [11 21],[11.14285714 12.85714286] ; [14.85714286 17.14285714],0
p7,1,0.044598,4.033783,[17  6] ; [29  2],[19.59259259  3.40740741] ; [26.40740741  4.59259259],0
a4,1,0.048307,3.899287,[13 11] ; [ 9 23],[ 9.42857143 14.57142857] ; [12.57142857 19.42857143],0
b4,1,0.053604,3.724989,[16  8] ; [13 19],[12.42857143 11.57142857] ; [16.57142857 15.42857143],0
a7,1,0.074256,3.186345,[20  4] ; [19 12],[17.01818182  6.98181818] ; [21.98181818  9.01818182],0
s5,1,0.101889,2.675718,[12 11] ; [ 9 21],[ 9.11320755 13.88679245] ; [11.88679245 18.11320755],0
n3,1,0.11259,2.517483,[5 6] ; [10  3],[6.875 4.125] ; [8.125 4.875],0
a5,1,0.140382,2.173763,[16  8] ; [15 17],[13.28571429 10.71428571] ; [17.71428571 14.28571429],0
p3,1,0.164645,1.931034,[15  9] ; [14 18],[12.42857143 11.57142857] ; [16.57142857 15.42857143],0
r1,1,0.179347,1.80303,[17  7] ; [17 15],[14.57142857  9.42857143] ; [19.42857143 12.57142857],0
b1,1,0.18938,1.722435,[10 14] ; [19 13],[12.42857143 11.57142857] ; [16.57142857 15.42857143],0
s3,1,0.18938,1.722435,[14 10] ; [13 19],[11.57142857 12.42857143] ; [15.42857143 16.57142857],0
s7,1,0.214394,1.541505,[13 11] ; [12 20],[10.71428571 13.28571429] ; [14.28571429 17.71428571],0
b2,1,0.226398,1.463348,[8 8] ; [ 5 12],[6.3030303 9.6969697] ; [ 6.6969697 10.3030303],0
b3,1,0.226398,1.463348,[8 8] ; [ 5 12],[6.3030303 9.6969697] ; [ 6.6969697 10.3030303],0
u3,1,0.231101,1.434074,[7 2] ; [8 7],[5.625 3.375] ; [9.375 5.625],0
s4,1,0.264616,1.244444,[ 7 17] ; [14 18],[ 9. 15.] ; [12. 20.],0
s2,1,0.308034,1.039087,[16  8] ; [17 15],[14.14285714  9.85714286] ; [18.85714286 13.14285714],0
s6,1,0.312711,1.01919,[16  6] ; [19 13],[14.25925926  7.74074074] ; [20.74074074 11.25925926],0
d3,1,0.359015,0.841335,[18  6] ; [19 11],[16.44444444  7.55555556] ; [20.55555556  9.44444444],0
p1,1,0.378923,0.774194,[ 4 19] ; [ 3 29],[ 2.92727273 20.07272727] ; [ 4.07272727 27.92727273],0
p5,1,0.416976,0.658824,[ 3 21] ; [ 2 30],[ 2.14285714 21.85714286] ; [ 2.85714286 29.14285714],0
p12,1,0.416976,0.658824,[ 3 21] ; [ 2 30],[ 2.14285714 21.85714286] ; [ 2.85714286 29.14285714],0
b5,1,0.450205,0.570136,[18  6] ; [21 11],[16.71428571  7.28571429] ; [22.28571429  9.71428571],0
a1,1,0.453899,0.560897,[ 1 23] ; [ 3 29],[ 1.71428571 22.28571429] ; [ 2.28571429 29.71428571],0
n2,1,0.474895,0.510563,[8 3] ; [11  2],[8.70833333 2.29166667] ; [10.29166667  2.70833333],0
a3,1,0.482953,0.492188,[15  9] ; [17 15],[13.71428571 10.28571429] ; [18.28571429 13.71428571],0
n5,1,0.493068,0.469825,[10 13] ; [11 21],[ 8.78181818 14.21818182] ; [12.21818182 19.78181818],0
p4,1,0.514529,0.424846,[17  7] ; [20 12],[15.85714286  8.14285714] ; [21.14285714 10.85714286],0
p8,1,0.514529,0.424846,[17  7] ; [20 12],[15.85714286  8.14285714] ; [21.14285714 10.85714286],0
r2,1,0.617859,0.248889,[22  2] ; [28  4],[21.42857143  2.57142857] ; [28.57142857  3.42857143],0
r4,1,0.627336,0.23569,[20  4] ; [25  7],[19.28571429  4.71428571] ; [25.71428571  6.28571429],0
u2,1,0.727943,0.121008,[6 3] ; [11  4],[6.375 2.625] ; [10.625  4.375],0
n1,1,0.729165,0.11988,[5 6] ; [5 8],[4.58333333 6.41666667] ; [5.41666667 7.58333333],0
r3,1,0.764503,0.089744,[22  2] ; [30  2],[22.28571429  1.71428571] ; [29.71428571  2.28571429],0
p2,1,0.784003,0.075134,[18  6] ; [25  7],[18.42857143  5.57142857] ; [24.57142857  7.42857143],0
s1,1,0.835331,0.04321,[ 1 23] ; [ 1 31],[ 0.85714286 23.14285714] ; [ 1.14285714 30.85714286],0
n6,1,0.836288,0.042702,[15  8] ; [20 12],[14.63636364  8.36363636] ; [20.36363636 11.63636364],0
p11,1,0.93195,0.007292,[17  7] ; [23  9],[17.14285714  6.85714286] ; [22.85714286  9.14285714],0
d2,1,1.0,0.0,[ 9 15] ; [12 20],[ 9. 15.] ; [12. 20.],0
