Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,26.063348,[3 6] ; [49  2],[7.8 1.2] ; [44.2  6.8],1
r3,1,1e-06,24.415396,[4 5] ; [50  1],[8.1 0.9] ; [45.9  5.1],1
r1,1,1.2e-05,19.121268,[1 8] ; [42  9],[6.45 2.55] ; [36.55 14.45],1
r2,1,0.003247,8.663102,[6 3] ; [49  2],[8.25 0.75] ; [46.75  4.25],0
s1,1,0.011378,6.405229,[3 6] ; [ 3 48],[0.9 8.1] ; [ 5.1 45.9],0
n6,1,0.024978,5.025379,[4 4] ; [43  8],[6.37288136 1.62711864] ; [40.62711864 10.37288136],0
s6,1,0.042793,4.103574,[3 6] ; [35 16],[5.7 3.3] ; [32.3 18.7],0
d3,1,0.055202,3.67598,[7 2] ; [22 29],[4.35 4.65] ; [24.65 26.35],0
p11,1,0.160817,1.96653,[4 5] ; [35 16],[5.85 3.15] ; [33.15 17.85],0
p1,1,0.184944,1.757444,[2 7] ; [ 4 47],[0.9 8.1] ; [ 5.1 45.9],0
s5,1,0.198813,1.651072,[1 7] ; [17 31],[2.57142857 5.42857143] ; [15.42857143 32.57142857],0
d2,1,0.209986,1.571521,[6 3] ; [22 28],[4.27118644 4.72881356] ; [23.72881356 26.27118644],0
d4,1,0.213633,1.546632,[8 1] ; [35 16],[6.45 2.55] ; [36.55 14.45],0
s8,1,0.237674,1.394336,[2 7] ; [22 29],[3.6 5.4] ; [20.4 30.6],0
a3,1,0.280917,1.162646,[7 2] ; [30 21],[5.55 3.45] ; [31.45 19.55],0
s7,1,0.296842,1.08833,[2 6] ; [21 26],[3.34545455 4.65454545] ; [19.65454545 27.34545455],0
p8,1,0.301502,1.067538,[5 4] ; [19 32],[3.6 5.4] ; [20.4 30.6],0
n1,1,0.317311,1.0,[2 4] ; [7 5],[3. 3.] ; [6. 6.],0
p7,1,0.328703,0.954001,[6 3] ; [25 26],[4.65 4.35] ; [26.35 24.65],0
d1,1,0.328703,0.954001,[6 3] ; [25 26],[4.65 4.35] ; [26.35 24.65],0
b3,1,0.329114,0.952381,[1 4] ; [15 20],[2. 3.] ; [14. 21.],0
b2,1,0.329114,0.952381,[1 4] ; [15 20],[2. 3.] ; [14. 21.],0
s4,1,0.374313,0.789298,[3 6] ; [10 40],[1.98305085 7.01694915] ; [11.01694915 38.98305085],0
p4,1,0.422219,0.644131,[4 5] ; [30 21],[5.1 3.9] ; [28.9 22.1],0
n3,1,0.422678,0.642857,[4 2] ; [10  2],[4.66666667 1.33333333] ; [9.33333333 2.66666667],0
p10,1,0.443102,0.588235,[5 4] ; [35 16],[6. 3.] ; [34. 17.],0
p9,1,0.443102,0.588235,[5 4] ; [35 16],[6. 3.] ; [34. 17.],0
p6,1,0.443102,0.588235,[2 7] ; [18 33],[3. 6.] ; [17. 34.],0
a4,1,0.445415,0.582294,[3 6] ; [24 27],[4.05 4.95] ; [22.95 28.05],0
v2,1,0.521802,0.410329,[4 5] ; [28 22],[4.88135593 4.11864407] ; [27.11864407 22.88135593],0
s2,1,0.638157,0.221161,[5 4] ; [24 27],[4.35 4.65] ; [24.65 26.35],0
s3,1,0.638157,0.221161,[4 5] ; [27 24],[4.65 4.35] ; [26.35 24.65],0
a6,1,0.657905,0.196078,[6 3] ; [30 21],[5.4 3.6] ; [30.6 20.4],0
a7,1,0.682543,0.167277,[5 4] ; [32 19],[5.55 3.45] ; [31.45 19.55],0
b1,1,0.717688,0.130719,[4 5] ; [26 25],[4.5 4.5] ; [25.5 25.5],0
n5,1,0.718058,0.130361,[6 3] ; [37 14],[6.45 2.55] ; [36.55 14.45],0
a5,1,0.743641,0.106952,[7 2] ; [37 14],[6.6 2.4] ; [37.4 13.6],0
a1,1,0.743641,0.106952,[1 8] ; [ 4 47],[0.75 8.25] ; [ 4.25 46.75],0
d5,1,0.812897,0.056022,[6 3] ; [36 15],[6.3 2.7] ; [35.7 15.3],0
a2,1,0.831547,0.045249,[1 8] ; [ 7 44],[1.2 7.8] ; [ 6.8 44.2],0
n4,1,0.83465,0.043573,[7 2] ; [38 13],[6.75 2.25] ; [38.25 12.75],0
u3,1,0.84562,0.037912,[1 1] ; [12  9],[1.13043478 0.86956522] ; [11.86956522  9.13043478],0
b4,1,0.854531,0.033613,[5 4] ; [30 21],[5.25 3.75] ; [29.75 21.25],0
b5,1,0.854531,0.033613,[5 4] ; [30 21],[5.25 3.75] ; [29.75 21.25],0
v3,1,0.904343,0.014443,[3 6] ; [17 31],[3.15789474 5.84210526] ; [16.84210526 31.15789474],0
p5,1,0.934547,0.006745,[1 8] ; [ 5 44],[0.93103448 8.06896552] ; [ 5.06896552 43.93103448],0
a8,1,0.966488,0.001765,[1 8] ; [ 5 42],[0.96428571 8.03571429] ; [ 5.03571429 41.96428571],0
v1,1,0.969267,0.001484,[4 5] ; [21 27],[3.94736842 5.05263158] ; [21.05263158 26.94736842],0
