Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,132.49897,[327 161] ; [ 44 174],[256.44192635 231.55807365] ; [114.55807365 103.44192635],1
s3,1,0.0,121.842272,[348 134] ; [ 61 158],[281.22396576 200.77603424] ; [127.77603424  91.22396576],1
s7,1,0.0,90.507346,[298 175] ; [ 48 158],[241.02798233 231.97201767] ; [104.97201767 101.02798233],1
s8,1,0.0,79.852157,[279 210] ; [ 46 174],[224.15373766 264.84626234] ; [100.84626234 119.15373766],1
s5,1,0.0,58.640902,[212 265] ; [ 31 184],[167.50144509 309.49855491] ; [ 75.49855491 139.50144509],1
p9,1,0.0,27.006064,[426  58] ; [158  61],[402.07112376  81.92887624] ; [181.92887624  37.07112376],1
p4,1,0.0,26.488346,[322 166] ; [ 99 119],[291.00283286 196.99716714] ; [129.99716714  88.00283286],1
s4,1,1e-06,24.938495,[101 383] ; [ 13 207],[ 78.375 405.625] ; [ 35.625 184.375],1
n5,1,4e-05,16.87528,[390 100] ; [142  76],[368.1920904 121.8079096] ; [163.8079096  54.1920904],1
n6,1,8.2e-05,15.51811,[426  62] ; [166  54],[408.04519774  79.95480226] ; [183.95480226  36.04519774],1
p10,1,9.2e-05,15.296236,[409  76] ; [157  62],[389.92897727  95.07102273] ; [176.07102273  42.92897727],1
p6,1,0.000267,13.289344,[196 287] ; [ 57 160],[174.57 308.43] ; [ 78.43 138.57],1
u1,1,0.000336,12.855992,[118 374] ; [ 27 193],[100.19662921 391.80337079] ; [ 44.80337079 175.19662921],1
p12,1,0.00121,10.474479,[ 51 437] ; [  7 211],[ 40.09065156 447.90934844] ; [ 17.90934844 200.09065156],0
p5,1,0.001347,10.277132,[ 64 423] ; [ 11 206],[ 51.88210227 435.11789773] ; [ 23.11789773 193.88210227],0
r4,1,0.00365,8.450425,[483   9] ; [207  13],[476.79775281  15.20224719] ; [213.20224719   6.79775281],0
d5,1,0.009275,6.769044,[415  74] ; [169  51],[402.78702398  86.21297602] ; [181.21297602  38.78702398],0
p3,1,0.009854,6.661082,[260 229] ; [ 93 125],[244.15417256 244.84582744] ; [108.84582744 109.15417256],0
a2,1,0.013855,6.056552,[144 348] ; [ 45 175],[130.6011236 361.3988764] ; [ 58.3988764 161.6011236],0
n2,1,0.031698,4.614778,[80 22] ; [33 20],[74.36129032 27.63870968] ; [38.63870968 14.36129032],0
v1,1,0.034534,4.468045,[280 198] ; [109 109],[267.15804598 210.84195402] ; [121.84195402  96.15804598],0
p7,1,0.034757,4.457089,[314 159] ; [126  91],[301.62318841 171.37681159] ; [138.37681159  78.62318841],0
v4,1,0.057735,3.601296,[482  10] ; [208  10],[478.14084507  13.85915493] ; [211.85915493   6.14084507],0
n4,1,0.06558,3.390321,[394  97] ; [163  57],[384.6511955 106.3488045] ; [172.3488045  47.6511955],0
p8,1,0.073496,3.203172,[264 218] ; [103 114],[253.06723891 228.93276109] ; [113.93276109 103.06723891],0
r3,1,0.073887,3.194489,[478  12] ; [208  11],[474.10437236  15.89562764] ; [211.89562764   7.10437236],0
p2,1,0.077221,3.122443,[412  76] ; [173  46],[403.79066478  84.20933522] ; [181.20933522  37.79066478],0
u4,1,0.083971,2.986315,[ 15 477] ; [  2 218],[ 11.74719101 480.25280899] ; [  5.25280899 214.74719101],0
b5,1,0.086231,2.943372,[302 190] ; [120 100],[291.60674157 200.39325843] ; [130.39325843  89.60674157],0
u3,1,0.094272,2.799865,[83 40] ; [37 30],[77.68421053 45.31578947] ; [42.31578947 24.68421053],0
a8,1,0.131898,2.270023,[ 69 373] ; [ 22 176],[ 62.846875 379.153125] ; [ 28.153125 169.846875],0
a3,1,0.148501,2.087582,[367 122] ; [153  66],[359.15254237 129.84745763] ; [160.84745763  58.15254237],0
a5,1,0.180208,1.795905,[382 109] ; [161  59],[374.98312236 116.01687764] ; [168.01687764  51.98312236],0
d1,1,0.205545,1.602529,[313 179] ; [129  91],[305.42696629 186.57303371] ; [136.57303371  83.42696629],0
p1,1,0.205984,1.599429,[ 45 442] ; [ 14 205],[ 40.69830028 446.30169972] ; [ 18.30169972 200.69830028],0
a1,1,0.305429,1.050337,[ 24 468] ; [  7 213],[ 21.42134831 470.57865169] ; [  9.57865169 210.42134831],0
a4,1,0.315843,1.006084,[235 253] ; [ 97 123],[228.83615819 259.16384181] ; [103.16384181 116.83615819],0
u2,1,0.333986,0.93338,[76 47] ; [36 30],[72.88888889 50.11111111] ; [39.11111111 26.88888889],0
p11,1,0.33621,0.924829,[380 112] ; [177  43],[384.89325843 107.10674157] ; [172.10674157  47.89325843],0
d2,1,0.377388,0.779194,[252 237] ; [105 114],[246.5720339 242.4279661] ; [110.4279661 108.5720339],0
d4,1,0.446181,0.580335,[414  74] ; [180  38],[410.58356941  77.41643059] ; [183.41643059  34.58356941],0
n3,1,0.463611,0.537163,[75 26] ; [35 16],[73.09210526 27.90789474] ; [36.90789474 14.09210526],0
n1,1,0.48935,0.477955,[42 59] ; [19 34],[40.00649351 60.99350649] ; [20.99350649 32.00649351],0
b4,1,0.560268,0.339241,[291 201] ; [125  95],[287.46067416 204.53932584] ; [128.53932584  91.46067416],0
a7,1,0.571533,0.320125,[370 120] ; [161  58],[366.98166432 123.01833568] ; [164.01833568  54.98166432],0
v3,1,0.63045,0.231451,[199 274] ; [ 83 124],[196.15588235 276.84411765] ; [ 85.84411765 121.15588235],0
a6,1,0.638798,0.220318,[342 146] ; [158  62],[344.63276836 143.36723164] ; [155.36723164  64.63276836],0
s1,1,0.639278,0.219688,[ 19 464] ; [  7 211],[ 17.91440799 465.08559201] ; [  8.08559201 209.91440799],0
