Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1.1e-05,19.285714,[13  1] ; [ 2 14],[7. 7.] ; [8. 8.],1
r3,1,0.001398,10.208425,[11  2] ; [ 4 12],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
p11,1,0.009545,6.717953,[11  3] ; [ 5 11],[7.46666667 6.53333333] ; [8.53333333 7.46666667],0
p2,1,0.010991,6.466837,[10  4] ; [ 4 12],[6.53333333 7.46666667] ; [7.46666667 8.53333333],0
n6,1,0.033754,4.507119,[10  3] ; [ 6 10],[7.17241379 5.82758621] ; [8.82758621 7.17241379],0
n5,1,0.105209,2.624744,[11  3] ; [8 8],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
n4,1,0.105209,2.624744,[11  3] ; [8 8],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
p6,1,0.118648,2.435079,[ 4 10] ; [ 1 14],[ 2.4137931 11.5862069] ; [ 2.5862069 12.4137931],0
v1,1,0.150584,2.066327,[6 8] ; [ 3 13],[4.2 9.8] ; [ 4.8 11.2],0
s6,1,0.15631,2.009569,[7 7] ; [ 4 12],[5.13333333 8.86666667] ; [ 5.86666667 10.13333333],0
p4,1,0.15631,2.009569,[7 7] ; [ 4 12],[5.13333333 8.86666667] ; [ 5.86666667 10.13333333],0
p8,1,0.1593,1.98086,[5 9] ; [ 2 13],[ 3.37931034 10.62068966] ; [ 3.62068966 11.37931034],0
u2,1,0.164264,1.934524,[3 3] ; [1 6],[1.84615385 4.15384615] ; [2.15384615 4.84615385],0
n3,1,0.196706,1.666667,[4 1] ; [2 3],[3. 2.] ; [3. 2.],0
n2,1,0.196706,1.666667,[3 2] ; [1 4],[2. 3.] ; [2. 3.],0
s5,1,0.222423,1.488668,[ 3 11] ; [ 1 15],[ 1.86666667 12.13333333] ; [ 2.13333333 13.86666667],0
a5,1,0.231998,1.428571,[10  4] ; [8 8],[8.4 5.6] ; [9.6 6.4],0
s3,1,0.280038,1.166905,[ 3 11] ; [6 9],[4.34482759 9.65517241] ; [ 4.65517241 10.34482759],0
v2,1,0.294525,1.098823,[5 9] ; [ 3 13],[ 3.73333333 10.26666667] ; [ 4.26666667 11.73333333],0
b5,1,0.295642,1.09375,[7 7] ; [11  5],[8.4 5.6] ; [9.6 6.4],0
r1,1,0.300623,1.071429,[6 8] ; [ 4 12],[4.66666667 9.33333333] ; [ 5.33333333 10.66666667],0
a8,1,0.311405,1.024707,[ 4 10] ; [ 2 13],[ 2.89655172 11.10344828] ; [ 3.10344828 11.89655172],0
d3,1,0.337904,0.918367,[ 3 11] ; [ 6 10],[4.2 9.8] ; [ 4.8 11.2],0
b2,1,0.338352,0.916667,[4 7] ; [2 9],[3. 8.] ; [3. 8.],0
b3,1,0.338352,0.916667,[4 7] ; [2 9],[3. 8.] ; [3. 8.],0
s7,1,0.356981,0.848485,[ 4 10] ; [ 2 12],[ 3. 11.] ; [ 3. 11.],0
d4,1,0.389414,0.740772,[10  4] ; [9 7],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
a6,1,0.389414,0.740772,[ 4 10] ; [7 9],[5.13333333 8.86666667] ; [ 5.86666667 10.13333333],0
p12,1,0.464214,0.535714,[ 2 12] ; [ 1 15],[ 1.4 12.6] ; [ 1.6 14.4],0
d5,1,0.490644,0.475113,[7 7] ; [ 6 10],[6.06666667 7.93333333] ; [6.93333333 9.06666667],0
d2,1,0.51043,0.433185,[6 8] ; [ 5 11],[5.13333333 8.86666667] ; [ 5.86666667 10.13333333],0
v3,1,0.512691,0.428571,[ 3 11] ; [ 2 14],[ 2.33333333 11.66666667] ; [ 2.66666667 13.33333333],0
p3,1,0.525741,0.402618,[ 4 10] ; [ 3 13],[ 3.26666667 10.73333333] ; [ 3.73333333 12.26666667],0
s4,1,0.625585,0.238095,[ 1 13] ; [ 2 14],[ 1.4 12.6] ; [ 1.6 14.4],0
b1,1,0.732105,0.117188,[7 7] ; [9 7],[7.46666667 6.53333333] ; [8.53333333 7.46666667],0
p7,1,0.765087,0.089286,[6 8] ; [ 6 10],[5.6 8.4] ; [6.4 9.6],0
a4,1,0.795809,0.066964,[5 9] ; [ 5 11],[4.66666667 9.33333333] ; [ 5.33333333 10.66666667],0
s2,1,0.825339,0.048701,[ 4 10] ; [ 4 12],[ 3.73333333 10.26666667] ; [ 4.26666667 11.73333333],0
d1,1,0.854813,0.033482,[ 3 11] ; [ 3 13],[ 2.8 11.2] ; [ 3.2 12.8],0
b4,1,0.873102,0.02551,[10  4] ; [11  5],[9.8 4.2] ; [11.2  4.8],0
a3,1,0.875948,0.02437,[8 6] ; [9 6],[8.20689655 5.79310345] ; [8.79310345 6.20689655],0
p1,1,0.885862,0.020604,[ 2 12] ; [ 2 14],[ 1.86666667 12.13333333] ; [ 2.13333333 13.86666667],0
s1,1,0.885862,0.020604,[ 2 12] ; [ 2 14],[ 1.86666667 12.13333333] ; [ 2.13333333 13.86666667],0
a1,1,0.922085,0.009566,[ 1 13] ; [ 1 15],[ 0.93333333 13.06666667] ; [ 1.06666667 14.93333333],0
a7,1,0.960732,0.002424,[6 8] ; [7 9],[6.06666667 7.93333333] ; [6.93333333 9.06666667],0
n1,1,1.0,0.0,[2 3] ; [2 3],[2. 3.] ; [2. 3.],0
