Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,31.485328,[70 89] ; [192  77],[97.3317757 61.6682243] ; [164.6682243 104.3317757],1
v3,1,0.0,26.004266,[ 49 112] ; [149 118],[74.48130841 86.51869159] ; [123.51869159 143.48130841],1
p10,1,4.2e-05,16.780653,[130  33] ; [251  19],[143.42494226  19.57505774] ; [237.57505774  32.42494226],1
s8,1,0.000101,15.118419,[63 98] ; [159 113],[82.54503464 78.45496536] ; [139.45496536 132.54503464],1
d4,1,0.000293,13.117731,[118  43] ; [237  35],[131.99769053  29.00230947] ; [223.00230947  48.99769053],1
d1,1,0.000863,11.099845,[82 81] ; [182  92],[98.47139588 64.52860412] ; [165.52860412 108.47139588],1
p9,1,0.00233,9.269264,[134  27] ; [252  20],[143.52424942  17.47575058] ; [242.47575058  29.52424942],0
p4,1,0.008658,6.892054,[107  56] ; [210  62],[118.78390805  44.21609195] ; [198.21609195  73.78390805],0
r4,1,0.012246,6.274841,[144  19] ; [260  14],[150.69107551  12.30892449] ; [253.30892449  20.69107551],0
p3,1,0.012959,6.174716,[89 74] ; [181  91],[101.17241379  61.82758621] ; [168.82758621 103.17241379],0
n6,1,0.013474,6.105779,[139  23] ; [254  19],[146.35862069  15.64137931] ; [246.64137931  26.35862069],0
s5,1,0.013942,6.045459,[ 52 107] ; [120 148],[64.04683841 94.95316159] ; [107.95316159 160.04683841],0
r2,1,0.016894,5.70739,[148  14] ; [262   9],[153.39491917   8.60508083] ; [256.60508083  14.39491917],0
b4,1,0.020764,5.346522,[76 87] ; [159 115],[87.65446224 75.34553776] ; [147.34553776 126.65446224],0
p6,1,0.023432,5.136228,[72 90] ; [152 121],[83.42068966 78.57931034] ; [140.57931034 132.42068966],0
a3,1,0.029148,4.75887,[111  52] ; [211  61],[120.65747126  42.34252874] ; [201.34252874  70.65747126],0
u1,1,0.036311,4.382426,[ 24 139] ; [ 63 211],[ 32.45080092 130.54919908] ; [ 54.54919908 219.45080092],0
d5,1,0.039727,4.229487,[127  35] ; [234  38],[134.75115207  27.24884793] ; [226.24884793  45.75115207],0
d2,1,0.040536,4.19532,[69 93] ; [144 129],[79.32413793 82.67586207] ; [133.67586207 139.32413793],0
r1,1,0.042701,4.1072,[128  35] ; [234  38],[135.64597701  27.35402299] ; [226.35402299  45.64597701],0
b5,1,0.048471,3.893579,[83 80] ; [166 108],[92.87643021 70.12356979] ; [156.12356979 117.87643021],0
p5,1,0.056504,3.637124,[ 20 142] ; [ 53 220],[ 27.1862069 134.8137931] ; [ 45.8137931 227.1862069],0
r3,1,0.057419,3.610409,[151  10] ; [267   7],[154.70804598   6.29195402] ; [263.29195402  10.70804598],0
d3,1,0.067064,3.353466,[102  59] ; [196  77],[110.5483871  50.4516129] ; [187.4516129  85.5483871],0
p11,1,0.089316,2.886662,[131  32] ; [237  37],[137.26315789  25.73684211] ; [230.73684211  43.26315789],0
p8,1,0.102539,2.665599,[105  55] ; [198  73],[112.48259861  47.51740139] ; [190.51740139  80.48259861],0
p12,1,0.11374,2.501478,[ 10 152] ; [ 29 243],[ 14.55760369 147.44239631] ; [ 24.44239631 247.55760369],0
b2,1,0.122133,2.389758,[32 63] ; [ 80 105],[38. 57.] ; [ 74. 111.],0
b3,1,0.122133,2.389758,[32 63] ; [ 80 105],[38. 57.] ; [ 74. 111.],0
p2,1,0.129132,2.30291,[141  21] ; [250  23],[145.6137931  16.3862069] ; [245.3862069  27.6137931],0
a4,1,0.132407,2.264057,[67 96] ; [132 140],[74.56781609 88.43218391] ; [124.43218391 147.56781609],0
a5,1,0.135879,2.224021,[117  46] ; [214  60],[123.46224256  39.53775744] ; [207.53775744  66.46224256],0
n4,1,0.157479,1.998266,[141  22] ; [248  25],[145.42889908  17.57110092] ; [243.57110092  29.42889908],0
v4,1,0.167691,1.903467,[152   9] ; [265   8],[154.69354839   6.30645161] ; [262.30645161  10.69354839],0
n1,1,0.169841,1.884344,[12 23] ; [20 20],[14.93333333 20.06666667] ; [17.06666667 22.93333333],0
u3,1,0.178635,1.808943,[24 28] ; [37 26],[27.5826087 24.4173913] ; [33.4173913 29.5826087],0
s4,1,0.231167,1.433665,[ 32 128] ; [ 42 229],[ 27.47099768 132.52900232] ; [ 46.52900232 224.47099768],0
s1,1,0.232504,1.425479,[  6 155] ; [  5 265],[  4.10904872 156.89095128] ; [  6.89095128 263.10904872],0
b1,1,0.238869,1.387257,[73 90] ; [107 167],[67.1395881 95.8604119] ; [112.8604119 161.1395881],0
a1,1,0.253273,1.305158,[  6 157] ; [ 17 257],[  8.57894737 154.42105263] ; [ 14.42105263 259.57894737],0
a2,1,0.279235,1.170811,[ 37 126] ; [ 75 199],[ 41.77574371 121.22425629] ; [ 70.22425629 203.77574371],0
s6,1,0.353704,0.860125,[109  48] ; [198  71],[113.14319249  43.85680751] ; [193.85680751  75.14319249],0
s7,1,0.361858,0.831433,[83 70] ; [153 107],[87.42857143 65.57142857] ; [148.57142857 111.42857143],0
u2,1,0.443379,0.587522,[30 21] ; [32 30],[27.98230088 23.01769912] ; [34.01769912 27.98230088],0
s2,1,0.474202,0.512168,[86 76] ; [154 118],[89.58525346 72.41474654] ; [150.41474654 121.58525346],0
p1,1,0.522547,0.408863,[ 13 149] ; [ 27 247],[ 14.86238532 147.13761468] ; [ 25.13761468 248.86238532],0
a7,1,0.547604,0.361627,[112  51] ; [195  78],[114.77293578  48.22706422] ; [192.22706422  80.77293578],0
s3,1,0.580569,0.305315,[100  62] ; [160 111],[97.27482679 64.72517321] ; [162.72517321 108.27482679],0
a8,1,0.624252,0.239936,[ 26 125] ; [ 47 198],[ 27.83585859 123.16414141] ; [ 45.16414141 199.83585859],0
n3,1,0.641505,0.216779,[26 11] ; [30 10],[26.90909091 10.09090909] ; [29.09090909 10.90909091],0
n2,1,0.64821,0.208164,[29  8] ; [33  7],[29.79220779  7.20779221] ; [32.20779221  7.79220779],0
a6,1,0.850721,0.035419,[111  51] ; [184  88],[110.11520737  51.88479263] ; [184.88479263  87.11520737],0
