Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.021918,5.25228,[45  5] ; [2 2],[43.51851852  6.48148148] ; [3.48148148 0.51851852],0
r3,1,0.023799,5.109203,[44  5] ; [2 2],[42.52830189  6.47169811] ; [3.47169811 0.52830189],0
b4,1,0.051471,3.792878,[36 14] ; [1 3],[34.25925926 15.74074074] ; [2.74074074 1.25925926],0
a7,1,0.071477,3.248761,[34 15] ; [1 3],[32.35849057 16.64150943] ; [2.64150943 1.35849057],0
r4,1,0.09209,2.837455,[42  8] ; [2 2],[40.74074074  9.25925926] ; [3.25925926 0.74074074],0
n5,1,0.123656,2.37039,[32 18] ; [1 3],[30.55555556 19.44444444] ; [2.44444444 1.55555556],0
r1,1,0.126244,2.338097,[41  9] ; [2 2],[39.81481481 10.18518519] ; [3.18518519 0.81481481],0
n4,1,0.126244,2.338097,[41  9] ; [2 2],[39.81481481 10.18518519] ; [3.18518519 0.81481481],0
p3,1,0.147283,2.10017,[19 31] ; [3 1],[20.37037037 29.62962963] ; [1.62962963 2.37037037],0
p7,1,0.197176,1.663168,[20 28] ; [3 1],[21.23076923 26.76923077] ; [1.76923077 2.23076923],0
p2,1,0.20122,1.6335,[29 21] ; [1 3],[27.77777778 22.22222222] ; [2.22222222 1.77777778],0
p4,1,0.246207,1.344701,[22 27] ; [3 1],[23.11320755 25.88679245] ; [1.88679245 2.11320755],0
n6,1,0.253536,1.303714,[38 12] ; [2 2],[37.03703704 12.96296296] ; [2.96296296 1.03703704],0
p5,1,0.259025,1.273959,[ 4 46] ; [1 3],[ 4.62962963 45.37037037] ; [0.37037037 3.62962963],0
p11,1,0.298698,1.08,[26 24] ; [1 3],[25. 25.] ; [2. 2.],0
p8,1,0.407253,0.686804,[15 35] ; [2 2],[15.74074074 34.25925926] ; [1.25925926 2.74074074],0
b1,1,0.416031,0.6615,[27 23] ; [3 1],[27.77777778 22.22222222] ; [2.22222222 1.77777778],0
s4,1,0.468776,0.524861,[ 6 43] ; [1 3],[ 6.47169811 42.52830189] ; [0.52830189 3.47169811],0
p6,1,0.4816,0.495238,[ 6 42] ; [1 3],[ 6.46153846 41.53846154] ; [0.53846154 3.46153846],0
a8,1,0.537546,0.380108,[ 6 38] ; [1 3],[ 6.41666667 37.58333333] ; [0.58333333 3.41666667],0
a3,1,0.635696,0.224416,[31 19] ; [2 2],[30.55555556 19.44444444] ; [2.44444444 1.55555556],0
a6,1,0.635696,0.224416,[31 19] ; [2 2],[30.55555556 19.44444444] ; [2.44444444 1.55555556],0
d3,1,0.657552,0.196511,[32 18] ; [3 1],[32.40740741 17.59259259] ; [2.59259259 1.40740741],0
a4,1,0.657552,0.196511,[18 32] ; [1 3],[17.59259259 32.40740741] ; [1.40740741 2.59259259],0
v2,1,0.658986,0.194758,[30 19] ; [2 2],[29.58490566 19.41509434] ; [2.41509434 1.58490566],0
d1,1,0.695299,0.153409,[20 30] ; [2 2],[20.37037037 29.62962963] ; [1.62962963 2.37037037],0
a5,1,0.695299,0.153409,[30 20] ; [2 2],[29.62962963 20.37037037] ; [2.37037037 1.62962963],0
b5,1,0.713303,0.135,[33 17] ; [3 1],[33.33333333 16.66666667] ; [2.66666667 1.33333333],0
a2,1,0.728739,0.120273,[ 9 41] ; [1 3],[ 9.25925926 40.74074074] ; [0.74074074 3.25925926],0
s8,1,0.752533,0.099415,[16 33] ; [1 3],[15.71698113 33.28301887] ; [1.28301887 2.71698113],0
s7,1,0.762369,0.091429,[19 26] ; [1 2],[18.75 26.25] ; [1.25 1.75],0
s2,1,0.808929,0.058471,[21 27] ; [2 2],[21.23076923 26.76923077] ; [1.76923077 2.23076923],0
d5,1,0.833097,0.044408,[35 15] ; [3 1],[35.18518519 14.81481481] ; [2.81481481 1.18518519],0
v1,1,0.877307,0.023834,[27 23] ; [2 2],[26.85185185 23.14814815] ; [2.14814815 1.85185185],0
p10,1,0.87882,0.023246,[14 35] ; [1 3],[13.86792453 35.13207547] ; [1.13207547 2.86792453],0
d2,1,0.906126,0.013907,[23 26] ; [2 2],[23.11320755 25.88679245] ; [1.88679245 2.11320755],0
s3,1,0.968689,0.001541,[24 25] ; [2 2],[24.03773585 24.96226415] ; [1.96226415 2.03773585],0
d4,1,0.981807,0.00052,[37 12] ; [3 1],[36.98113208 12.01886792] ; [3.01886792 0.98113208],0
u2,1,1.0,0.0,[9 9] ; [1 1],[9. 9.] ; [1. 1.],0
