Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,37.490162,[44  2] ; [ 8 20],[32.32432432 13.67567568] ; [19.67567568  8.32432432],1
p11,1,0.000918,10.986782,[37  9] ; [12 16],[30.45945946 15.54054054] ; [18.54054054  9.45945946],1
s2,1,0.009217,6.780227,[33 12] ; [12 16],[27.73972603 17.26027397] ; [17.26027397 10.73972603],0
v4,1,0.018264,5.570624,[44  2] ; [21  6],[40.95890411  5.04109589] ; [24.04109589  2.95890411],0
s4,1,0.029789,4.721404,[13 32] ; [ 2 25],[ 9.375 35.625] ; [ 5.625 21.375],0
p4,1,0.029862,4.717207,[21 24] ; [ 6 22],[16.64383562 28.35616438] ; [10.35616438 17.64383562],0
s5,1,0.034936,4.448278,[19 24] ; [ 5 21],[14.95652174 28.04347826] ; [ 9.04347826 16.95652174],0
r4,1,0.04747,3.928645,[40  6] ; [19  9],[36.67567568  9.32432432] ; [22.32432432  5.67567568],0
p7,1,0.048074,3.9074,[22 21] ; [ 7 19],[18.07246377 24.92753623] ; [10.92753623 15.07246377],0
s8,1,0.050044,3.84,[24 21] ; [ 8 19],[20. 25.] ; [12. 15.],0
p6,1,0.085887,2.949818,[17 28] ; [ 5 22],[13.75 31.25] ; [ 8.25 18.75],0
r3,1,0.104652,2.633172,[42  4] ; [21  6],[39.69863014  6.30136986] ; [23.30136986  3.69863014],0
n5,1,0.106989,2.598147,[34 12] ; [15 12],[30.87671233 15.12328767] ; [18.12328767  8.87671233],0
n6,1,0.1123,2.521549,[36  9] ; [17 10],[33.125 11.875] ; [19.875  7.125],0
p8,1,0.117285,2.453204,[16 30] ; [ 5 23],[13.05405405 32.94594595] ; [ 7.94594595 20.05405405],0
v2,1,0.132535,2.262553,[27 16] ; [12 15],[23.95714286 19.04285714] ; [15.04285714 11.95714286],0
s6,1,0.146148,2.112,[34 11] ; [16 11],[31.25 13.75] ; [18.75  8.25],0
a2,1,0.18992,1.718241,[ 6 40] ; [ 7 21],[ 8.08108108 37.91891892] ; [ 4.91891892 23.08108108],0
b1,1,0.195982,1.672069,[16 30] ; [14 14],[18.64864865 27.35135135] ; [11.35135135 16.64864865],0
s3,1,0.211894,1.558442,[30 15] ; [14 13],[27.5 17.5] ; [16.5 10.5],0
u1,1,0.2156,1.533418,[ 5 41] ; [ 6 22],[ 6.83783784 39.16216216] ; [ 4.16216216 23.83783784],0
p3,1,0.224602,1.474723,[18 27] ; [ 7 20],[15.625 29.375] ; [ 9.375 17.625],0
r2,1,0.245332,1.349689,[43  3] ; [23  4],[41.5890411  4.4109589] ; [24.4109589  2.5890411],0
d2,1,0.257263,1.283425,[18 27] ; [15 13],[20.34246575 24.65753425] ; [12.65753425 15.34246575],0
a7,1,0.259897,1.269307,[30 16] ; [14 13],[27.7260274 18.2739726] ; [16.2739726 10.7260274],0
a1,1,0.264651,1.244261,[ 5 41] ; [ 1 27],[ 3.72972973 42.27027027] ; [ 2.27027027 25.72972973],0
p5,1,0.375089,0.786736,[ 6 37] ; [ 2 26],[ 4.84507042 38.15492958] ; [ 3.15492958 24.84507042],0
u2,1,0.39033,0.737913,[8 9] ; [7 4],[9.10714286 7.89285714] ; [5.89285714 5.10714286],0
s7,1,0.395171,0.722971,[22 21] ; [11 16],[20.27142857 22.72857143] ; [12.72857143 14.27142857],0
v3,1,0.395458,0.722093,[17 26] ; [13 13],[18.69565217 24.30434783] ; [11.30434783 14.69565217],0
p1,1,0.427904,0.628506,[ 6 40] ; [ 2 26],[ 4.97297297 41.02702703] ; [ 3.02702703 24.97297297],0
b2,1,0.488729,0.479323,[12 20] ; [ 9 10],[13.17647059 18.82352941] ; [ 7.82352941 11.17647059],0
b3,1,0.488729,0.479323,[12 20] ; [ 9 10],[13.17647059 18.82352941] ; [ 7.82352941 11.17647059],0
d3,1,0.536572,0.381931,[24 21] ; [17 11],[25.2739726 19.7260274] ; [15.7260274 12.2739726],0
d5,1,0.605562,0.266688,[30 15] ; [17 11],[28.97260274 16.02739726] ; [18.02739726  9.97260274],0
a8,1,0.724113,0.124586,[ 4 39] ; [ 3 22],[ 4.42647059 38.57352941] ; [ 2.57352941 22.42647059],0
r1,1,0.743182,0.10735,[34 12] ; [19  8],[33.39726027 12.60273973] ; [19.60273973  7.39726027],0
d1,1,0.765621,0.088868,[23 23] ; [13 15],[22.37837838 23.62162162] ; [13.62162162 14.37837838],0
d4,1,0.818132,0.052876,[31 14] ; [20  8],[31.43835616 13.56164384] ; [19.56164384  8.43835616],0
n1,1,0.821348,0.050991,[7 7] ; [6 5],[7.28 6.72] ; [5.72 5.28],0
u3,1,0.823218,0.049911,[13  4] ; [8 3],[12.75  4.25] ; [8.25 2.75],0
a6,1,0.894269,0.017664,[25 20] ; [16 12],[25.2739726 19.7260274] ; [15.7260274 12.2739726],0
b4,1,0.895536,0.01724,[27 19] ; [16 12],[26.72972973 19.27027027] ; [16.27027027 11.72972973],0
n4,1,0.899752,0.01587,[30 16] ; [18  9],[30.24657534 15.75342466] ; [17.75342466  9.24657534],0
b5,1,0.935108,0.006629,[30 16] ; [18 10],[29.83783784 16.16216216] ; [18.16216216  9.83783784],0
a5,1,0.966884,0.001724,[31 15] ; [19  9],[31.08108108 14.91891892] ; [18.91891892  9.08108108],0
n3,1,0.973215,0.001127,[9 5] ; [7 4],[8.96 5.04] ; [7.04 3.96],0
a4,1,0.978786,0.000707,[22 24] ; [13 14],[22.05479452 23.94520548] ; [12.94520548 14.05479452],0
a3,1,0.994511,4.7e-05,[29 17] ; [17 10],[28.98630137 17.01369863] ; [17.01369863  9.98630137],0
s1,1,1.0,0.0,[ 5 40] ; [ 3 24],[ 5. 40.] ; [ 3. 24.],0
