Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,4e-06,21.503695,[29  8] ; [ 5 21],[19.96825397 17.03174603] ; [14.03174603 11.96825397],1
d1,1,3.2e-05,17.321726,[20 17] ; [ 1 25],[12.33333333 24.66666667] ; [ 8.66666667 17.33333333],1
d3,1,0.000347,12.800225,[24 13] ; [ 5 21],[17.03174603 19.96825397] ; [11.96825397 14.03174603],1
b1,1,0.026455,4.926006,[26 11] ; [11 15],[21.73015873 15.26984127] ; [15.26984127 10.73015873],0
a3,1,0.032632,4.564987,[27 10] ; [11 13],[23.04918033 13.95081967] ; [14.95081967  9.04918033],0
a5,1,0.038449,4.285051,[24 13] ; [10 16],[19.96825397 17.03174603] ; [14.03174603 11.96825397],0
p3,1,0.044225,4.047958,[14 22] ; [ 4 22],[10.4516129 25.5483871] ; [ 7.5483871 18.4516129],0
u3,1,0.045465,4.001323,[5 5] ; [ 2 13],[2.8 7.2] ; [ 4.2 10.8],0
n4,1,0.063433,3.445268,[20 17] ; [20  6],[23.49206349 13.50793651] ; [16.50793651  9.49206349],0
n5,1,0.07363,3.200183,[22 15] ; [21  5],[25.25396825 11.74603175] ; [17.74603175  8.25396825],0
b5,1,0.083205,3.001162,[21 16] ; [ 9 17],[17.61904762 19.38095238] ; [12.38095238 13.61904762],0
v2,1,0.09543,2.780312,[ 7 30] ; [ 1 23],[ 4.85245902 32.14754098] ; [ 3.14754098 20.85245902],0
p10,1,0.103976,2.643473,[18 19] ; [ 7 18],[14.91935484 22.08064516] ; [10.08064516 14.91935484],0
a7,1,0.104114,2.641372,[19 18] ; [ 8 18],[15.85714286 21.14285714] ; [11.14285714 14.85714286],0
r1,1,0.104114,2.641372,[19 18] ; [ 8 18],[15.85714286 21.14285714] ; [11.14285714 14.85714286],0
p4,1,0.110985,2.540134,[12 24] ; [ 4 22],[ 9.29032258 26.70967742] ; [ 6.70967742 19.29032258],0
a4,1,0.153223,2.039869,[15 21] ; [ 6 19],[12.39344262 23.60655738] ; [ 8.60655738 16.39344262],0
b4,1,0.160569,1.968862,[25 12] ; [13 13],[22.31746032 14.68253968] ; [15.68253968 10.31746032],0
p5,1,0.202136,1.626872,[ 5 31] ; [ 1 24],[ 3.54098361 32.45901639] ; [ 2.45901639 22.54098361],0
s8,1,0.231207,1.433423,[ 7 30] ; [ 2 23],[ 5.37096774 31.62903226] ; [ 3.62903226 21.37096774],0
s7,1,0.238885,1.387159,[ 8 25] ; [ 3 22],[ 6.25862069 26.74137931] ; [ 4.74137931 20.25862069],0
s3,1,0.292502,1.108071,[12 24] ; [ 5 19],[10.2 25.8] ; [ 6.8 17.2],0
s5,1,0.299316,1.077241,[ 8 29] ; [ 3 23],[ 6.46031746 30.53968254] ; [ 4.53968254 21.46031746],0
v1,1,0.304568,1.054084,[13 24] ; [ 6 20],[11.15873016 25.84126984] ; [ 7.84126984 18.15873016],0
p1,1,0.347082,0.884096,[ 4 33] ; [ 5 21],[ 5.28571429 31.71428571] ; [ 3.71428571 22.28571429],0
s6,1,0.350854,0.870367,[13 24] ; [ 6 19],[11.33870968 25.66129032] ; [ 7.66129032 17.33870968],0
a6,1,0.35855,0.842967,[20 17] ; [11 15],[18.20634921 18.79365079] ; [12.79365079 13.20634921],0
r2,1,0.40043,0.707034,[22 13] ; [19  7],[23.52459016 11.47540984] ; [17.47540984  8.52459016],0
n6,1,0.415619,0.662669,[19 17] ; [11 15],[17.41935484 18.58064516] ; [12.58064516 13.41935484],0
v4,1,0.456941,0.553378,[22 15] ; [13 13],[20.55555556 16.44444444] ; [14.44444444 11.55555556],0
a2,1,0.469179,0.523909,[ 5 32] ; [ 2 24],[ 4.11111111 32.88888889] ; [ 2.88888889 23.11111111],0
u2,1,0.48384,0.490196,[4 6] ; [ 4 11],[3.2 6.8] ; [ 4.8 10.2],0
n3,1,0.485845,0.485714,[ 6 11] ; [8 9],[ 7. 10.] ; [ 7. 10.],0
d2,1,0.492383,0.471316,[17 19] ; [10 16],[15.67741935 20.32258065] ; [11.32258065 14.67741935],0
a1,1,0.540952,0.373779,[ 5 32] ; [ 5 21],[ 5.87301587 31.12698413] ; [ 4.12698413 21.87301587],0
p9,1,0.541478,0.372807,[17 19] ; [ 9 14],[15.86440678 20.13559322] ; [10.13559322 12.86440678],0
b3,1,0.542385,0.371137,[ 8 17] ; [ 7 10],[ 8.92857143 16.07142857] ; [ 6.07142857 10.92857143],0
b2,1,0.542385,0.371137,[ 8 17] ; [ 7 10],[ 8.92857143 16.07142857] ; [ 6.07142857 10.92857143],0
p7,1,0.582416,0.302345,[10 24] ; [ 6 20],[ 9.06666667 24.93333333] ; [ 6.93333333 19.06666667],0
p8,1,0.583158,0.301157,[10 27] ; [ 5 19],[ 9.09836066 27.90163934] ; [ 5.90163934 18.09836066],0
n1,1,0.600472,0.274284,[ 7 10] ; [9 9],[7.77142857 9.22857143] ; [8.22857143 9.77142857],0
p2,1,0.621096,0.24433,[13 23] ; [11 15],[13.93548387 22.06451613] ; [10.06451613 15.93548387],0
s1,1,0.647923,0.208529,[ 3 34] ; [ 3 23],[ 3.52380952 33.47619048] ; [ 2.47619048 23.52380952],0
p12,1,0.798834,0.064952,[ 1 36] ; [ 1 25],[ 1.17460317 35.82539683] ; [ 0.82539683 25.17460317],0
s4,1,0.834489,0.043659,[ 5 32] ; [ 4 22],[ 5.28571429 31.71428571] ; [ 3.71428571 22.28571429],0
a8,1,0.841142,0.040173,[ 1 32] ; [ 1 24],[ 1.13793103 31.86206897] ; [ 0.86206897 24.13793103],0
n2,1,0.861864,0.030277,[8 9] ; [9 9],[8.25714286 8.74285714] ; [8.74285714 9.25714286],0
v3,1,0.877714,0.023675,[ 8 29] ; [ 5 20],[ 7.75806452 29.24193548] ; [ 5.24193548 19.75806452],0
s2,1,0.92914,0.007908,[ 6 31] ; [ 4 22],[ 5.87301587 31.12698413] ; [ 4.12698413 21.87301587],0
r4,1,0.92914,0.007908,[ 6 31] ; [ 4 22],[ 5.87301587 31.12698413] ; [ 4.12698413 21.87301587],0
p11,1,0.929473,0.007834,[11 26] ; [ 8 18],[11.15873016 25.84126984] ; [ 7.84126984 18.15873016],0
