Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,58.161386,[107   2] ; [15 18],[93.64788732 15.35211268] ; [28.35211268  4.64788732],1
r2,1,0.0,54.40363,[107   3] ; [15 18],[93.84615385 16.15384615] ; [28.15384615  4.84615385],1
r1,1,0.0,44.550248,[88 22] ; [ 6 28],[71.80555556 38.19444444] ; [22.19444444 11.80555556],1
r3,1,0.0,40.849525,[103   7] ; [15 18],[90.76923077 19.23076923] ; [27.23076923  5.76923077],1
p9,1,8e-06,19.824964,[91 16] ; [15 17],[81.5971223 25.4028777] ; [24.4028777  7.5971223],1
n6,1,9e-06,19.778927,[98 12] ; [18 15],[89.23076923 20.76923077] ; [26.76923077  6.23076923],1
p11,1,2.8e-05,17.524048,[89 21] ; [15 19],[79.44444444 30.55555556] ; [24.55555556  9.44444444],1
a7,1,4.8e-05,16.535379,[72 37] ; [ 9 25],[61.74125874 47.25874126] ; [19.25874126 14.74125874],1
a6,1,0.000162,14.22612,[72 37] ; [10 24],[62.5034965 46.4965035] ; [19.4965035 14.5034965],1
p10,1,0.000236,13.5173,[88 18] ; [17 16],[80.07194245 25.92805755] ; [24.92805755  8.07194245],1
s3,1,0.000319,12.953364,[65 40] ; [ 9 25],[55.89928058 49.10071942] ; [18.10071942 15.89928058],1
s6,1,0.000681,11.541212,[70 37] ; [11 23],[61.46808511 45.53191489] ; [19.53191489 14.46808511],1
v3,1,0.00184,9.702862,[44 64] ; [ 4 30],[36.50704225 71.49295775] ; [11.49295775 22.50704225],0
v2,1,0.001983,9.565575,[54 50] ; [ 7 26],[46.30656934 57.69343066] ; [14.69343066 18.30656934],0
u2,1,0.00291,8.8633,[28 25] ; [ 2 15],[22.71428571 30.28571429] ; [7.28571429 9.71428571],0
p6,1,0.004099,8.239422,[42 66] ; [ 4 29],[35.23404255 72.76595745] ; [10.76595745 22.23404255],0
d3,1,0.004271,8.164814,[49 60] ; [ 6 28],[41.92307692 67.07692308] ; [13.07692308 20.92307692],0
p8,1,0.006256,7.47504,[61 45] ; [10 23],[54.14388489 51.85611511] ; [16.85611511 16.14388489],0
s5,1,0.007077,7.253389,[35 71] ; [ 3 30],[28.97841727 77.02158273] ; [ 9.02158273 23.97841727],0
p3,1,0.008461,6.933153,[46 62] ; [ 6 28],[39.54929577 68.45070423] ; [12.45070423 21.54929577],0
v1,1,0.00892,6.838725,[58 51] ; [ 9 24],[51.42957746 57.57042254] ; [15.57042254 17.42957746],0
p4,1,0.010971,6.469941,[55 52] ; [ 9 25],[48.56737589 58.43262411] ; [15.43262411 18.56737589],0
a1,1,0.01119,6.434969,[  2 108] ; [ 4 30],[  4.58333333 105.41666667] ; [ 1.41666667 32.58333333],0
u3,1,0.016932,5.703426,[29 24] ; [ 4 14],[24.63380282 28.36619718] ; [8.36619718 9.63380282],0
s2,1,0.01827,5.570082,[53 54] ; [ 9 25],[47.04964539 59.95035461] ; [14.95035461 19.04964539],0
a5,1,0.02179,5.262505,[63 46] ; [12 22],[57.16783217 51.83216783] ; [17.83216783 16.16783217],0
p7,1,0.023809,5.108511,[61 45] ; [12 22],[55.27142857 50.72857143] ; [17.72857143 16.27142857],0
b4,1,0.026238,4.940297,[69 41] ; [14 20],[63.40277778 46.59722222] ; [19.59722222 14.40277778],0
p5,1,0.034554,4.467101,[19 88] ; [ 1 32],[15.28571429 91.71428571] ; [ 4.71428571 28.28571429],0
p2,1,0.036159,4.389582,[78 30] ; [18 16],[73.01408451 34.98591549] ; [22.98591549 11.01408451],0
s4,1,0.051824,3.781436,[16 93] ; [10 24],[19.81818182 89.18181818] ; [ 6.18181818 27.81818182],0
b5,1,0.051967,3.776838,[63 47] ; [13 21],[58.05555556 51.94444444] ; [17.94444444 16.05555556],0
d4,1,0.071669,3.244379,[54 54] ; [11 23],[49.43661972 58.56338028] ; [15.56338028 18.43661972],0
s8,1,0.09165,2.845158,[39 69] ; [ 7 27],[34.98591549 73.01408451] ; [11.01408451 22.98591549],0
s7,1,0.09492,2.788886,[51 51] ; [11 22],[46.84444444 55.15555556] ; [15.15555556 17.84444444],0
