Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,48.324586,[ 24 136] ; [87 83],[ 53.81818182 106.18181818] ; [ 57.18181818 112.81818182],1
v1,1,6.3e-05,16.017277,[ 52 109] ; [92 78],[70.04229607 90.95770393] ; [73.95770393 96.04229607],1
r3,1,0.000117,14.842479,[142  20] ; [171   3],[150.91071429  11.08928571] ; [162.08928571  11.91071429],1
r1,1,0.000517,12.054336,[114  47] ; [151  24],[126.97916667  34.02083333] ; [138.02083333  36.97916667],1
d1,1,0.001664,9.887403,[77 86] ; [113  63],[91.35693215 71.64306785] ; [98.64306785 77.35693215],0
d3,1,0.00169,9.858821,[110  51] ; [146  30],[122.30267062  38.69732938] ; [133.69732938  42.30267062],0
s7,1,0.002101,9.458924,[ 50 107] ; [83 88],[63.66158537 93.33841463] ; [ 69.33841463 101.66158537],0
d4,1,0.006734,7.34247,[127  35] ; [157  19],[136.1183432  25.8816568] ; [147.8816568  28.1183432],0
p11,1,0.009089,6.805157,[105  58] ; [136  40],[115.87905605  47.12094395] ; [125.12094395  50.87905605],0
b1,1,0.009683,6.692384,[ 62 101] ; [ 44 132],[ 50.96755162 112.03244838] ; [ 55.03244838 120.96755162],0
p9,1,0.010316,6.579521,[113  46] ; [141  29],[122.75379939  36.24620061] ; [131.24620061  38.75379939],0
s1,1,0.012428,6.248739,[ 12 148] ; [  3 167],[  7.27272727 152.72727273] ; [  7.72727273 162.27272727],0
s8,1,0.014065,6.029956,[ 48 115] ; [ 74 101],[ 58.83431953 104.16568047] ; [ 63.16568047 111.83431953],0
d5,1,0.0165,5.748808,[119  43] ; [148  28],[127.9704142  34.0295858] ; [139.0295858  36.9704142],0
n1,1,0.020485,5.370107,[24 28] ; [10 33],[18.61052632 33.38947368] ; [15.38947368 27.61052632],0
n6,1,0.023039,5.165574,[119  44] ; [144  29],[127.58630952  35.41369048] ; [135.41369048  37.58630952],0
a5,1,0.025124,5.01535,[104  59] ; [132  44],[113.47492625  49.52507375] ; [122.52507375  53.47492625],0
u1,1,0.02814,4.819446,[ 19 144] ; [ 36 140],[ 26.44542773 136.55457227] ; [ 28.55457227 147.44542773],0
s6,1,0.033993,4.495059,[92 70] ; [117  55],[101.37125749  60.62874251] ; [107.62874251  64.37125749],0
p10,1,0.050953,3.809802,[108  51] ; [134  39],[115.89759036  43.10240964] ; [126.10240964  46.89759036],0
p1,1,0.051642,3.787343,[ 12 148] ; [  5 171],[  8.0952381 151.9047619] ; [  8.9047619 167.0952381],0
r4,1,0.095786,2.774346,[133  30] ; [155  21],[138.47787611  24.52212389] ; [149.52212389  26.47787611],0
s3,1,0.13917,2.187113,[75 85] ; [93 76],[81.70212766 78.29787234] ; [86.29787234 82.70212766],0
p2,1,0.146743,2.105782,[119  43] ; [141  35],[124.61538462  37.38461538] ; [135.38461538  40.61538462],0
s2,1,0.187118,1.740161,[68 93] ; [86 88],[74.0119403 86.9880597] ; [79.9880597 94.0119403],0
p12,1,0.206858,1.593284,[  4 157] ; [  9 166],[  6.22916667 154.77083333] ; [  6.77083333 168.22916667],0
p7,1,0.226254,1.464255,[68 88] ; [85 84],[73.44 82.56] ; [79.56 89.44],0
p5,1,0.226954,1.459847,[ 10 151] ; [  6 170],[  7.64391691 153.35608309] ; [  8.35608309 167.64391691],0
v4,1,0.247225,1.33892,[145  17] ; [161  12],[147.9761194  14.0238806] ; [158.0238806  14.9761194],0
a6,1,0.282965,1.152794,[115  47] ; [134  42],[119.34319527  42.65680473] ; [129.65680473  46.34319527],0
p4,1,0.2892,1.123342,[ 57 105] ; [ 71 103],[ 61.71428571 100.28571429] ; [ 66.28571429 107.71428571],0
a3,1,0.298298,1.081789,[103  58] ; [122  54],[107.4925816  53.5074184] ; [117.5074184  58.4925816],0
a4,1,0.347021,0.884322,[ 60 102] ; [ 74 102],[64.22485207 97.77514793] ; [ 69.77514793 106.22485207],0
b3,1,0.360095,0.83756,[32 61] ; [28 71],[29.0625 63.9375] ; [30.9375 68.0625],0
b2,1,0.360095,0.83756,[32 61] ; [28 71],[29.0625 63.9375] ; [30.9375 68.0625],0
n4,1,0.403892,0.696709,[107  55] ; [123  52],[110.56379822  51.43620178] ; [119.43620178  55.56379822],0
d2,1,0.42042,0.649142,[67 95] ; [80 95],[70.66468843 91.33531157] ; [76.33531157 98.66468843],0
a8,1,0.488373,0.480108,[ 23 133] ; [ 27 126],[ 25.24271845 130.75728155] ; [ 24.75728155 128.24271845],0
b4,1,0.492822,0.470358,[95 68] ; [109  67],[98.08849558 64.91150442] ; [105.91150442  70.08849558],0
r2,1,0.563339,0.333957,[146  15] ; [159  13],[147.46246246  13.53753754] ; [157.53753754  14.46246246],0
s5,1,0.585455,0.297498,[ 40 120] ; [ 47 123],[ 42.18181818 117.81818182] ; [ 44.81818182 125.18181818],0
a2,1,0.609727,0.260573,[ 36 127] ; [ 43 133],[ 37.98525074 125.01474926] ; [ 41.01474926 134.98525074],0
p6,1,0.655347,0.199225,[ 36 127] ; [ 42 132],[ 37.72700297 125.27299703] ; [ 40.27299703 133.72700297],0
a1,1,0.689404,0.159732,[  6 157] ; [  8 168],[  6.73156342 156.26843658] ; [  7.26843658 168.73156342],0
u2,1,0.756585,0.096081,[34 25] ; [29 24],[33.1875 25.8125] ; [29.8125 23.1875],0
n5,1,0.8059,0.060378,[105  58] ; [113  59],[106.07164179  56.92835821] ; [111.92835821  60.07164179],0
n3,1,0.823073,0.049994,[35 18] ; [30 14],[35.51546392 17.48453608] ; [29.48453608 14.51546392],0
b5,1,0.843806,0.03882,[110  53] ; [117  59],[109.14749263  53.85250737] ; [117.85250737  58.14749263],0
n2,1,0.89482,0.017479,[37 17] ; [30 13],[37.29896907 16.70103093] ; [29.70103093 13.29896907],0
u4,1,0.924438,0.008996,[  3 160] ; [  3 173],[  2.88495575 160.11504425] ; [  3.11504425 172.88495575],0
s4,1,0.931231,0.007447,[ 28 132] ; [ 30 145],[ 27.70149254 132.29850746] ; [ 30.29850746 144.70149254],0
p8,1,0.958223,0.002744,[63 98] ; [ 67 103],[63.2326284 97.7673716] ; [ 66.7673716 103.2326284],0
u3,1,0.981171,0.000557,[34 25] ; [31 23],[33.9380531 25.0619469] ; [31.0619469 22.9380531],0
