Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,4.2e-05,16.8,[ 4 24] ; [11  3],[10. 18.] ; [5. 9.],1
a7,1,0.029992,4.709768,[15 13] ; [13  2],[18.23255814  9.76744186] ; [9.76744186 5.23255814],0
s5,1,0.076581,3.136,[13 12] ; [12  3],[15.625  9.375] ; [9.375 5.625],0
n5,1,0.078247,3.100944,[26  2] ; [11  4],[24.09302326  3.90697674] ; [12.90697674  2.09302326],0
a6,1,0.085898,2.949621,[22  6] ; [8 7],[19.53488372  8.46511628] ; [10.46511628  4.53488372],0
s6,1,0.102755,2.662256,[15  9] ; [13  2],[17.23076923  6.76923077] ; [10.76923077  4.23076923],0
p6,1,0.107364,2.592593,[11 16] ; [10  5],[13.5 13.5] ; [7.5 7.5],0
p2,1,0.194924,1.68,[21  6] ; [14  1],[22.5  4.5] ; [12.5  2.5],0
s7,1,0.199101,1.648955,[ 7 19] ; [7 8],[ 8.87804878 17.12195122] ; [5.12195122 9.87804878],0
a1,1,0.210021,1.571278,[ 2 26] ; [ 3 12],[ 3.25581395 24.74418605] ; [ 1.74418605 13.25581395],0
r4,1,0.211414,1.561716,[22  6] ; [14  1],[23.44186047  4.55813953] ; [12.55813953  2.44186047],0
d4,1,0.259623,1.270765,[20  8] ; [13  2],[21.48837209  6.51162791] ; [11.51162791  3.48837209],0
p1,1,0.307375,1.041923,[ 7 21] ; [6 9],[ 8.46511628 19.53488372] ; [ 4.53488372 10.46511628],0
a2,1,0.320058,0.988707,[ 4 24] ; [ 4 11],[ 5.20930233 22.79069767] ; [ 2.79069767 12.20930233],0
v2,1,0.333998,0.933333,[15 12] ; [6 9],[13.5 13.5] ; [7.5 7.5],0
u2,1,0.360387,0.836543,[5 4] ; [4 1],[5.78571429 3.21428571] ; [3.21428571 1.78571429],0
p11,1,0.402298,0.701448,[25  3] ; [12  3],[24.09302326  3.90697674] ; [12.90697674  2.09302326],0
p8,1,0.407961,0.684734,[17 11] ; [11  4],[18.23255814  9.76744186] ; [9.76744186 5.23255814],0
n2,1,0.427355,0.63,[4 1] ; [1 1],[3.57142857 1.42857143] ; [1.42857143 0.57142857],0
r3,1,0.457592,0.551779,[24  4] ; [14  1],[24.74418605  3.25581395] ; [13.25581395  1.74418605],0
u3,1,0.480478,0.497778,[7 2] ; [3 2],[6.42857143 2.57142857] ; [3.57142857 1.42857143],0
a4,1,0.483869,0.490131,[10 18] ; [7 8],[11.06976744 16.93023256] ; [5.93023256 9.06976744],0
u1,1,0.498543,0.458038,[ 5 23] ; [ 4 11],[ 5.86046512 22.13953488] ; [ 3.13953488 11.86046512],0
r2,1,0.515599,0.422687,[22  6] ; [13  2],[22.79069767  5.20930233] ; [12.20930233  2.79069767],0
p10,1,0.530736,0.392982,[25  2] ; [13  2],[24.42857143  2.57142857] ; [13.57142857  1.42857143],0
d1,1,0.530931,0.392609,[14 14] ; [9 6],[14.97674419 13.02325581] ; [8.02325581 6.97674419],0
v1,1,0.536249,0.382536,[13 13] ; [9 6],[13.95121951 12.04878049] ; [8.04878049 6.95121951],0
a5,1,0.561484,0.337142,[21  7] ; [10  5],[20.18604651  7.81395349] ; [10.81395349  4.18604651],0
d5,1,0.561484,0.337142,[21  7] ; [10  5],[20.18604651  7.81395349] ; [10.81395349  4.18604651],0
n4,1,0.628564,0.234014,[24  4] ; [12  3],[23.44186047  4.55813953] ; [12.55813953  2.44186047],0
p7,1,0.636906,0.222812,[20  8] ; [9 5],[19.33333333  8.66666667] ; [9.66666667 4.33333333],0
s1,1,0.645981,0.211005,[ 1 27] ; [ 1 14],[ 1.30232558 26.69767442] ; [ 0.69767442 14.30232558],0
p9,1,0.663194,0.189667,[25  3] ; [14  1],[25.39534884  2.60465116] ; [13.60465116  1.39534884],0
a8,1,0.708992,0.139286,[ 3 23] ; [ 1 12],[ 2.66666667 23.33333333] ; [ 1.33333333 11.66666667],0
p3,1,0.745903,0.105006,[20  8] ; [10  5],[19.53488372  8.46511628] ; [10.46511628  4.53488372],0
p12,1,0.74591,0.105,[ 6 21] ; [ 4 11],[ 6.42857143 20.57142857] ; [ 3.57142857 11.42857143],0
n3,1,0.80915,0.058333,[2 3] ; [1 1],[2.14285714 2.85714286] ; [0.85714286 1.14285714],0
b5,1,0.810529,0.057477,[16 12] ; [8 7],[15.62790698 12.37209302] ; [8.37209302 6.62790698],0
b1,1,0.856366,0.032762,[12 16] ; [6 9],[11.72093023 16.27906977] ; [6.27906977 8.72093023],0
d3,1,0.856366,0.032762,[16 12] ; [9 6],[16.27906977 11.72093023] ; [8.72093023 6.27906977],0
p4,1,0.906737,0.013725,[22  5] ; [12  3],[21.85714286  5.14285714] ; [12.14285714  2.85714286],0
v3,1,0.926608,0.008485,[13 14] ; [7 8],[12.85714286 14.14285714] ; [7.14285714 7.85714286],0
n6,1,0.928831,0.007977,[25  2] ; [14  1],[25.07142857  1.92857143] ; [13.92857143  1.07142857],0
a3,1,0.936715,0.006304,[19  9] ; [10  5],[18.88372093  9.11627907] ; [10.11627907  4.88372093],0
b4,1,0.936715,0.006304,[19  9] ; [10  5],[18.88372093  9.11627907] ; [10.11627907  4.88372093],0
r1,1,0.936715,0.006304,[19  9] ; [10  5],[18.88372093  9.11627907] ; [10.11627907  4.88372093],0
d2,1,0.988097,0.000223,[15 13] ; [8 7],[14.97674419 13.02325581] ; [8.02325581 6.97674419],0
b2,1,1.0,0.0,[11 11] ; [4 4],[11. 11.] ; [4. 4.],0
b3,1,1.0,0.0,[11 11] ; [4 4],[11. 11.] ; [4. 4.],0
