Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.001,10.826982,[49 29] ; [232  56],[59.8852459 18.1147541] ; [221.1147541  66.8852459],0
s5,1,0.00182,9.722785,[39 30] ; [100 178],[27.63976945 41.36023055] ; [111.36023055 166.63976945],0
s2,1,0.001978,9.569973,[72  6] ; [221  68],[62.27247956 15.72752044] ; [230.72752044  58.27247956],0
n1,1,0.008053,7.021736,[ 2 14] ; [30 31],[6.64935065 9.35064935] ; [25.35064935 35.64935065],0
s6,1,0.011902,6.325405,[71  5] ; [234  53],[63.85674931 12.14325069] ; [241.14325069  45.85674931],0
v3,1,0.012626,6.220741,[21 56] ; [117 155],[30.4469914 46.5530086] ; [107.5530086 164.4469914],0
b5,1,0.016067,5.795521,[59 19] ; [176 113],[49.94550409 28.05449591] ; [185.05449591 103.94550409],0
a8,1,0.018902,5.510545,[ 5 67] ; [ 49 218],[11.46902655 60.53097345] ; [ 42.53097345 224.46902655],0
b3,1,0.036761,4.361429,[ 7 29] ; [ 68 113],[12.44239631 23.55760369] ; [ 62.55760369 118.44239631],0
b2,1,0.036761,4.361429,[ 7 29] ; [ 68 113],[12.44239631 23.55760369] ; [ 62.55760369 118.44239631],0
v1,1,0.0538,3.71888,[33 44] ; [152 123],[40.46875 36.53125] ; [144.53125 130.46875],0
a1,1,0.112662,2.516482,[ 1 77] ; [ 16 273],[ 3.61307902 74.38692098] ; [ 13.38692098 275.61307902],0
p12,1,0.130359,2.288226,[ 5 73] ; [ 36 252],[ 8.73770492 69.26229508] ; [ 32.26229508 255.73770492],0
p11,1,0.135562,2.227627,[55 23] ; [227  62],[59.9346049 18.0653951] ; [222.0653951  66.9346049],0
v2,1,0.14571,2.1166,[39 36] ; [168 106],[44.48424069 30.51575931] ; [162.51575931 111.48424069],0
u2,1,0.152249,2.049575,[11 12] ; [49 27],[13.93939394  9.06060606] ; [46.06060606 29.93939394],0
p5,1,0.173296,1.854201,[ 6 72] ; [ 38 246],[ 9.48066298 68.51933702] ; [ 34.51933702 249.48066298],0
n3,1,0.215156,1.536387,[14  2] ; [45 17],[12.1025641  3.8974359] ; [46.8974359 15.1025641],0
s7,1,0.23692,1.398828,[52 24] ; [169 108],[47.58073654 28.41926346] ; [173.41926346 103.58073654],0
r1,1,0.244573,1.354039,[62 16] ; [243  43],[65.35714286 12.64285714] ; [239.64285714  46.35714286],0
u4,1,0.265985,1.237339,[ 1 77] ; [ 11 278],[ 2.55040872 75.44959128] ; [  9.44959128 279.55040872],0
