Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,27.533253,[82 10] ; [13 17],[71.63934426 20.36065574] ; [23.36065574  6.63934426],1
n6,1,0.000174,14.094485,[81 11] ; [17 13],[73.90163934 18.09836066] ; [24.09836066  5.90163934],1
p10,1,0.018841,5.516234,[70 19] ; [17 13],[65.06722689 23.93277311] ; [21.93277311  8.06722689],0
p3,1,0.05653,3.636364,[45 45] ; [ 9 21],[40.5 49.5] ; [13.5 16.5],0
p9,1,0.061133,3.506373,[69 20] ; [18 12],[65.06722689 23.93277311] ; [21.93277311  8.06722689],0
p5,1,0.079602,3.073016,[14 76] ; [ 1 29],[11.25 78.75] ; [ 3.75 26.25],0
s5,1,0.087701,2.91608,[27 61] ; [ 4 24],[23.51724138 64.48275862] ; [ 7.48275862 20.51724138],0
d5,1,0.111653,2.530664,[46 46] ; [10 20],[42.2295082 49.7704918] ; [13.7704918 16.2295082],0
v3,1,0.223497,1.481776,[39 50] ; [ 9 20],[36.20338983 52.79661017] ; [11.79661017 17.20338983],0
a4,1,0.223543,1.481481,[25 65] ; [ 5 25],[22.5 67.5] ; [ 7.5 22.5],0
p4,1,0.226463,1.462941,[51 40] ; [13 17],[48.1322314 42.8677686] ; [15.8677686 14.1322314],0
s4,1,0.228165,1.452264,[15 75] ; [ 8 22],[17.25 72.75] ; [ 5.75 24.25],0
n1,1,0.237867,1.393189,[13 11] ; [4 8],[11.33333333 12.66666667] ; [5.66666667 6.33333333],0
n3,1,0.251542,1.314721,[17  6] ; [10  1],[18.26470588  4.73529412] ; [8.73529412 2.26470588],0
p8,1,0.267927,1.227332,[45 42] ; [12 18],[42.38461538 44.61538462] ; [14.61538462 15.38461538],0
b3,1,0.284346,1.146199,[16 41] ; [ 3 16],[14.25 42.75] ; [ 4.75 14.25],0
b2,1,0.284346,1.146199,[16 41] ; [ 3 16],[14.25 42.75] ; [ 4.75 14.25],0
p6,1,0.288385,1.127145,[30 59] ; [ 7 23],[27.67226891 61.32773109] ; [ 9.32773109 20.67226891],0
