Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000294,13.110827,[124  32] ; [12 14],[116.57142857  39.42857143] ; [19.42857143  6.57142857],1
s3,1,0.005827,7.60307,[118  37] ; [13 13],[112.18232044  42.81767956] ; [18.81767956  7.18232044],0
r3,1,0.011014,6.463068,[153   3] ; [23  3],[150.85714286   5.14285714] ; [25.14285714  0.85714286],0
d5,1,0.036276,4.384088,[137  18] ; [19  7],[133.59116022  21.40883978] ; [22.40883978  3.59116022],0
p4,1,0.04417,4.050061,[133  23] ; [18  8],[129.42857143  26.57142857] ; [21.57142857  4.42857143],0
s5,1,0.055752,3.659443,[81 68] ; [ 8 16],[76.65317919 72.34682081] ; [12.34682081 11.65317919],0
r1,1,0.056407,3.64,[132  24] ; [18  8],[128.57142857  27.42857143] ; [21.42857143  4.57142857],0
p5,1,0.065221,3.399378,[ 37 119] ; [ 2 24],[ 33.42857143 122.57142857] ; [ 5.57142857 20.42857143],0
b1,1,0.086335,2.941414,[70 86] ; [ 7 19],[66. 90.] ; [11. 15.],0
v3,1,0.099125,2.719566,[67 85] ; [16 10],[70.87640449 81.12359551] ; [12.12359551 13.87640449],0
p7,1,0.108324,2.578511,[130  23] ; [18  7],[127.21348315  25.78651685] ; [20.78651685  4.21348315],0
b2,1,0.122603,2.383747,[48 56] ; [13  7],[51.16129032 52.83870968] ; [ 9.83870968 10.16129032],0
b3,1,0.122603,2.383747,[48 56] ; [13  7],[51.16129032 52.83870968] ; [ 9.83870968 10.16129032],0
p10,1,0.150471,2.06747,[140  15] ; [21  5],[137.87292818  17.12707182] ; [23.12707182  2.87292818],0
p9,1,0.207849,1.586347,[147   8] ; [23  3],[145.5801105   9.4198895] ; [24.4198895  1.5801105],0
p2,1,0.208444,1.582202,[137  19] ; [25  1],[138.85714286  17.14285714] ; [23.14285714  2.85714286],0
a2,1,0.210066,1.570972,[ 42 114] ; [ 4 22],[ 39.42857143 116.57142857] ; [ 6.57142857 19.42857143],0
v2,1,0.245983,1.345974,[93 59] ; [19  7],[95.64044944 56.35955056] ; [16.35955056  9.64044944],0
u3,1,0.255719,1.291788,[27 10] ; [3 3],[25.81395349 11.18604651] ; [4.18604651 1.81395349],0
n6,1,0.257697,1.281088,[142  13] ; [22  4],[140.44198895  14.55801105] ; [23.55801105  2.44198895],0
r4,1,0.272442,1.204412,[147   9] ; [23  3],[145.71428571  10.28571429] ; [24.28571429  1.71428571],0
s7,1,0.330193,0.94814,[122  28] ; [19  7],[120.17045455  29.82954545] ; [20.82954545  5.17045455],0
d3,1,0.33951,0.912281,[116  40] ; [17  9],[114.  42.] ; [19.  7.],0
a4,1,0.363933,0.824275,[81 75] ; [11 15],[78.85714286 77.14285714] ; [13.14285714 12.85714286],0
s4,1,0.364586,0.822035,[ 36 118] ; [ 4 22],[ 34.22222222 119.77777778] ; [ 5.77777778 20.22222222],0
a7,1,0.381168,0.766933,[106  49] ; [20  6],[107.90055249  47.09944751] ; [18.09944751  7.90055249],0
a1,1,0.426643,0.631944,[ 13 143] ; [ 1 25],[ 12. 144.] ; [ 2. 24.],0
d4,1,0.446129,0.580468,[139  16] ; [22  4],[137.87292818  17.12707182] ; [23.12707182  2.87292818],0
p8,1,0.520192,0.413513,[109  45] ; [20  6],[110.36666667  43.63333333] ; [18.63333333  7.36666667],0
a6,1,0.545974,0.36458,[99 56] ; [15 11],[97.62430939 57.37569061] ; [16.37569061  9.62430939],0
d1,1,0.551034,0.355469,[111  45] ; [17  9],[109.71428571  46.28571429] ; [18.28571429  7.71428571],0
p1,1,0.601276,0.273076,[ 24 131] ; [ 3 23],[ 23.12154696 131.87845304] ; [ 3.87845304 22.12154696],0
u1,1,0.632958,0.22807,[ 43 113] ; [ 6 20],[ 42. 114.] ; [ 7. 19.],0
p12,1,0.65704,0.197139,[ 23 132] ; [ 3 23],[ 22.26519337 132.73480663] ; [ 3.73480663 22.26519337],0
b4,1,0.668095,0.183838,[89 67] ; [16 10],[90. 66.] ; [15. 11.],0
d2,1,0.668095,0.183838,[91 65] ; [14 12],[90. 66.] ; [15. 11.],0
