Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.6e-05,18.588103,[ 8 20] ; [19  2],[15.42857143 12.57142857] ; [11.57142857  9.42857143],1
n6,1,3.9e-05,16.91508,[ 5 22] ; [17  5],[12.12244898 14.87755102] ; [ 9.87755102 12.12244898],1
v2,1,0.000178,14.050509,[ 1 26] ; [11 11],[ 6.6122449 20.3877551] ; [ 5.3877551 16.6122449],1
p2,1,0.006228,7.482993,[ 4 24] ; [11 11],[ 8.4 19.6] ; [ 6.6 15.4],0
s6,1,0.007805,7.077778,[ 2 26] ; [ 8 13],[ 5.71428571 22.28571429] ; [ 4.28571429 16.71428571],0
p9,1,0.012134,6.291156,[ 7 20] ; [13  8],[11.25 15.75] ; [ 8.75 12.25],0
r4,1,0.013081,6.158151,[ 3 25] ; [ 9 13],[ 6.72 21.28] ; [ 5.28 16.72],0
s8,1,0.016506,5.748155,[ 1 27] ; [ 6 16],[ 3.92 24.08] ; [ 3.08 18.92],0
p10,1,0.019571,5.449766,[ 6 21] ; [12 10],[ 9.91836735 17.08163265] ; [ 8.08163265 13.91836735],0
s7,1,0.02333,5.143753,[ 3 22] ; [ 9 13],[ 6.38297872 18.61702128] ; [ 5.61702128 16.38297872],0
d5,1,0.027112,4.883658,[13 15] ; [17  5],[16.8 11.2] ; [13.2  8.8],0
d4,1,0.063356,3.447288,[16 12] ; [18  4],[19.04  8.96] ; [14.96  7.04],0
n4,1,0.070633,3.268239,[22  6] ; [12 10],[19.04  8.96] ; [14.96  7.04],0
b4,1,0.083069,3.00381,[15 13] ; [17  5],[17.92 10.08] ; [14.08  7.92],0
p8,1,0.09896,2.722222,[ 2 26] ; [ 5 16],[ 4. 24.] ; [ 3. 18.],0
s5,1,0.09896,2.722222,[ 2 26] ; [ 5 16],[ 4. 24.] ; [ 3. 18.],0
d1,1,0.121245,2.401164,[ 8 20] ; [11 11],[10.64 17.36] ; [ 8.36 13.64],0
s3,1,0.153164,2.040454,[ 7 20] ; [10 12],[ 9.36734694 17.63265306] ; [ 7.63265306 14.36734694],0
n5,1,0.200751,1.636905,[19  9] ; [11 11],[16.8 11.2] ; [13.2  8.8],0
p6,1,0.206571,1.595296,[ 1 26] ; [ 3 19],[ 2.20408163 24.79591837] ; [ 1.79591837 20.20408163],0
u3,1,0.212296,1.555699,[ 1 12] ; [2 5],[ 1.95 11.05] ; [1.05 5.95],0
b1,1,0.282521,1.154924,[17 11] ; [10 12],[15.12 12.88] ; [11.88 10.12],0
b5,1,0.309657,1.032137,[10 18] ; [11 11],[11.76 16.24] ; [ 9.24 12.76],0
a3,1,0.366922,0.814062,[15 12] ; [15  7],[16.53061224 10.46938776] ; [13.46938776  8.53061224],0
p1,1,0.375209,0.78634,[ 5 23] ; [ 2 20],[ 3.92 24.08] ; [ 3.08 18.92],0
p7,1,0.44057,0.594798,[ 4 24] ; [ 5 17],[ 5.04 22.96] ; [ 3.96 18.04],0
d2,1,0.516889,0.420096,[11 16] ; [11 11],[12.12244898 14.87755102] ; [ 9.87755102 12.12244898],0
d3,1,0.521504,0.410917,[ 9 19] ; [ 9 13],[10.08 17.92] ; [ 7.92 14.08],0
a7,1,0.568811,0.324675,[13 15] ; [12 10],[14. 14.] ; [11. 11.],0
s4,1,0.574727,0.314837,[ 4 24] ; [ 2 20],[ 3.36 24.64] ; [ 2.64 19.36],0
r2,1,0.578531,0.308615,[14 12] ; [13  8],[14.93617021 11.06382979] ; [12.06382979  8.93617021],0
a5,1,0.614937,0.253048,[12 16] ; [11 11],[12.88 15.12] ; [10.12 11.88],0
u2,1,0.639207,0.21978,[ 3 10] ; [1 6],[ 2.6 10.4] ; [1.4 5.6],0
s2,1,0.669123,0.18263,[ 5 23] ; [ 5 17],[ 5.6 22.4] ; [ 4.4 17.6],0
b2,1,0.681314,0.168651,[10 10] ; [6 8],[ 9.41176471 10.58823529] ; [6.58823529 7.41176471],0
b3,1,0.681314,0.168651,[10 10] ; [6 8],[ 9.41176471 10.58823529] ; [6.58823529 7.41176471],0
a8,1,0.709131,0.139147,[ 4 24] ; [ 4 18],[ 4.48 23.52] ; [ 3.52 18.48],0
p3,1,0.752291,0.099616,[ 3 25] ; [ 3 19],[ 3.36 24.64] ; [ 2.64 19.36],0
n2,1,0.772059,0.083916,[7 9] ; [4 4],[7.33333333 8.66666667] ; [3.66666667 4.33333333],0
n1,1,0.772059,0.083916,[7 9] ; [4 4],[7.33333333 8.66666667] ; [3.66666667 4.33333333],0
a2,1,0.849361,0.036075,[ 3 25] ; [ 2 20],[ 2.8 25.2] ; [ 2.2 19.8],0
a6,1,0.854277,0.033733,[12 16] ; [10 12],[12.32 15.68] ; [ 9.68 12.32],0
a4,1,0.868681,0.027335,[ 8 19] ; [ 7 15],[ 8.26530612 18.73469388] ; [ 6.73469388 15.26530612],0
r1,1,0.907406,0.013528,[11 17] ; [ 9 13],[11.2 16.8] ; [ 8.8 13.2],0
v1,1,0.9236,0.009197,[ 7 21] ; [ 5 16],[ 6.85714286 21.14285714] ; [ 5.14285714 15.85714286],0
v3,1,0.976336,0.00088,[ 5 23] ; [ 4 18],[ 5.04 22.96] ; [ 3.96 18.04],0
