Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,23.801845,[91 12] ; [10 13],[82.56349206 20.43650794] ; [18.43650794  4.56349206],1
r4,1,4e-06,21.488021,[76 28] ; [ 5 18],[66.33070866 37.66929134] ; [14.66929134  8.33070866],1
p2,1,0.000293,13.113104,[77 27] ; [ 8 15],[69.60629921 34.39370079] ; [15.39370079  7.60629921],1
n6,1,0.000293,13.113104,[77 27] ; [ 8 15],[69.60629921 34.39370079] ; [15.39370079  7.60629921],1
p11,1,0.000352,12.77073,[73 31] ; [ 7 16],[65.51181102 38.48818898] ; [14.48818898  8.51181102],1
p9,1,0.000773,11.305422,[72 31] ; [ 7 15],[65.096 37.904] ; [13.904  8.096],1
r2,1,0.000966,10.89082,[89 14] ; [13 10],[83.38095238 19.61904762] ; [18.61904762  4.38095238],1
u3,1,0.003857,8.350113,[28 31] ; [ 1 14],[23.12162162 35.87837838] ; [5.87837838 9.12162162],0
u2,1,0.004533,8.056876,[32 27] ; [ 2 13],[27.10810811 31.89189189] ; [6.89189189 8.10810811],0
a7,1,0.004717,7.984878,[64 38] ; [ 7 16],[57.936 44.064] ; [13.064  9.936],0
p7,1,0.007671,7.108811,[53 48] ; [ 5 18],[47.24193548 53.75806452] ; [10.75806452 12.24193548],0
r1,1,0.007801,7.078569,[59 45] ; [ 6 17],[53.22834646 50.77165354] ; [11.77165354 11.22834646],0
p10,1,0.009164,6.790652,[64 39] ; [ 7 15],[58.504 44.496] ; [12.496  9.504],0
d5,1,0.009526,6.7214,[62 41] ; [ 7 16],[56.4047619 46.5952381] ; [12.5952381 10.4047619],0
p4,1,0.025475,4.991321,[38 64] ; [ 3 20],[33.456 68.544] ; [ 7.544 15.456],0
s1,1,0.037703,4.318356,[  3 101] ; [ 3 20],[ 4.91338583 99.08661417] ; [ 1.08661417 21.91338583],0
b5,1,0.050817,3.814296,[68 36] ; [10 13],[63.87401575 40.12598425] ; [14.12598425  8.87401575],0
v2,1,0.060069,3.53548,[39 60] ; [ 4 18],[35.18181818 63.81818182] ; [ 7.81818182 14.18181818],0
p8,1,0.061168,3.505439,[39 64] ; [ 4 19],[35.15079365 67.84920635] ; [ 7.84920635 15.15079365],0
p6,1,0.084146,2.982939,[27 76] ; [ 2 20],[23.896 79.104] ; [ 5.104 16.896],0
a1,1,0.092398,2.832093,[  2 102] ; [ 2 21],[  3.27559055 100.72440945] ; [ 0.72440945 22.27559055],0
b1,1,0.116048,2.469863,[36 68] ; [12 11],[39.30708661 64.69291339] ; [ 8.69291339 14.30708661],0
n3,1,0.135519,2.228117,[24  8] ; [5 5],[22.0952381  9.9047619] ; [6.9047619 3.0952381],0
v3,1,0.15991,1.975073,[27 73] ; [ 3 20],[24.3902439 75.6097561] ; [ 5.6097561 17.3902439],0
d3,1,0.186645,1.743904,[51 51] ; [ 8 15],[48.144 53.856] ; [10.856 12.144],0
s7,1,0.208272,1.583394,[20 81] ; [ 2 21],[17.91935484 83.08064516] ; [ 4.08064516 18.91935484],0
d2,1,0.209963,1.57168,[23 80] ; [ 8 15],[25.34126984 77.65873016] ; [ 5.65873016 17.34126984],0
s8,1,0.220376,1.501918,[14 90] ; [ 1 22],[12.28346457 91.71653543] ; [ 2.71653543 20.28346457],0
b2,1,0.232858,1.423319,[16 41] ; [7 9],[17.95890411 39.04109589] ; [ 5.04109589 10.95890411],0
b3,1,0.232858,1.423319,[16 41] ; [7 9],[17.95890411 39.04109589] ; [ 5.04109589 10.95890411],0
n1,1,0.280087,1.166667,[10 22] ; [5 5],[11.42857143 20.57142857] ; [3.57142857 6.42857143],0
p3,1,0.299073,1.078321,[29 75] ; [ 4 19],[27.02362205 76.97637795] ; [ 5.97637795 17.02362205],0
p1,1,0.309059,1.034691,[ 7 97] ; [ 3 20],[ 8.18897638 95.81102362] ; [ 1.81102362 21.18897638],0
a8,1,0.3149,1.01001,[11 86] ; [ 1 22],[ 9.7 87.3] ; [ 2.3 20.7],0
v1,1,0.31749,0.999258,[33 69] ; [ 5 18],[31.008 70.992] ; [ 6.992 16.008],0
d4,1,0.330836,0.945623,[65 38] ; [12 11],[62.94444444 40.05555556] ; [14.05555556  8.94444444],0
d1,1,0.343658,0.896736,[33 71] ; [ 5 18],[31.11811024 72.88188976] ; [ 6.88188976 16.11811024],0
n4,1,0.38907,0.741845,[53 51] ; [14  9],[54.86614173 49.13385827] ; [12.13385827 10.86614173],0
a3,1,0.413166,0.669672,[45 57] ; [ 8 15],[43.248 58.752] ; [ 9.752 13.248],0
a6,1,0.436279,0.606051,[50 54] ; [ 9 14],[48.31496063 55.68503937] ; [10.68503937 12.31496063],0
a4,1,0.457882,0.551067,[16 88] ; [ 5 18],[17.19685039 86.80314961] ; [ 3.80314961 19.19685039],0
s2,1,0.485632,0.486189,[20 84] ; [ 3 20],[18.83464567 85.16535433] ; [ 4.16535433 18.83464567],0
u1,1,0.488365,0.480126,[  2 102] ; [ 1 22],[  2.45669291 101.54330709] ; [ 0.54330709 22.45669291],0
n5,1,0.600458,0.274305,[52 51] ; [13 10],[53.13492063 49.86507937] ; [11.86507937 11.13492063],0
n2,1,0.653484,0.201536,[21 10] ; [6 4],[20.41463415 10.58536585] ; [6.58536585 3.41463415],0
s4,1,0.787664,0.072547,[11 93] ; [ 2 21],[10.64566929 93.35433071] ; [ 2.35433071 20.64566929],0
s3,1,0.804133,0.061505,[26 77] ; [ 5 17],[25.544 77.456] ; [ 5.456 16.544],0
s5,1,0.907622,0.013465,[10 91] ; [ 2 20],[ 9.85365854 91.14634146] ; [ 2.14634146 19.85365854],0
b4,1,0.985393,0.000335,[59 45] ; [13 10],[58.96062992 45.03937008] ; [13.03937008  9.96062992],0
