Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,154.981863,[112  25] ; [ 53 232],[53.56635071 83.43364929] ; [111.43364929 173.56635071],1
s6,1,0.0,64.221937,[107  27] ; [108 177],[68.75894988 65.24105012] ; [146.24105012 138.75894988],1
s7,1,0.0,42.690147,[63 71] ; [ 45 227],[35.6453202 98.3546798] ; [ 72.3546798 199.6453202],1
s5,1,0.0,39.022216,[60 74] ; [ 46 237],[34.06235012 99.93764988] ; [ 71.93764988 211.06235012],1
s4,1,8e-06,19.846913,[ 35 100] ; [ 27 259],[ 19.88123515 115.11876485] ; [ 42.11876485 243.88123515],1
r3,1,0.002456,9.172737,[133   3] ; [257  31],[125.09433962  10.90566038] ; [264.90566038  23.09433962],0
u1,1,0.006258,7.474365,[ 31 108] ; [ 35 254],[ 21.43457944 117.56542056] ; [ 44.56542056 244.43457944],0
p12,1,0.015051,5.910531,[ 11 126] ; [  8 278],[  6.1536643 130.8463357] ; [ 12.8463357 273.1536643],0
p10,1,0.016762,5.721092,[110  25] ; [201  84],[99.96428571 35.03571429] ; [211.03571429  73.96428571],0
n2,1,0.020121,5.401353,[26  5] ; [48 31],[20.85454545 10.14545455] ; [53.14545455 25.85454545],0
a7,1,0.027681,4.847832,[114  25] ; [208  80],[104.81967213  34.18032787] ; [217.18032787  70.81967213],0
p6,1,0.028297,4.80989,[45 89] ; [ 66 216],[35.75480769 98.24519231] ; [ 75.24519231 206.75480769],0
r2,1,0.030829,4.662475,[133   5] ; [255  27],[127.48571429  10.51428571] ; [260.51428571  21.48571429],0
p9,1,0.034379,4.475743,[110  22] ; [210  74],[101.53846154  30.46153846] ; [218.46153846  65.53846154],0
s1,1,0.048053,3.908129,[  7 129] ; [  5 283],[  3.8490566 132.1509434] ; [  8.1509434 279.8490566],0
p4,1,0.056328,3.64233,[83 54] ; [145 141],[73.84397163 63.15602837] ; [154.15602837 131.84397163],0
v4,1,0.084408,2.977914,[130   7] ; [258  29],[125.36792453  11.63207547] ; [262.63207547  24.36792453],0
a2,1,0.093669,2.810164,[ 39 100] ; [ 60 229],[ 32.15186916 106.84813084] ; [ 66.84813084 222.15186916],0
p7,1,0.109562,2.560535,[82 49] ; [154 130],[74.49638554 56.50361446] ; [161.50361446 122.49638554],0
a6,1,0.109982,2.554483,[90 49] ; [209  80],[97.10514019 41.89485981] ; [201.89485981  87.10514019],0
r1,1,0.111755,2.52923,[110  28] ; [209  79],[103.33802817  34.66197183] ; [215.66197183  72.33802817],0
r4,1,0.137426,2.206549,[121  18] ; [235  54],[115.61682243  23.38317757] ; [240.38317757  48.61682243],0
p2,1,0.148575,2.086818,[115  21] ; [224  61],[109.51068884  26.48931116] ; [229.48931116  55.51068884],0
d1,1,0.15297,2.042381,[95 44] ; [177 112],[88.3364486 50.6635514] ; [183.6635514 105.3364486],0
d4,1,0.195652,1.674535,[125  14] ; [246  42],[120.7704918  18.2295082] ; [250.2295082  37.7704918],0
b5,1,0.196652,1.667063,[78 61] ; [181 108],[84.11448598 54.88551402] ; [174.88551402 114.11448598],0
a4,1,0.279807,1.168027,[70 69] ; [129 159],[64.77985948 74.22014052] ; [134.22014052 153.77985948],0
n6,1,0.288466,1.126769,[111  25] ; [222  66],[106.81132075  29.18867925] ; [226.18867925  61.81132075],0
d3,1,0.295137,1.096039,[107  32] ; [208  80],[102.54098361  36.45901639] ; [212.45901639  75.54098361],0
n3,1,0.327338,0.959402,[25  7] ; [53 24],[22.89908257  9.10091743] ; [55.10091743 21.89908257],0
n1,1,0.33252,0.939061,[ 8 23] ; [28 51],[10.14545455 20.85454545] ; [25.85454545 53.14545455],0
p11,1,0.347491,0.882598,[106  33] ; [208  81],[101.97663551  37.02336449] ; [212.02336449  76.97663551],0
