Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,7e-06,20.187488,[29 23] ; [ 2 29],[19.42168675 32.57831325] ; [11.57831325 19.42168675],1
d4,1,0.000512,12.072258,[42 10] ; [13 17],[34.87804878 17.12195122] ; [20.12195122  9.87804878],1
a5,1,0.000726,11.42263,[35 17] ; [ 9 22],[27.56626506 24.43373494] ; [16.43373494 14.56626506],1
p10,1,0.004135,8.223503,[23 29] ; [ 4 26],[17.12195122 34.87804878] ; [ 9.87804878 20.12195122],0
s6,1,0.01224,6.275775,[31 20] ; [10 21],[25.5 25.5] ; [15.5 15.5],0
v4,1,0.01757,5.638565,[50  2] ; [24  6],[46.92682927  5.07317073] ; [27.07317073  2.92682927],0
r4,1,0.018522,5.546052,[45  7] ; [20 11],[40.72289157 11.27710843] ; [24.27710843  6.72289157],0
r3,1,0.022848,5.179988,[49  3] ; [24  7],[45.73493976  6.26506024] ; [27.26506024  3.73493976],0
d2,1,0.027802,4.840313,[28 24] ; [ 9 22],[23.18072289 28.81927711] ; [13.81927711 17.18072289],0
s7,1,0.029273,4.751515,[20 30] ; [ 5 25],[15.625 34.375] ; [ 9.375 20.625],0
n4,1,0.030202,4.697779,[36 16] ; [14 17],[31.3253012 20.6746988] ; [18.6746988 12.3253012],0
s5,1,0.035199,4.435508,[13 38] ; [ 2 28],[ 9.44444444 41.55555556] ; [ 5.55555556 24.44444444],0
r2,1,0.052977,3.744642,[48  4] ; [24  7],[45.10843373  6.89156627] ; [26.89156627  4.10843373],0
s8,1,0.058961,3.566367,[16 35] ; [ 4 27],[12.43902439 38.56097561] ; [ 7.56097561 23.43902439],0
p11,1,0.071112,3.257159,[34 18] ; [14 17],[30.07228916 21.92771084] ; [17.92771084 13.07228916],0
a4,1,0.076571,3.136212,[16 36] ; [ 4 26],[12.68292683 39.31707317] ; [ 7.31707317 22.68292683],0
u3,1,0.094615,2.794045,[15  9] ; [ 7 12],[12.27906977 11.72093023] ; [9.72093023 9.27906977],0
