Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,5.5e-05,16.273756,[13 25] ; [27  6],[21.4084507 16.5915493] ; [18.5915493 14.4084507],1
d5,1,0.000388,12.587413,[12 27] ; [24  9],[19.5 19.5] ; [16.5 16.5],1
d4,1,0.000575,11.856134,[15 24] ; [26  7],[22.20833333 16.79166667] ; [18.79166667 14.20833333],1
d1,1,0.000909,11.004995,[ 5 34] ; [16 17],[11.375 27.625] ; [ 9.625 23.375],1
a4,1,0.001699,9.849008,[ 6 33] ; [16 16],[12.08450704 26.91549296] ; [ 9.91549296 22.08450704],0
d2,1,0.003743,8.404456,[11 28] ; [20 12],[17.02816901 21.97183099] ; [13.97183099 18.02816901],0
s7,1,0.014985,5.918238,[ 8 29] ; [15 15],[12.70149254 24.29850746] ; [10.29850746 19.70149254],0
s8,1,0.016287,5.77166,[ 4 35] ; [11 22],[ 8.125 30.875] ; [ 6.875 26.125],0
p9,1,0.016507,5.747995,[16 22] ; [22  9],[20.92753623 17.07246377] ; [17.07246377 13.92753623],0
b4,1,0.020659,5.355372,[26 13] ; [13 20],[21.125 17.875] ; [17.875 15.125],0
d3,1,0.023721,5.114935,[ 8 31] ; [15 18],[12.45833333 26.54166667] ; [10.54166667 22.45833333],0
s6,1,0.024049,5.0911,[ 9 30] ; [16 17],[13.54166667 25.45833333] ; [11.45833333 21.54166667],0
v3,1,0.032234,4.586035,[ 4 35] ; [10 23],[ 7.58333333 31.41666667] ; [ 6.41666667 26.58333333],0
s2,1,0.044752,4.027972,[ 9 30] ; [15 18],[13. 26.] ; [11. 22.],0
p3,1,0.052355,3.764397,[ 7 32] ; [12 19],[10.58571429 28.41428571] ; [ 8.41428571 22.58571429],0
p11,1,0.055793,3.658223,[16 23] ; [21 12],[20.04166667 18.95833333] ; [16.95833333 16.04166667],0
n6,1,0.077293,3.120926,[20 19] ; [23  9],[23.61971831 15.38028169] ; [19.38028169 12.61971831],0
p10,1,0.096992,2.754316,[15 23] ; [19 13],[18.45714286 19.54285714] ; [15.54285714 16.45714286],0
p4,1,0.117066,2.45614,[12 26] ; [16 16],[15.2 22.8] ; [12.8 19.2],0
a6,1,0.128933,2.305307,[11 28] ; [15 18],[14.08333333 24.91666667] ; [11.91666667 21.08333333],0
r3,1,0.161519,1.959943,[16 23] ; [19 14],[18.95833333 20.04166667] ; [16.04166667 16.95833333],0
p5,1,0.215555,1.533723,[ 1 38] ; [ 3 29],[ 2.1971831 36.8028169] ; [ 1.8028169 30.1971831],0
r2,1,0.248703,1.330576,[18 19] ; [20 12],[20.37681159 16.62318841] ; [17.62318841 14.37681159],0
n5,1,0.252559,1.309091,[26 13] ; [26  7],[28.16666667 10.83333333] ; [23.83333333  9.16666667],0
u2,1,0.310975,1.026529,[10 16] ; [1 5],[ 8.9375 17.0625] ; [2.0625 3.9375],0
n1,1,0.360533,0.836034,[ 7 15] ; [7 8],[ 8.32432432 13.67567568] ; [5.67567568 9.32432432],0
s3,1,0.38778,0.745892,[12 25] ; [14 19],[13.74285714 23.25714286] ; [12.25714286 20.74285714],0
b2,1,0.422536,0.643251,[ 8 18] ; [10 14],[ 9.36 16.64] ; [ 8.64 15.36],0
b3,1,0.422536,0.643251,[ 8 18] ; [10 14],[ 9.36 16.64] ; [ 8.64 15.36],0
v1,1,0.431363,0.619152,[12 26] ; [13 19],[13.57142857 24.42857143] ; [11.42857143 20.57142857],0
n2,1,0.45655,0.55434,[13  9] ; [7 8],[11.89189189 10.10810811] ; [8.10810811 6.89189189],0
p6,1,0.47301,0.514935,[ 6 32] ; [ 7 24],[ 7.15942029 30.84057971] ; [ 5.84057971 25.15942029],0
n3,1,0.494125,0.467532,[10 12] ; [8 6],[11. 11.] ; [7. 7.],0
b1,1,0.501727,0.451282,[23 16] ; [22 11],[24.375 14.625] ; [20.625 12.375],0
p1,1,0.520981,0.411952,[ 4 35] ; [ 2 31],[ 3.25 35.75] ; [ 2.75 30.25],0
a1,1,0.527359,0.399477,[ 3 36] ; [ 4 29],[ 3.79166667 35.20833333] ; [ 3.20833333 29.79166667],0
p8,1,0.54182,0.372177,[11 28] ; [ 7 25],[ 9.88732394 29.11267606] ; [ 8.11267606 23.88732394],0
u3,1,0.600991,0.273504,[ 6 20] ; [2 4],[ 6.5 19.5] ; [1.5 4.5],0
n4,1,0.615847,0.251748,[25 14] ; [23 10],[26. 13.] ; [22. 11.],0
s4,1,0.750992,0.100699,[ 7 32] ; [ 5 28],[ 6.5 32.5] ; [ 5.5 27.5],0
p2,1,0.764582,0.089682,[22 17] ; [18 12],[22.60869565 16.39130435] ; [17.39130435 12.60869565],0
v4,1,0.77656,0.080545,[22 16] ; [18 15],[21.4084507 16.5915493] ; [18.5915493 14.4084507],0
s1,1,0.786101,0.073646,[ 3 36] ; [ 2 31],[ 2.70833333 36.29166667] ; [ 2.29166667 30.70833333],0
b5,1,0.813025,0.055944,[20 19] ; [16 17],[19.5 19.5] ; [16.5 16.5],0
p7,1,0.8658,0.02856,[15 23] ; [12 20],[14.65714286 23.34285714] ; [12.34285714 19.65714286],0
p12,1,0.886979,0.0202,[ 1 38] ; [ 1 31],[ 1.09859155 37.90140845] ; [ 0.90140845 31.09859155],0
r1,1,0.89138,0.018648,[10 29] ; [ 8 25],[ 9.75 29.25] ; [ 8.25 24.75],0
a8,1,0.916954,0.010873,[ 1 36] ; [ 1 31],[ 1.07246377 35.92753623] ; [ 0.92753623 31.07246377],0
s5,1,0.978146,0.00075,[ 6 33] ; [ 5 28],[ 5.95833333 33.04166667] ; [ 5.04166667 27.95833333],0
v2,1,0.981832,0.000519,[11 25] ; [10 23],[10.95652174 25.04347826] ; [10.04347826 22.95652174],0
