Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4.8e-05,16.521029,[35 22] ; [117  17],[45.36125654 11.63874346] ; [106.63874346  27.36125654],1
b1,1,0.000837,11.157436,[34 24] ; [44 90],[23.5625 34.4375] ; [54.4375 79.5625],1
n6,1,0.003371,8.594786,[40 16] ; [118  15],[46.81481481  9.18518519] ; [111.18518519  21.81481481],0
s1,1,0.009029,6.817078,[ 8 48] ; [  5 128],[ 3.85185185 52.14814815] ; [  9.14814815 123.85185185],0
a5,1,0.022029,5.243503,[40 18] ; [112  22],[45.91666667 12.08333333] ; [106.08333333  27.91666667],0
s5,1,0.028193,4.816253,[27 25] ; [45 86],[20.45901639 31.54098361] ; [51.54098361 79.45901639],0
r3,1,0.036313,4.38236,[52  6] ; [129   4],[54.96335079  3.03664921] ; [126.03664921   6.96335079],0
p1,1,0.07021,3.278109,[ 6 52] ; [  5 129],[ 3.32291667 54.67708333] ; [  7.67708333 126.32291667],0
n4,1,0.074698,3.176652,[41 15] ; [113  21],[45.38947368 10.61052632] ; [108.61052632  25.38947368],0
n5,1,0.080375,3.057295,[37 19] ; [104  29],[41.77777778 14.22222222] ; [99.22222222 33.77777778],0
a7,1,0.111913,2.526999,[44 14] ; [86 48],[39.27083333 18.72916667] ; [90.72916667 43.27083333],0
d1,1,0.133524,2.251046,[31 27] ; [87 47],[35.64583333 22.35416667] ; [82.35416667 51.64583333],0
s4,1,0.133925,2.24641,[15 43] ; [ 22 111],[11.23560209 46.76439791] ; [ 25.76439791 107.23560209],0
d5,1,0.135051,2.233458,[46 11] ; [119  15],[49.2408377  7.7591623] ; [115.7591623  18.2408377],0
p3,1,0.154962,2.022716,[20 38] ; [61 73],[24.46875 33.53125] ; [56.53125 77.46875],0
s2,1,0.166221,1.916703,[45 13] ; [90 43],[40.9947644 17.0052356] ; [94.0052356 38.9947644],0
n3,1,0.192513,1.698281,[17  9] ; [25  6],[19.15789474  6.84210526] ; [22.84210526  8.15789474],0
d2,1,0.203651,1.615992,[31 26] ; [86 48],[34.91623037 22.08376963] ; [82.08376963 51.91623037],0
p4,1,0.229825,1.441942,[27 31] ; [75 59],[30.8125 27.1875] ; [71.1875 62.8125],0
v3,1,0.235019,1.410227,[19 36] ; [55 70],[22.61111111 32.38888889] ; [51.38888889 73.61111111],0
d4,1,0.238472,1.389603,[45 12] ; [115  19],[47.7486911  9.2513089] ; [112.2513089  21.7486911],0
p7,1,0.26669,1.233695,[25 32] ; [69 62],[28.5 28.5] ; [65.5 65.5],0
p9,1,0.311312,1.0251,[46 11] ; [115  18],[48.3  8.7] ; [112.7  20.3],0
a3,1,0.32001,0.988906,[44 14] ; [110  24],[46.52083333 11.47916667] ; [107.47916667  26.52083333],0
p6,1,0.336932,0.922071,[22 36] ; [41 92],[19.13089005 38.86910995] ; [43.86910995 89.13089005],0
r2,1,0.344743,0.892713,[53  4] ; [126   5],[54.2712766  2.7287234] ; [124.7287234   6.2712766],0
s6,1,0.401168,0.704822,[48  9] ; [105  28],[45.9 11.1] ; [107.1  25.9],0
a4,1,0.445862,0.58115,[29 29] ; [75 59],[31.41666667 26.58333333] ; [72.58333333 61.41666667],0
u4,1,0.462969,0.538708,[ 1 57] ; [  5 129],[ 1.8125 56.1875] ; [  4.1875 129.8125],0
v2,1,0.473819,0.513056,[30 26] ; [77 53],[32.21505376 23.78494624] ; [74.78494624 55.21505376],0
u3,1,0.482367,0.493506,[9 5] ; [18  6],[9.94736842 4.05263158] ; [17.05263158  6.94736842],0
a1,1,0.488537,0.479748,[ 4 54] ; [  6 128],[ 3.02083333 54.97916667] ; [  6.97916667 127.02083333],0
b3,1,0.490737,0.474909,[14 22] ; [50 60],[15.78082192 20.21917808] ; [48.21917808 61.78082192],0
b2,1,0.490737,0.474909,[14 22] ; [50 60],[15.78082192 20.21917808] ; [48.21917808 61.78082192],0
r4,1,0.498888,0.4573,[49  9] ; [118  16],[50.44791667  7.55208333] ; [116.55208333  17.44791667],0
u2,1,0.501436,0.451896,[7 6] ; [15  8],[7.94444444 5.05555556] ; [14.05555556  8.94444444],0
n1,1,0.513585,0.426756,[12 14] ; [17 14],[13.22807018 12.77192982] ; [15.77192982 15.22807018],0
v4,1,0.51978,0.414331,[53  5] ; [124   8],[54.03157895  3.96842105] ; [122.96842105   9.03157895],0
p2,1,0.555245,0.348005,[40 18] ; [98 36],[41.6875 16.3125] ; [96.3125 37.6875],0
v1,1,0.676379,0.174231,[28 30] ; [65 61],[29.31521739 28.68478261] ; [63.68478261 62.31521739],0
s8,1,0.704869,0.143456,[36 22] ; [87 47],[37.15625 20.84375] ; [85.84375 48.15625],0
d3,1,0.709306,0.138971,[38 19] ; [93 41],[39.09424084 17.90575916] ; [91.90575916 42.09424084],0
p5,1,0.782039,0.076542,[ 3 55] ; [  8 121],[ 3.41176471 54.58823529] ; [  7.58823529 121.41176471],0
r1,1,0.802145,0.062786,[46 11] ; [106  28],[45.36125654 11.63874346] ; [106.63874346  27.36125654],0
a2,1,0.824096,0.049408,[20 38] ; [44 90],[19.33333333 38.66666667] ; [44.66666667 89.33333333],0
a8,1,0.827391,0.047545,[ 9 43] ; [ 19 100],[ 8.51461988 43.48538012] ; [19.48538012 99.51461988],0
u1,1,0.830812,0.045651,[16 42] ; [39 95],[16.61458333 41.38541667] ; [38.38541667 95.61458333],0
s3,1,0.857034,0.032454,[41 17] ; [95 37],[41.51578947 16.48421053] ; [94.48421053 37.51578947],0
b5,1,0.88536,0.020787,[40 18] ; [91 43],[39.57291667 18.42708333] ; [91.42708333 42.57291667],0
a6,1,0.893092,0.018061,[39 18] ; [93 41],[39.39267016 17.60732984] ; [92.60732984 41.39267016],0
b4,1,0.905423,0.014117,[33 25] ; [75 59],[32.625 25.375] ; [75.375 58.625],0
n2,1,0.968604,0.001549,[18  8] ; [22 10],[17.93103448  8.06896552] ; [22.06896552  9.93103448],0
