Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,35.08745,[124   7] ; [25 18],[112.17816092  18.82183908] ; [36.82183908  6.17816092],1
a6,1,0.0,34.300238,[113  18] ; [18 25],[98.62643678 32.37356322] ; [32.37356322 10.62643678],1
a2,1,0.001531,10.040548,[45 86] ; [ 4 39],[36.8908046 94.1091954] ; [12.1091954 30.8908046],0
b5,1,0.002818,8.92177,[77 54] ; [14 29],[68.51149425 62.48850575] ; [22.48850575 20.51149425],0
v4,1,0.003699,8.425722,[123   8] ; [33  9],[118.12716763  12.87283237] ; [37.87283237  4.12716763],0
d2,1,0.00665,7.365269,[87 44] ; [37  5],[93.89595376 37.10404624] ; [30.10404624 11.89595376],0
u1,1,0.03229,4.583038,[ 28 103] ; [ 3 40],[ 23.33908046 107.66091954] ; [ 7.66091954 35.33908046],0
r4,1,0.041556,4.153197,[110  21] ; [30 13],[105.40229885  25.59770115] ; [34.59770115  8.40229885],0
b3,1,0.067655,3.339012,[30 47] ; [16 11],[34.05769231 42.94230769] ; [11.94230769 15.05769231],0
b2,1,0.067655,3.339012,[30 47] ; [16 11],[34.05769231 42.94230769] ; [11.94230769 15.05769231],0
s5,1,0.080867,3.04738,[ 16 111] ; [10 32],[ 19.53846154 107.46153846] ; [ 6.46153846 35.53846154],0
n1,1,0.101594,2.680342,[ 8 28] ; [6 7],[10.28571429 25.71428571] ; [3.71428571 9.28571429],0
p10,1,0.138068,2.199362,[98 31] ; [27 15],[94.29824561 34.70175439] ; [30.70175439 11.29824561],0
p9,1,0.142324,2.152651,[99 28] ; [28 14],[95.43786982 31.56213018] ; [31.56213018 10.43786982],0
u3,1,0.162785,1.94816,[19 14] ; [2 5],[17.325 15.675] ; [3.675 3.325],0
r1,1,0.163933,1.937568,[104  26] ; [30 13],[100.69364162  29.30635838] ; [33.30635838  9.69364162],0
p5,1,0.16684,1.911111,[  7 122] ; [ 5 38],[  9. 120.] ; [ 3. 40.],0
p6,1,0.173839,1.849519,[37 91] ; [ 7 32],[33.7245509 94.2754491] ; [10.2754491 28.7245509],0
s3,1,0.194423,1.683783,[30 99] ; [14 28],[33.19298246 95.80701754] ; [10.80701754 31.19298246],0
a4,1,0.223596,1.48114,[67 64] ; [26 16],[70.42196532 60.57803468] ; [22.57803468 19.42196532],0
a3,1,0.256789,1.285987,[98 32] ; [36  7],[100.69364162  29.30635838] ; [33.30635838  9.69364162],0
r3,1,0.286959,1.133834,[120  11] ; [37  6],[118.20114943  12.79885057] ; [38.79885057  4.20114943],0
p4,1,0.306395,1.046154,[64 66] ; [16 24],[61.17647059 68.82352941] ; [18.82352941 21.17647059],0
a8,1,0.307788,1.040144,[ 12 104] ; [ 2 38],[ 10.41025641 105.58974359] ; [ 3.58974359 36.41025641],0
a5,1,0.309136,1.034365,[100  31] ; [36  7],[102.3908046  28.6091954] ; [33.6091954  9.3908046],0
b1,1,0.37399,0.790363,[45 86] ; [18 25],[47.43103448 83.56896552] ; [15.56896552 27.43103448],0
n4,1,0.377236,0.77969,[98 33] ; [35  8],[100.13218391  30.86781609] ; [32.86781609 10.13218391],0
u4,1,0.404344,0.695371,[  1 130] ; [ 1 42],[  1.50574713 129.49425287] ; [ 0.49425287 42.50574713],0
n2,1,0.405756,0.691201,[22 15] ; [6 7],[20.72 16.28] ; [7.28 5.72],0
p7,1,0.407558,0.685913,[71 59] ; [26 16],[73.31395349 56.68604651] ; [23.68604651 18.31395349],0
d5,1,0.42132,0.64663,[128   3] ; [41  2],[127.23563218   3.76436782] ; [41.76436782  1.23563218],0
p3,1,0.458517,0.549513,[54 74] ; [15 27],[51.95294118 76.04705882] ; [17.04705882 24.95294118],0
b4,1,0.485196,0.487163,[78 53] ; [23 20],[76.04022989 54.95977011] ; [24.95977011 18.04022989],0
n5,1,0.52798,0.398277,[87 43] ; [31 12],[88.67052023 41.32947977] ; [29.32947977 13.67052023],0
s4,1,0.538087,0.379097,[  6 125] ; [ 3 40],[  6.77586207 124.22413793] ; [ 2.22413793 40.77586207],0
n3,1,0.598542,0.2772,[23 14] ; [7 6],[22.2 14.8] ; [7.8 5.2],0
p1,1,0.60388,0.269184,[  9 122] ; [ 2 41],[  8.2816092 122.7183908] ; [ 2.7183908 40.2816092],0
p2,1,0.62244,0.242452,[97 33] ; [29 12],[95.78947368 34.21052632] ; [30.21052632 10.78947368],0
v3,1,0.635877,0.224175,[49 74] ; [15 27],[47.70909091 75.29090909] ; [16.29090909 25.70909091],0
v2,1,0.656087,0.198312,[73 55] ; [25 16],[74.22485207 53.77514793] ; [23.77514793 17.22485207],0
v1,1,0.658713,0.195091,[58 71] ; [21 22],[59.25 69.75] ; [19.75 23.25],0
s2,1,0.695373,0.15333,[ 25 104] ; [ 7 35],[ 24.14035088 104.85964912] ; [ 7.85964912 34.14035088],0
p11,1,0.72392,0.124767,[97 34] ; [33 10],[97.87356322 33.12643678] ; [32.12643678 10.87356322],0
s1,1,0.741584,0.108739,[  2 126] ; [ 1 42],[  2.24561404 125.75438596] ; [ 0.75438596 42.24561404],0
r2,1,0.77055,0.085063,[120   8] ; [38  2],[120.38095238   7.61904762] ; [37.61904762  2.38095238],0
s7,1,0.792799,0.069,[29 94] ; [10 29],[29.61111111 93.38888889] ; [ 9.38888889 29.61111111],0
n6,1,0.807924,0.0591,[105  25] ; [34  9],[104.45086705  25.54913295] ; [34.54913295  8.45086705],0
p8,1,0.824263,0.049313,[66 64] ; [20 21],[65.38011696 64.61988304] ; [20.61988304 20.38011696],0
s8,1,0.876199,0.02427,[32 99] ; [10 33],[31.62068966 99.37931034] ; [10.37931034 32.62068966],0
u2,1,0.945546,0.004665,[17 16] ; [3 3],[16.92307692 16.07692308] ; [3.07692308 2.92307692],0
