Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000403,12.518393,[3 2] ; [ 2 35],[0.5952381 4.4047619] ; [ 4.4047619 32.5952381],1
r1,1,0.027674,4.848288,[4 1] ; [11 26],[1.78571429 3.21428571] ; [13.21428571 23.78571429],0
p9,1,0.057753,3.600767,[4 1] ; [12 22],[2.05128205 2.94871795] ; [13.94871795 20.05128205],0
p10,1,0.082608,3.012829,[4 1] ; [14 22],[2.19512195 2.80487805] ; [15.80487805 20.19512195],0
p12,1,0.088253,2.905946,[1 4] ; [ 1 36],[0.23809524 4.76190476] ; [ 1.76190476 35.23809524],0
s6,1,0.097435,2.747027,[3 2] ; [ 9 28],[1.42857143 3.57142857] ; [10.57142857 26.42857143],0
p4,1,0.107009,2.597845,[3 2] ; [ 9 27],[1.46341463 3.53658537] ; [10.53658537 25.46341463],0
s7,1,0.111126,2.538131,[2 3] ; [ 4 29],[0.78947368 4.21052632] ; [ 5.21052632 27.78947368],0
p2,1,0.136112,2.221376,[4 1] ; [16 20],[2.43902439 2.56097561] ; [17.56097561 18.43902439],0
v3,1,0.153676,2.035379,[2 2] ; [ 7 30],[0.87804878 3.12195122] ; [ 8.12195122 28.87804878],0
n2,1,0.199674,1.644755,[3 1] ; [ 8 12],[1.83333333 2.16666667] ; [ 9.16666667 10.83333333],0
a3,1,0.22704,1.459311,[4 1] ; [19 18],[2.73809524 2.26190476] ; [20.26190476 16.73809524],0
p11,1,0.227246,1.458018,[3 2] ; [12 25],[1.78571429 3.21428571] ; [13.21428571 23.78571429],0
s2,1,0.280916,1.162654,[2 3] ; [ 7 30],[1.07142857 3.92857143] ; [ 7.92857143 29.07142857],0
p8,1,0.280916,1.162654,[2 3] ; [ 7 30],[1.07142857 3.92857143] ; [ 7.92857143 29.07142857],0
b3,1,0.304103,1.056114,[2 1] ; [ 9 16],[1.17857143 1.82142857] ; [ 9.82142857 15.17857143],0
b2,1,0.304103,1.056114,[2 1] ; [ 9 16],[1.17857143 1.82142857] ; [ 9.82142857 15.17857143],0
p3,1,0.385717,0.752401,[2 3] ; [ 8 28],[1.2195122 3.7804878] ; [ 8.7804878 27.2195122],0
r2,1,0.387534,0.746667,[4 1] ; [21 14],[3.125 1.875] ; [21.875 13.125],0
s3,1,0.407626,0.685714,[2 3] ; [ 8 27],[1.25 3.75] ; [ 8.75 26.25],0
b1,1,0.409215,0.681081,[2 3] ; [22 15],[2.85714286 2.14285714] ; [21.14285714 15.85714286],0
a5,1,0.409215,0.681081,[3 2] ; [15 22],[2.14285714 2.85714286] ; [15.85714286 21.14285714],0
n1,1,0.438578,0.6,[2 2] ; [ 6 14],[1.33333333 2.66666667] ; [ 6.66666667 13.33333333],0
n4,1,0.500416,0.454054,[4 1] ; [24 13],[3.33333333 1.66666667] ; [24.66666667 12.33333333],0
d3,1,0.500416,0.454054,[1 4] ; [13 24],[1.66666667 3.33333333] ; [12.33333333 24.66666667],0
p7,1,0.523496,0.407,[1 4] ; [12 23],[1.625 3.375] ; [11.375 23.625],0
p6,1,0.569243,0.323951,[1 4] ; [ 4 32],[0.6097561 4.3902439] ; [ 4.3902439 31.6097561],0
d4,1,0.716276,0.132088,[2 3] ; [18 19],[2.38095238 2.61904762] ; [17.61904762 19.38095238],0
b4,1,0.716276,0.132088,[3 2] ; [19 18],[2.61904762 2.38095238] ; [19.38095238 17.61904762],0
v1,1,0.737299,0.112515,[1 4] ; [10 27],[1.30952381 3.69047619] ; [ 9.69047619 27.30952381],0
d5,1,0.80203,0.062861,[2 3] ; [17 20],[2.26190476 2.73809524] ; [16.73809524 20.26190476],0
a4,1,0.807262,0.059516,[1 4] ; [ 9 27],[1.2195122 3.7804878] ; [ 8.7804878 27.2195122],0
s5,1,0.83126,0.045405,[1 4] ; [ 6 31],[0.83333333 4.16666667] ; [ 6.16666667 30.83333333],0
a6,1,0.83126,0.045405,[2 3] ; [13 24],[1.78571429 3.21428571] ; [13.21428571 23.78571429],0
d2,1,0.961935,0.002278,[2 3] ; [14 22],[1.95121951 3.04878049] ; [14.04878049 21.95121951],0
b5,1,0.981561,0.000534,[2 3] ; [15 22],[2.02380952 2.97619048] ; [14.97619048 22.02380952],0
