Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.05778,3.6,[39 33] ; [10  2],[42. 30.] ; [7. 5.],0
a6,1,0.116588,2.462568,[43 29] ; [10  2],[45.42857143 26.57142857] ; [7.57142857 4.42857143],0
d1,1,0.124071,2.365169,[44 29] ; [10  2],[46.37647059 26.62352941] ; [7.62352941 4.37647059],0
p6,1,0.13691,2.212346,[44 28] ; [10  2],[46.28571429 25.71428571] ; [7.71428571 4.28571429],0
s5,1,0.139248,2.186255,[45 25] ; [8 1],[46.96202532 23.03797468] ; [6.03797468 2.96202532],0
s8,1,0.194545,1.68286,[45 25] ; [10  2],[46.95121951 23.04878049] ; [8.04878049 3.95121951],0
p12,1,0.219038,1.510664,[18 55] ; [5 7],[19.75294118 53.24705882] ; [3.24705882 8.75294118],0
s2,1,0.238107,1.391765,[41 31] ; [9 3],[42.85714286 29.14285714] ; [7.14285714 4.85714286],0
s1,1,0.251604,1.314374,[ 5 68] ; [ 2 10],[ 6.01176471 66.98823529] ; [ 0.98823529 11.01176471],0
a1,1,0.353019,0.862576,[ 6 67] ; [ 2 10],[ 6.87058824 66.12941176] ; [ 1.12941176 10.87058824],0
a3,1,0.361115,0.834013,[59 14] ; [11  1],[60.11764706 12.88235294] ; [9.88235294 2.11764706],0
a8,1,0.367036,0.813675,[14 54] ; [ 1 10],[12.91139241 55.08860759] ; [2.08860759 8.91139241],0
b2,1,0.37776,0.777977,[28 29] ; [3 6],[26.77272727 30.22727273] ; [4.22727273 4.77272727],0
b3,1,0.37776,0.777977,[28 29] ; [3 6],[26.77272727 30.22727273] ; [4.22727273 4.77272727],0
v3,1,0.398899,0.711643,[44 26] ; [6 6],[42.68292683 27.31707317] ; [7.31707317 4.68292683],0
b1,1,0.442058,0.590933,[33 40] ; [4 8],[31.77647059 41.22352941] ; [5.22352941 6.77647059],0
v1,1,0.488965,0.478802,[46 25] ; [9 3],[47.04819277 23.95180723] ; [7.95180723 4.04819277],0
s3,1,0.547167,0.362418,[47 24] ; [9 3],[47.90361446 23.09638554] ; [8.09638554 3.90361446],0
d5,1,0.570593,0.321691,[59 13] ; [9 3],[58.28571429 13.71428571] ; [9.71428571 2.28571429],0
a5,1,0.640322,0.218322,[59 14] ; [9 3],[58.4 14.6] ; [9.6 2.4],0
p3,1,0.664124,0.188552,[56 16] ; [10  2],[56.57142857 15.42857143] ; [9.42857143 2.57142857],0
a7,1,0.672047,0.179218,[53 20] ; [8 4],[52.38823529 20.61176471] ; [8.61176471 3.38823529],0
a2,1,0.679891,0.170248,[16 57] ; [ 2 10],[15.45882353 57.54117647] ; [2.54117647 9.45882353],0
a4,1,0.686348,0.163068,[35 38] ; [5 7],[34.35294118 38.64705882] ; [5.64705882 6.35294118],0
p2,1,0.690555,0.158486,[64  9] ; [11  1],[64.41176471  8.58823529] ; [10.58823529  1.41176471],0
u4,1,0.696999,0.151612,[ 4 69] ; [ 1 11],[ 4.29411765 68.70588235] ; [ 0.70588235 11.29411765],0
n6,1,0.706526,0.141772,[68  4] ; [11  1],[67.71428571  4.28571429] ; [11.28571429  0.71428571],0
u1,1,0.726472,0.122376,[15 58] ; [3 9],[15.45882353 57.54117647] ; [2.54117647 9.45882353],0
p8,1,0.739436,0.110623,[57 15] ; [10  2],[57.42857143 14.57142857] ; [9.57142857 2.42857143],0
b5,1,0.75741,0.095409,[33 40] ; [6 6],[33.49411765 39.50588235] ; [5.50588235 6.49411765],0
p11,1,0.886651,0.020319,[62 11] ; [10  2],[61.83529412 11.16470588] ; [10.16470588  1.83529412],0
n5,1,0.890195,0.01906,[66  7] ; [11  1],[66.12941176  6.87058824] ; [10.87058824  1.12941176],0
n4,1,0.890195,0.01906,[66  7] ; [11  1],[66.12941176  6.87058824] ; [10.87058824  1.12941176],0
d4,1,0.907412,0.013527,[59 13] ; [10  2],[59.14285714 12.85714286] ; [9.85714286 2.14285714],0
s7,1,0.912118,0.012181,[52 16] ; [9 3],[51.85 16.15] ; [9.15 2.85],0
d3,1,0.924015,0.009097,[49 23] ; [8 4],[48.85714286 23.14285714] ; [8.14285714 3.85714286],0
b4,1,0.970301,0.001386,[43 30] ; [7 5],[42.94117647 30.05882353] ; [7.05882353 4.94117647],0
p1,1,0.975119,0.000973,[24 49] ; [4 8],[24.04705882 48.95294118] ; [3.95294118 8.04705882],0
v2,1,0.987659,0.000239,[41 29] ; [7 5],[40.97560976 29.02439024] ; [7.02439024 4.97560976],0
