Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.0,29.805199,[104  67] ; [ 93 178],[76.21493213 94.78506787] ; [120.78506787 150.21493213],1
u1,1,0.000428,12.406709,[ 40 136] ; [ 29 247],[ 26.86725664 149.13274336] ; [ 42.13274336 233.86725664],1
a5,1,0.00275,8.966641,[138  38] ; [180  96],[123.82300885  52.17699115] ; [194.17699115  81.82300885],0
a6,1,0.003164,8.710584,[132  44] ; [170 106],[117.59292035  58.40707965] ; [184.40707965  91.59292035],0
r1,1,0.003775,8.389209,[145  30] ; [194  80],[132.12694878  42.87305122] ; [206.87305122  67.12694878],0
d5,1,0.008492,6.92656,[149  27] ; [204  71],[137.75609756  38.24390244] ; [215.24390244  59.75609756],0
a3,1,0.010876,6.485471,[131  45] ; [173 102],[118.63414634  57.36585366] ; [185.36585366  89.63414634],0
d1,1,0.012868,6.187099,[104  72] ; [130 146],[91.11504425 84.88495575] ; [142.88495575 133.11504425],0
d4,1,0.014355,5.993927,[149  27] ; [207  69],[138.61946903  37.38053097] ; [217.38053097  58.61946903],0
s4,1,0.026578,4.918004,[ 25 150] ; [ 62 210],[ 34.06040268 140.93959732] ; [ 52.93959732 219.06040268],0
a2,1,0.027904,4.833969,[ 45 131] ; [ 47 229],[ 35.82300885 140.17699115] ; [ 56.17699115 219.82300885],0
n3,1,0.031892,4.604267,[32  6] ; [48 26],[27.14285714 10.85714286] ; [52.85714286 21.14285714],0
d2,1,0.034029,4.493235,[88 88] ; [110 166],[77.09734513 98.90265487] ; [120.90265487 155.09734513],0
r3,1,0.038116,4.299855,[168   6] ; [251  23],[162.73660714  11.26339286] ; [256.26339286  17.73660714],0
n2,1,0.042057,4.132901,[31  6] ; [49 26],[26.42857143 10.57142857] ; [53.57142857 21.42857143],0
d3,1,0.056919,3.624945,[127  49] ; [174 100],[117.72444444  58.27555556] ; [183.27555556  90.72444444],0
a7,1,0.058273,3.585865,[136  40] ; [190  85],[127.2195122  48.7804878] ; [198.7804878  76.2195122],0
p3,1,0.111331,2.535223,[89 87] ; [118 157],[80.7804878 95.2195122] ; [126.2195122 148.7804878],0
p1,1,0.115689,2.47474,[  8 168] ; [ 23 251],[ 12.12444444 163.87555556] ; [ 18.87555556 255.12444444],0
p9,1,0.154107,2.031121,[153  22] ; [225  48],[147.65625  27.34375] ; [230.34375  42.65625],0
s3,1,0.178417,1.810762,[86 89] ; [153 122],[92.94444444 82.05555556] ; [146.05555556 128.94444444],0
s1,1,0.234268,1.414757,[  3 171] ; [ 10 263],[  5.06040268 168.93959732] ; [  7.93959732 265.06040268],0
r2,1,0.251472,1.315106,[160  11] ; [247  26],[156.75  14.25] ; [250.25  22.75],0
s6,1,0.252676,1.308445,[122  54] ; [173  97],[116.41255605  59.58744395] ; [178.58744395  91.41255605],0
s7,1,0.255831,1.29118,[81 87] ; [113 152],[75.27020785 92.72979215] ; [118.72979215 146.27020785],0
p11,1,0.262396,1.256071,[143  33] ; [212  64],[138.2300885  37.7699115] ; [216.7699115  59.2300885],0
r4,1,0.312264,1.021076,[154  22] ; [232  44],[150.30088496  25.69911504] ; [235.69911504  40.30088496],0
n4,1,0.319492,0.991025,[131  44] ; [194  81],[126.38888889  48.61111111] ; [198.61111111  76.38888889],0
p6,1,0.384062,0.757661,[ 70 103] ; [100 175],[ 65.64732143 107.35267857] ; [104.35267857 170.64732143],0
p10,1,0.392709,0.730539,[141  33] ; [212  61],[137.40939597  36.59060403] ; [215.59060403  57.40939597],0
p4,1,0.404028,0.696304,[109  66] ; [161 115],[104.76718404  70.23281596] ; [165.23281596 110.76718404],0
p7,1,0.453404,0.562128,[115  59] ; [169 101],[111.2972973  62.7027027] ; [172.7027027  97.2972973],0
p8,1,0.488369,0.480117,[87 86] ; [147 127],[90.56375839 82.43624161] ; [143.43624161 130.56375839],0
a4,1,0.507426,0.439372,[ 74 102] ; [107 168],[ 70.63414634 105.36585366] ; [110.36585366 164.63414634],0
a1,1,0.539937,0.375657,[  4 172] ; [  9 267],[  5.0619469 170.9380531] ; [  7.9380531 268.0619469],0
b1,1,0.607263,0.26418,[ 64 112] ; [107 169],[ 66.5840708 109.4159292] ; [104.4159292 171.5840708],0
b5,1,0.680678,0.169363,[108  68] ; [164 112],[105.91150442  70.08849558] ; [166.08849558 109.91150442],0
b4,1,0.683441,0.166278,[101  75] ; [153 123],[98.90265487 77.09734513] ; [155.09734513 120.90265487],0
n5,1,0.698242,0.150307,[119  53] ; [195  80],[120.82326622  51.17673378] ; [193.17673378  81.82326622],0
s2,1,0.706337,0.141964,[84 91] ; [127 148],[82.05555556 92.94444444] ; [128.94444444 146.05555556],0
s8,1,0.773869,0.082551,[ 67 109] ; [101 174],[ 65.56097561 110.43902439] ; [102.43902439 172.56097561],0
p12,1,0.780041,0.07799,[  8 168] ; [ 14 259],[  8.62360802 167.37639198] ; [ 13.37639198 259.62360802],0
a8,1,0.78895,0.071649,[ 23 135] ; [ 35 222],[ 22.08192771 135.91807229] ; [ 35.91807229 221.08192771],0
u3,1,0.793127,0.068776,[26 19] ; [56 45],[25.2739726 19.7260274] ; [56.7260274 44.2739726],0
v4,1,0.81505,0.054717,[162  11] ; [259  16],[162.57366071  10.42633929] ; [258.42633929  16.57366071],0
n1,1,0.850932,0.035318,[13 25] ; [27 48],[13.45132743 24.54867257] ; [26.54867257 48.45132743],0
b2,1,0.862487,0.030001,[37 70] ; [ 52 103],[36.34732824 70.65267176] ; [ 52.65267176 102.34732824],0
b3,1,0.862487,0.030001,[37 70] ; [ 52 103],[36.34732824 70.65267176] ; [ 52.65267176 102.34732824],0
n6,1,0.921784,0.009641,[143  31] ; [225  50],[142.61024499  31.38975501] ; [225.38975501  49.61024499],0
u2,1,0.940824,0.005511,[23 21] ; [54 48],[23.20547945 20.79452055] ; [53.79452055 48.20547945],0
s5,1,0.97481,0.000997,[ 55 113] ; [ 88 182],[ 54.84931507 113.15068493] ; [ 88.15068493 181.84931507],0
p5,1,0.990514,0.000141,[ 16 160] ; [ 25 251],[ 15.96460177 160.03539823] ; [ 25.03539823 250.96460177],0
