Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000486,12.169838,[13 13] ; [11 60],[ 6.43298969 19.56701031] ; [17.56701031 53.43298969],1
r3,1,0.004261,8.169256,[23  4] ; [40 34],[16.84158416 10.15841584] ; [46.15841584 27.84158416],0
v4,1,0.005868,7.590398,[25  2] ; [48 26],[19.51485149  7.48514851] ; [53.48514851 20.51485149],0
d5,1,0.007271,7.204817,[23  4] ; [41 32],[17.28  9.72] ; [46.72 26.28],0
r4,1,0.007939,7.047239,[19  8] ; [30 44],[13.0990099 13.9009901] ; [35.9009901 38.0990099],0
d4,1,0.015465,5.86271,[23  4] ; [44 30],[17.91089109  9.08910891] ; [49.08910891 24.91089109],0
d1,1,0.040516,4.196162,[16 11] ; [27 47],[11.4950495 15.5049505] ; [31.5049505 42.4950495],0
v1,1,0.040974,4.177096,[11 16] ; [15 58],[ 7.02 19.98] ; [18.98 54.02],0
n6,1,0.042641,4.109589,[18  9] ; [32 41],[13.5 13.5] ; [36.5 36.5],0
b1,1,0.049588,3.855342,[ 9 18] ; [41 33],[13.36633663 13.63366337] ; [36.63366337 37.36633663],0
b3,1,0.066371,3.370577,[6 3] ; [16 31],[3.53571429 5.46428571] ; [18.46428571 28.53571429],0
b2,1,0.066371,3.370577,[6 3] ; [16 31],[3.53571429 5.46428571] ; [18.46428571 28.53571429],0
r1,1,0.089377,2.885558,[17 10] ; [32 41],[13.23 13.77] ; [35.77 37.23],0
a3,1,0.109708,2.558427,[21  6] ; [43 28],[17.63265306  9.36734694] ; [46.36734694 24.63265306],0
r2,1,0.112796,2.514599,[23  3] ; [52 19],[20.10309278  5.89690722] ; [54.89690722 16.10309278],0
s3,1,0.112955,2.512381,[ 4 22] ; [23 50],[ 7.09090909 18.90909091] ; [19.90909091 53.09090909],0
a5,1,0.170526,1.878314,[18  9] ; [38 36],[14.97029703 12.02970297] ; [41.02970297 32.97029703],0
p6,1,0.172879,1.857801,[ 7 17] ; [12 61],[ 4.70103093 19.29896907] ; [14.29896907 58.70103093],0
d3,1,0.173058,1.85625,[18  9] ; [37 35],[15. 12.] ; [40. 32.],0
n1,1,0.188204,1.73162,[1 6] ; [13 19],[2.51282051 4.48717949] ; [11.48717949 20.51282051],0
p4,1,0.189468,1.72175,[ 8 16] ; [15 59],[ 5.63265306 18.36734694] ; [17.36734694 56.63265306],0
a7,1,0.197959,1.657365,[19  8] ; [41 32],[16.2 10.8] ; [43.8 29.2],0
u1,1,0.208399,1.582513,[ 4 23] ; [ 5 69],[ 2.40594059 24.59405941] ; [ 6.59405941 67.40594059],0
b5,1,0.215699,1.532759,[19  8] ; [42 32],[16.30693069 10.69306931] ; [44.69306931 29.30693069],0
u3,1,0.23531,1.408471,[3 3] ; [ 8 23],[1.78378378 4.21621622] ; [ 9.21621622 21.78378378],0
a6,1,0.262623,1.254879,[19  8] ; [43 31],[16.57425743 10.42574257] ; [45.42574257 28.57425743],0
p10,1,0.281186,1.161348,[12 14] ; [25 48],[ 9.71717172 16.28282828] ; [27.28282828 45.71717172],0
p8,1,0.311652,1.02366,[ 8 17] ; [16 57],[ 6.12244898 18.87755102] ; [17.87755102 55.12244898],0
u2,1,0.315251,1.008548,[3 3] ; [ 9 22],[1.94594595 4.05405405] ; [10.05405405 20.94594595],0
s8,1,0.317927,0.997457,[ 4 23] ; [ 6 68],[ 2.67326733 24.32673267] ; [ 7.32673267 66.67326733],0
b4,1,0.345028,0.891658,[16 11] ; [36 38],[13.9009901 13.0990099] ; [38.0990099 35.9009901],0
a2,1,0.350886,0.87025,[ 7 20] ; [13 61],[ 5.34653465 21.65346535] ; [14.65346535 59.34653465],0
n5,1,0.372777,0.794386,[13 14] ; [43 31],[14.97029703 12.02970297] ; [41.02970297 32.97029703],0
p2,1,0.416175,0.661091,[14 12] ; [33 41],[12.22 13.78] ; [34.78 39.22],0
a4,1,0.419404,0.651983,[12 15] ; [26 47],[10.26 16.74] ; [27.74 45.26],0
s5,1,0.51102,0.431977,[ 3 24] ; [ 5 66],[ 2.20408163 24.79591837] ; [ 5.79591837 65.20408163],0
p3,1,0.566975,0.32777,[ 5 20] ; [19 55],[ 6.06060606 18.93939394] ; [17.93939394 56.06060606],0
d2,1,0.602593,0.271103,[11 16] ; [34 39],[12.15 14.85] ; [32.85 40.15],0
p7,1,0.649373,0.206691,[ 9 16] ; [23 51],[ 8.08080808 16.91919192] ; [23.91919192 50.08080808],0
n2,1,0.677318,0.17316,[3 4] ; [17 16],[3.5 3.5] ; [16.5 16.5],0
p1,1,0.727152,0.121743,[ 1 26] ; [ 4 70],[ 1.33663366 25.66336634] ; [ 3.66336634 70.33663366],0
n3,1,0.733508,0.115915,[3 4] ; [15 15],[3.40540541 3.59459459] ; [14.59459459 15.40540541],0
s1,1,0.748699,0.102627,[ 2 25] ; [ 7 67],[ 2.40594059 24.59405941] ; [ 6.59405941 67.40594059],0
s4,1,0.749671,0.101808,[ 3 24] ; [10 64],[ 3.47524752 23.52475248] ; [ 9.52475248 64.47524752],0
p9,1,0.77231,0.083726,[12 14] ; [30 40],[11.375 14.625] ; [30.625 39.375],0
n4,1,0.818397,0.052719,[15 12] ; [43 31],[15.5049505 11.4950495] ; [42.4950495 31.5049505],0
s7,1,0.935427,0.006564,[ 4 20] ; [12 57],[ 4.12903226 19.87096774] ; [11.87096774 57.12903226],0
s2,1,0.995005,3.9e-05,[ 4 23] ; [11 63],[ 4.00990099 22.99009901] ; [10.99009901 63.00990099],0
