Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,28.272299,[50  8] ; [ 9 21],[38.88636364 19.11363636] ; [20.11363636  9.88636364],1
d3,1,1.3e-05,19.01219,[48 10] ; [11 19],[38.88636364 19.11363636] ; [20.11363636  9.88636364],1
d5,1,0.010648,6.523167,[49  9] ; [18 12],[44.15909091 13.84090909] ; [22.84090909  7.15909091],0
a2,1,0.033344,4.528053,[15 44] ; [ 2 28],[11.26966292 47.73033708] ; [ 5.73033708 24.26966292],0
n3,1,0.039624,4.233924,[17  4] ; [5 6],[14.4375  6.5625] ; [7.5625 3.4375],0
p2,1,0.049116,3.871373,[50  9] ; [20 10],[46.40449438 12.59550562] ; [23.59550562  6.40449438],0
u3,1,0.049589,3.855288,[17  3] ; [7 6],[14.54545455  5.45454545] ; [9.45454545 3.54545455],0
r1,1,0.069102,3.304215,[47 11] ; [19 11],[43.5 14.5] ; [22.5  7.5],0
s5,1,0.070671,3.26736,[14 41] ; [13 16],[17.67857143 37.32142857] ; [ 9.32142857 19.67857143],0
b5,1,0.071923,3.238568,[41 18] ; [15 15],[37.12359551 21.87640449] ; [18.87640449 11.12359551],0
p1,1,0.076976,3.127611,[ 2 57] ; [ 4 26],[ 3.97752809 55.02247191] ; [ 2.02247191 27.97752809],0
d4,1,0.110366,2.548966,[49  9] ; [21  9],[46.13636364 11.86363636] ; [23.86363636  6.13636364],0
p6,1,0.112677,2.516265,[13 44] ; [11 17],[16.09411765 40.90588235] ; [ 7.90588235 20.09411765],0
d1,1,0.112887,2.513329,[36 23] ; [13 17],[32.48314607 26.51685393] ; [16.51685393 13.48314607],0
b4,1,0.116379,2.465381,[29 30] ; [20 10],[32.48314607 26.51685393] ; [16.51685393 13.48314607],0
n1,1,0.149443,2.077922,[ 6 15] ; [6 5],[ 7.875 13.125] ; [4.125 6.875],0
