Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6e-06,20.371752,[54 76] ; [55 19],[69.46078431 60.53921569] ; [39.53921569 34.46078431],1
s7,1,0.00372,8.415577,[39 91] ; [36 35],[48.50746269 81.49253731] ; [26.49253731 44.50746269],0
d3,1,0.015546,5.853557,[83 50] ; [59 16],[90.79807692 42.20192308] ; [51.20192308 23.79807692],0
b4,1,0.042148,4.129243,[75 58] ; [53 22],[81.84615385 51.15384615] ; [46.15384615 28.84615385],0
p3,1,0.045488,4.000439,[58 75] ; [43 31],[64.89371981 68.10628019] ; [36.10628019 37.89371981],0
a1,1,0.050303,3.831336,[  4 129] ; [ 7 68],[  7.03365385 125.96634615] ; [ 3.96634615 71.03365385],0
d1,1,0.07233,3.229334,[59 74] ; [43 32],[65.22115385 67.77884615] ; [36.77884615 38.22115385],0
v1,1,0.07483,3.173769,[64 66] ; [46 28],[70.09803922 59.90196078] ; [39.90196078 34.09803922],0
a3,1,0.119597,2.422584,[79 53] ; [53 22],[84.17391304 47.82608696] ; [47.82608696 27.17391304],0
p12,1,0.140078,2.177107,[  7 126] ; [ 8 66],[  9.63768116 123.36231884] ; [ 5.36231884 68.63768116],0
b5,1,0.146187,2.111592,[75 58] ; [50 25],[79.92788462 53.07211538] ; [45.07211538 29.92788462],0
p5,1,0.149402,2.078343,[ 14 119] ; [13 61],[ 17.34782609 115.65217391] ; [ 9.65217391 64.34782609],0
p6,1,0.156275,2.009904,[37 94] ; [28 46],[41.53658537 89.46341463] ; [23.46341463 50.53658537],0
n6,1,0.162301,1.952658,[107  26] ; [66  9],[110.62019231  22.37980769] ; [62.37980769 12.62019231],0
p2,1,0.177167,1.82123,[114  19] ; [58 16],[110.51207729  22.48792271] ; [61.48792271 12.51207729],0
a2,1,0.19,1.71762,[ 22 111] ; [18 57],[ 25.57692308 107.42307692] ; [14.42307692 60.57692308],0
u2,1,0.207712,1.587302,[30 24] ; [15  6],[32.4 21.6] ; [12.6  8.4],0
u4,1,0.266065,1.236921,[  1 132] ; [ 2 73],[  1.91826923 131.08173077] ; [ 1.08173077 73.91826923],0
a8,1,0.2821,1.156944,[ 15 106] ; [12 54],[ 17.47058824 103.52941176] ; [ 9.52941176 56.47058824],0
r4,1,0.290991,1.115033,[116  17] ; [69  6],[118.29326923  14.70673077] ; [66.70673077  8.29326923],0
v4,1,0.308065,1.038955,[122  10] ; [72  3],[123.71014493   8.28985507] ; [70.28985507  4.71014493],0
d2,1,0.324947,0.968929,[51 82] ; [34 41],[54.35096154 78.64903846] ; [30.64903846 44.35096154],0
n2,1,0.328302,0.955583,[28  9] ; [10  6],[26.52830189 10.47169811] ; [11.47169811  4.52830189],0
n1,1,0.346569,0.885981,[15 22] ; [ 4 11],[13.51923077 23.48076923] ; [5.48076923 9.51923077],0
a6,1,0.385326,0.75364,[88 45] ; [54 21],[90.79807692 42.20192308] ; [51.20192308 23.79807692],0
d4,1,0.435009,0.609414,[102  31] ; [61 14],[104.22596154  28.77403846] ; [58.77403846 16.22596154],0
s5,1,0.436977,0.604207,[38 93] ; [18 57],[35.61165049 95.38834951] ; [20.38834951 54.61165049],0
p8,1,0.449739,0.571309,[72 61] ; [35 37],[69.4195122 63.5804878] ; [37.5804878 34.4195122],0
b2,1,0.48658,0.484079,[27 48] ; [15 35],[25.2 49.8] ; [16.8 33.2],0
b3,1,0.48658,0.484079,[27 48] ; [15 35],[25.2 49.8] ; [16.8 33.2],0
p10,1,0.525242,0.403587,[102  28] ; [60 13],[103.74384236  26.25615764] ; [58.25615764 14.74384236],0
n5,1,0.539443,0.376574,[97 35] ; [58 17],[98.84057971 33.15942029] ; [56.15942029 18.84057971],0
s4,1,0.553936,0.350313,[ 20 112] ; [ 9 65],[ 18.58252427 113.41747573] ; [10.41747573 63.58252427],0
p9,1,0.558517,0.342278,[109  24] ; [63 11],[110.51207729  22.48792271] ; [61.48792271 12.51207729],0
a7,1,0.61514,0.252757,[95 38] ; [56 19],[96.55288462 36.44711538] ; [54.44711538 20.55288462],0
s1,1,0.645661,0.211415,[  3 129] ; [ 1 73],[  2.5631068 129.4368932] ; [ 1.4368932 72.5631068],0
p4,1,0.668657,0.183177,[75 58] ; [44 30],[76.4589372 56.5410628] ; [42.5410628 31.4589372],0
d5,1,0.680634,0.169413,[105  28] ; [61 14],[106.14423077  26.85576923] ; [59.85576923 15.14423077],0
n3,1,0.683181,0.166567,[25 11] ; [12  4],[25.61538462 10.38461538] ; [11.38461538  4.61538462],0
s8,1,0.719925,0.128565,[47 86] ; [28 46],[48.1884058 84.8115942] ; [26.8115942 47.1884058],0
u1,1,0.736921,0.112851,[ 20 113] ; [10 65],[ 19.18269231 113.81730769] ; [10.81730769 64.18269231],0
b1,1,0.753714,0.098437,[49 84] ; [26 49],[47.95673077 85.04326923] ; [27.04326923 47.95673077],0
p11,1,0.759616,0.093627,[104  29] ; [60 15],[104.86538462  28.13461538] ; [59.13461538 15.86538462],0
r1,1,0.778408,0.079183,[106  26] ; [59 16],[105.2173913  26.7826087] ; [59.7826087 15.2173913],0
a4,1,0.811291,0.057007,[50 81] ; [27 47],[49.20487805 81.79512195] ; [27.79512195 46.20487805],0
p1,1,0.839548,0.040995,[  8 125] ; [ 4 71],[  7.67307692 125.32692308] ; [ 4.32692308 70.67307692],0
r3,1,0.839548,0.040995,[125   8] ; [71  4],[125.32692308   7.67307692] ; [70.67307692  4.32692308],0
u3,1,0.842829,0.039313,[30 23] ; [13  9],[30.38666667 22.61333333] ; [12.61333333  9.38666667],0
s3,1,0.888567,0.019633,[43 88] ; [25 49],[43.45365854 87.54634146] ; [24.54634146 49.45365854],0
n4,1,0.910123,0.012743,[102  31] ; [57 18],[101.66826923  31.33173077] ; [57.33173077 17.66826923],0
r2,1,0.930025,0.007711,[119  11] ; [68  6],[119.16666667  10.83333333] ; [67.83333333  6.16666667],0
p7,1,0.938967,0.005863,[83 47] ; [47 26],[83.25123153 46.74876847] ; [46.74876847 26.25123153],0
a5,1,0.998783,2e-06,[94 39] ; [53 22],[93.99519231 39.00480769] ; [53.00480769 21.99519231],0
