Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.9e-05,18.281845,[21 20] ; [31  1],[29.20547945 11.79452055] ; [22.79452055  9.20547945],1
r2,1,0.000542,11.96562,[20 21] ; [28  4],[26.95890411 14.04109589] ; [21.04109589 10.95890411],1
n6,1,0.003941,8.310617,[22 20] ; [27  5],[27.81081081 14.18918919] ; [21.18918919 10.81081081],0
s6,1,0.007797,7.079506,[12 30] ; [19 13],[17.59459459 24.40540541] ; [13.40540541 18.59459459],0
p9,1,0.013896,6.051273,[23 17] ; [27  5],[27.77777778 12.22222222] ; [22.22222222  9.77777778],0
p4,1,0.016281,5.77224,[12 30] ; [18 14],[17.02702703 24.97297297] ; [12.97297297 19.02702703],0
a6,1,0.016281,5.77224,[12 30] ; [18 14],[17.02702703 24.97297297] ; [12.97297297 19.02702703],0
p5,1,0.01885,5.515369,[ 1 40] ; [ 6 26],[ 3.93150685 37.06849315] ; [ 3.06849315 28.93150685],0
s3,1,0.020078,5.405126,[12 29] ; [18 14],[16.84931507 24.15068493] ; [13.15068493 18.84931507],0
u2,1,0.021629,5.275397,[ 5 20] ; [11 10],[ 8.69565217 16.30434783] ; [ 7.30434783 13.69565217],0
p6,1,0.045577,3.997144,[ 5 36] ; [10 22],[ 8.42465753 32.57534247] ; [ 6.57534247 25.42465753],0
a7,1,0.054277,3.704171,[13 29] ; [17 15],[17.02702703 24.97297297] ; [12.97297297 19.02702703],0
b1,1,0.069102,3.304227,[22 20] ; [10 22],[18.16216216 23.83783784] ; [13.83783784 18.16216216],0
u3,1,0.078265,3.100578,[ 5 21] ; [ 9 12],[ 7.74468085 18.25531915] ; [ 6.25531915 14.74468085],0
s5,1,0.081213,3.04045,[ 4 37] ; [ 8 24],[ 6.73972603 34.26027397] ; [ 5.26027397 26.73972603],0
s2,1,0.113605,2.503343,[11 31] ; [14 18],[14.18918919 27.81081081] ; [10.81081081 21.18918919],0
s7,1,0.127869,2.318193,[ 8 33] ; [11 20],[10.81944444 30.18055556] ; [ 8.18055556 22.81944444],0
s8,1,0.139557,2.182835,[ 7 35] ; [10 22],[ 9.64864865 32.35135135] ; [ 7.35135135 24.64864865],0
p10,1,0.150095,2.071284,[20 21] ; [21 11],[23.02739726 17.97260274] ; [17.97260274 14.02739726],0
b5,1,0.155357,2.018849,[22 20] ; [22 10],[24.97297297 17.02702703] ; [19.02702703 12.97297297],0
p11,1,0.178912,1.806641,[21 21] ; [21 11],[23.83783784 18.16216216] ; [18.16216216 13.83783784],0
p12,1,0.196338,1.669409,[ 1 40] ; [ 3 29],[ 2.24657534 38.75342466] ; [ 1.75342466 30.24657534],0
a8,1,0.20578,1.600867,[ 2 39] ; [ 4 26],[ 3.46478873 37.53521127] ; [ 2.53521127 27.46478873],0
d3,1,0.214097,1.543502,[ 9 33] ; [11 21],[11.35135135 30.64864865] ; [ 8.64864865 23.35135135],0
d4,1,0.217216,1.522666,[15 27] ; [16 16],[17.59459459 24.40540541] ; [13.40540541 18.59459459],0
p3,1,0.317916,0.997502,[10 32] ; [11 21],[11.91891892 30.08108108] ; [ 9.08108108 22.91891892],0
p8,1,0.375288,0.78608,[15 26] ; [15 17],[16.84931507 24.15068493] ; [13.15068493 18.84931507],0
d2,1,0.385594,0.752791,[10 32] ; [ 5 27],[ 8.51351351 33.48648649] ; [ 6.48648649 25.51351351],0
n2,1,0.386476,0.75,[11  7] ; [7 2],[12.  6.] ; [6. 3.],0
n1,1,0.386476,0.75,[ 7 11] ; [2 7],[ 6. 12.] ; [3. 6.],0
v3,1,0.395368,0.72237,[ 6 36] ; [ 7 25],[ 7.37837838 34.62162162] ; [ 5.62162162 26.37837838],0
p2,1,0.414052,0.667136,[25 17] ; [22 10],[26.67567568 15.32432432] ; [20.32432432 11.67567568],0
s1,1,0.448909,0.573406,[ 3 39] ; [ 1 31],[ 2.27027027 39.72972973] ; [ 1.72972973 30.27027027],0
s4,1,0.527716,0.398788,[ 9 33] ; [ 5 27],[ 7.94594595 34.05405405] ; [ 6.05405405 25.94594595],0
b2,1,0.598084,0.277895,[ 7 18] ; [ 4 15],[ 6.25 18.75] ; [ 4.75 14.25],0
b3,1,0.598084,0.277895,[ 7 18] ; [ 4 15],[ 6.25 18.75] ; [ 4.75 14.25],0
b4,1,0.638859,0.220238,[20 22] ; [17 15],[21. 21.] ; [16. 16.],0
p7,1,0.65767,0.196366,[19 22] ; [16 15],[19.93055556 21.06944444] ; [15.06944444 15.93055556],0
a5,1,0.673752,0.177244,[10 32] ; [ 9 23],[10.78378378 31.21621622] ; [ 8.21621622 23.78378378],0
a4,1,0.682929,0.166847,[ 4 38] ; [ 4 28],[ 4.54054054 37.45945946] ; [ 3.45945946 28.54054054],0
a3,1,0.683064,0.166697,[16 25] ; [11 21],[15.16438356 25.83561644] ; [11.83561644 20.16438356],0
p1,1,0.728442,0.120547,[ 5 37] ; [ 3 29],[ 4.54054054 37.45945946] ; [ 3.45945946 28.54054054],0
n3,1,0.765688,0.088816,[13  5] ; [6 3],[12.66666667  5.33333333] ; [6.33333333 2.66666667],0
v2,1,0.788229,0.072152,[ 9 32] ; [ 6 25],[ 8.54166667 32.45833333] ; [ 6.45833333 24.54166667],0
