Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,2e-06,22.40321,[48 12] ; [15 29],[36.34615385 23.65384615] ; [26.65384615 17.34615385],1
d3,1,7e-06,20.268182,[39 21] ; [ 9 35],[27.69230769 32.30769231] ; [20.30769231 23.69230769],1
v2,1,0.000113,14.912846,[31 28] ; [ 6 35],[21.83 37.17] ; [15.17 25.83],1
d2,1,0.00029,13.136288,[33 26] ; [ 9 35],[24.05825243 34.94174757] ; [17.94174757 26.05825243],1
a6,1,0.000296,13.095273,[37 24] ; [11 33],[27.88571429 33.11428571] ; [20.11428571 23.88571429],1
a5,1,0.000392,12.569841,[38 23] ; [12 32],[29.04761905 31.95238095] ; [20.95238095 23.04761905],1
a4,1,0.00104,10.755345,[28 32] ; [ 7 37],[20.19230769 39.80769231] ; [14.80769231 29.19230769],0
a7,1,0.002065,9.490411,[38 22] ; [14 29],[30.29126214 29.70873786] ; [21.70873786 21.29126214],0
s6,1,0.011014,6.463094,[25 35] ; [ 8 36],[19.03846154 40.96153846] ; [13.96153846 30.03846154],0
u2,1,0.011278,6.420949,[14  8] ; [ 6 17],[ 9.77777778 12.22222222] ; [10.22222222 12.77777778],0
a2,1,0.012264,6.27225,[11 50] ; [ 1 43],[ 6.97142857 54.02857143] ; [ 5.02857143 38.97142857],0
v3,1,0.018072,5.58917,[17 43] ; [ 4 39],[12.23300971 47.76699029] ; [ 8.76699029 34.23300971],0
s1,1,0.031441,4.628714,[ 1 60] ; [ 5 38],[ 3.51923077 57.48076923] ; [ 2.48076923 40.51923077],0
r2,1,0.035239,4.433576,[36 18] ; [19 23],[30.9375 23.0625] ; [24.0625 17.9375],0
u1,1,0.079472,3.075665,[ 7 54] ; [ 1 43],[ 4.64761905 56.35238095] ; [ 3.35238095 40.64761905],0
v4,1,0.094877,2.789619,[38 19] ; [21 21],[33.96969697 23.03030303] ; [25.03030303 16.96969697],0
s3,1,0.1055,2.620364,[23 34] ; [11 33],[19.18811881 37.81188119] ; [14.81188119 29.18811881],0
b4,1,0.109329,2.563889,[40 21] ; [22 22],[36.01904762 24.98095238] ; [25.98095238 18.01904762],0
u3,1,0.115808,2.473118,[10 13] ; [ 5 18],[ 7.5 15.5] ; [ 7.5 15.5],0
s5,1,0.127666,2.320661,[12 48] ; [ 4 40],[ 9.23076923 50.76923077] ; [ 6.76923077 37.23076923],0
s8,1,0.18204,1.780892,[13 48] ; [ 5 39],[10.45714286 50.54285714] ; [ 7.54285714 36.45714286],0
a3,1,0.215117,1.536648,[38 23] ; [21 21],[34.94174757 26.05825243] ; [24.05825243 17.94174757],0
p4,1,0.231337,1.432623,[17 43] ; [ 8 36],[14.42307692 45.57692308] ; [10.57692308 33.42307692],0
s7,1,0.30345,1.058973,[19 38] ; [10 32],[16.6969697 40.3030303] ; [12.3030303 29.6969697],0
r1,1,0.308385,1.03758,[21 39] ; [11 32],[18.6407767 41.3592233] ; [13.3592233 29.6407767],0
p5,1,0.312041,1.022016,[ 4 56] ; [ 1 42],[ 2.91262136 57.08737864] ; [ 2.08737864 40.91262136],0
r3,1,0.320301,0.987715,[34 25] ; [20 22],[31.54455446 27.45544554] ; [22.45544554 19.54455446],0
n4,1,0.335928,0.925911,[37 24] ; [22 21],[34.60576923 26.39423077] ; [24.39423077 18.60576923],0
p11,1,0.348003,0.880727,[32 29] ; [19 25],[29.62857143 31.37142857] ; [21.37142857 22.62857143],0
p8,1,0.349224,0.876273,[12 48] ; [12 31],[13.98058252 46.01941748] ; [10.01941748 32.98058252],0
s2,1,0.359281,0.840404,[17 43] ; [ 9 35],[15. 45.] ; [11. 33.],0
p1,1,0.410719,0.676717,[ 3 57] ; [ 4 40],[ 4.03846154 55.96153846] ; [ 2.96153846 41.03846154],0
b1,1,0.417414,0.657584,[27 34] ; [23 21],[29.04761905 31.95238095] ; [20.95238095 23.04761905],0
n2,1,0.430756,0.620783,[15 14] ; [15  9],[16.41509434 12.58490566] ; [13.58490566 10.41509434],0
p2,1,0.440949,0.593812,[29 30] ; [25 19],[30.93203883 28.06796117] ; [23.06796117 20.93203883],0
s4,1,0.47595,0.50813,[ 8 53] ; [ 8 36],[ 9.2952381 51.7047619] ; [ 6.7047619 37.2952381],0
n6,1,0.511872,0.430238,[32 27] ; [20 22],[30.37623762 28.62376238] ; [21.62376238 20.37623762],0
b5,1,0.560919,0.338115,[34 27] ; [22 22],[32.53333333 28.46666667] ; [23.46666667 20.53333333],0
n3,1,0.577973,0.309524,[13 15] ; [13 11],[14. 14.] ; [12. 12.],0
b3,1,0.647336,0.209276,[13 24] ; [11 16],[13.875 23.125] ; [10.125 16.875],0
b2,1,0.647336,0.209276,[13 24] ; [11 16],[13.875 23.125] ; [10.125 16.875],0
a8,1,0.647375,0.209225,[ 4 52] ; [ 2 39],[ 3.46391753 52.53608247] ; [ 2.53608247 38.46391753],0
p7,1,0.66769,0.184316,[17 41] ; [14 28],[17.98 40.02] ; [13.02 28.98],0
n5,1,0.672401,0.178806,[36 23] ; [28 15],[37.01960784 21.98039216] ; [26.98039216 16.01960784],0
p6,1,0.797163,0.06606,[ 8 52] ; [ 5 38],[ 7.57281553 52.42718447] ; [ 5.42718447 37.57281553],0
p12,1,0.801858,0.062972,[ 1 60] ; [ 1 42],[ 1.17307692 59.82692308] ; [ 0.82692308 42.17307692],0
p10,1,0.84108,0.040205,[30 29] ; [21 22],[29.5 29.5] ; [21.5 21.5],0
n1,1,0.929914,0.007736,[10 19] ; [ 8 16],[ 9.8490566 19.1509434] ; [ 8.1509434 15.8490566],0
v1,1,0.935941,0.00646,[17 41] ; [12 30],[16.82 41.18] ; [12.18 29.82],0
p9,1,0.948264,0.00421,[30 28] ; [22 20],[30.16 27.84] ; [21.84 20.16],0
a1,1,0.985829,0.000315,[ 7 54] ; [ 5 39],[ 6.97142857 54.02857143] ; [ 5.02857143 38.97142857],0
