Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,58.552637,[244  46] ; [43 53],[215.62176166  74.37823834] ; [71.37823834 24.62176166],1
a6,1,0.0,36.29266,[227  63] ; [44 52],[203.60103627  86.39896373] ; [67.39896373 28.60103627],1
u1,1,0.000163,14.216516,[ 50 240] ; [ 2 94],[ 39.06735751 250.93264249] ; [12.93264249 83.06735751],1
v4,1,0.000234,13.53708,[272  16] ; [79 17],[263.25  24.75] ; [87.75  8.25],1
r3,1,0.000276,13.229355,[276  13] ; [81 15],[267.98181818  21.01818182] ; [89.01818182  6.98181818],1
a2,1,0.000425,12.420091,[ 69 221] ; [ 7 89],[ 57.0984456 232.9015544] ; [18.9015544 77.0984456],1
p2,1,0.000525,12.025756,[238  51] ; [60 32],[226.04199475  62.95800525] ; [71.95800525 20.04199475],1
s5,1,0.002944,8.841876,[ 60 220] ; [34 58],[ 70.75268817 209.24731183] ; [23.24731183 68.75268817],0
b5,1,0.003006,8.803895,[194  96] ; [48 48],[181.8134715 108.1865285] ; [60.1865285 35.8134715],0
a8,1,0.00931,6.762325,[ 34 233] ; [ 3 90],[ 27.44166667 239.55833333] ; [ 9.55833333 83.44166667],0
r4,1,0.018046,5.591668,[255  35] ; [75 21],[247.92746114  42.07253886] ; [82.07253886 13.92746114],0
r1,1,0.028431,4.801729,[226  61] ; [65 31],[218.06005222  68.93994778] ; [72.93994778 23.06005222],0
d1,1,0.043865,4.06175,[196  94] ; [54 42],[187.8238342 102.1761658] ; [62.1761658 33.8238342],0
d5,1,0.053243,3.736284,[253  37] ; [76 20],[247.1761658  42.8238342] ; [81.8238342 14.1761658],0
p12,1,0.057053,3.621043,[ 17 272] ; [ 1 92],[ 13.61780105 275.38219895] ; [ 4.38219895 88.61780105],0
p10,1,0.060543,3.522455,[223  64] ; [64 30],[216.19160105  70.80839895] ; [70.80839895 23.19160105],0
u3,1,0.064455,3.418878,[57 41] ; [14 21],[52.31578947 45.68421053] ; [18.68421053 16.31578947],0
p11,1,0.081482,3.035091,[225  65] ; [66 30],[218.62694301  71.37305699] ; [72.37305699 23.62694301],0
p8,1,0.084903,2.968457,[141 147] ; [36 57],[133.79527559 154.20472441] ; [43.20472441 49.79527559],0
s2,1,0.091909,2.840609,[ 96 191] ; [23 72],[ 89.40575916 197.59424084] ; [29.59424084 65.40575916],0
p4,1,0.096995,2.754266,[149 139] ; [38 53],[142.10026385 145.89973615] ; [44.89973615 46.10026385],0
p9,1,0.098661,2.727062,[228  58] ; [68 27],[222.19422572  63.80577428] ; [73.80577428 21.19422572],0
r2,1,0.109846,2.55644,[266  19] ; [82 11],[262.38095238  22.61904762] ; [85.61904762  7.38095238],0
d2,1,0.16511,1.926789,[133 156] ; [51 43],[138.84073107 150.15926893] ; [45.15926893 48.84073107],0
