Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,47.590435,[105   4] ; [50 40],[84.89949749 24.10050251] ; [70.10050251 19.89949749],1
r3,1,0.0,45.962719,[107   3] ; [56 39],[87.46341463 22.53658537] ; [75.53658537 19.46341463],1
v4,1,0.0,31.38756,[104   6] ; [60 35],[88. 22.] ; [76. 19.],1
n6,1,3e-06,21.887732,[95 15] ; [55 41],[80.09708738 29.90291262] ; [69.90291262 26.09708738],1
p10,1,1.2e-05,19.160577,[85 24] ; [45 48],[70.14851485 38.85148515] ; [59.85148515 33.14851485],1
p9,1,0.000102,15.100765,[91 17] ; [55 37],[78.84 29.16] ; [67.16 24.84],1
p11,1,0.0008,11.24226,[83 27] ; [51 45],[71.55339806 38.44660194] ; [62.44660194 33.55339806],1
b1,1,0.001157,10.558175,[36 74] ; [53 43],[47.52427184 62.47572816] ; [41.47572816 54.52427184],0
p2,1,0.004769,7.965141,[84 26] ; [55 40],[74.58536585 35.41463415] ; [64.41463415 30.58536585],0
a7,1,0.00545,7.723578,[71 38] ; [44 52],[61.14634146 47.85365854] ; [53.85365854 42.14634146],0
d5,1,0.006451,7.419749,[83 26] ; [56 40],[73.90731707 35.09268293] ; [65.09268293 30.90731707],0
n2,1,0.013212,6.140554,[29  5] ; [23 16],[24.21917808  9.78082192] ; [27.78082192 11.21917808],0
s5,1,0.013242,6.136539,[28 75] ; [12 81],[21.02040816 81.97959184] ; [18.97959184 74.02040816],0
p7,1,0.01429,6.001929,[60 48] ; [36 58],[51.32673267 56.67326733] ; [44.67326733 49.32673267],0
s8,1,0.018214,5.575414,[38 72] ; [19 77],[30.4368932 79.5631068] ; [26.5631068 69.4368932],0
b5,1,0.019122,5.490292,[77 33] ; [52 44],[68.88349515 41.11650485] ; [60.11650485 35.88349515],0
s3,1,0.019834,5.426478,[56 53] ; [33 61],[47.78817734 61.21182266] ; [41.21182266 52.78817734],0
p6,1,0.020816,5.342125,[39 68] ; [20 73],[31.565 75.435] ; [27.435 65.565],0
s6,1,0.025447,4.993186,[57 48] ; [37 59],[49.10447761 55.89552239] ; [44.89552239 51.10447761],0
b4,1,0.033879,4.500812,[70 40] ; [47 49],[62.47572816 47.52427184] ; [54.52427184 41.47572816],0
v3,1,0.033896,4.499963,[35 71] ; [19 77],[28.33663366 77.66336634] ; [25.66336634 70.33663366],0
a1,1,0.053749,3.720489,[  4 106] ; [10 86],[  7.47572816 102.52427184] ; [ 6.52427184 89.47572816],0
p3,1,0.056047,3.650656,[47 63] ; [28 66],[40.44117647 69.55882353] ; [34.55882353 59.44117647],0
n3,1,0.071594,3.246096,[26  8] ; [22 17],[22.35616438 11.64383562] ; [25.64383562 13.35616438],0
p8,1,0.074357,3.184123,[44 64] ; [27 67],[37.96039604 70.03960396] ; [33.03960396 60.96039604],0
p4,1,0.08555,2.956174,[52 57] ; [34 61],[45.95098039 63.04901961] ; [40.04901961 54.95098039],0
a8,1,0.098827,2.724371,[14 90] ; [ 6 88],[10.50505051 93.49494949] ; [ 9.49494949 84.50505051],0
s2,1,0.130137,2.290871,[48 62] ; [32 64],[42.7184466 67.2815534] ; [37.2815534 58.7184466],0
u3,1,0.134842,2.235857,[19 24] ; [12 30],[15.68235294 27.31764706] ; [15.31764706 26.68235294],0
d4,1,0.20043,1.639235,[78 32] ; [60 36],[73.68932039 36.31067961] ; [64.31067961 31.68932039],0
d3,1,0.227229,1.45812,[62 47] ; [46 49],[57.70588235 51.29411765] ; [50.29411765 44.70588235],0
a6,1,0.246357,1.343843,[65 45] ; [49 47],[60.87378641 49.12621359] ; [53.12621359 42.87378641],0
n1,1,0.258624,1.276109,[14 18] ; [12 27],[11.71830986 20.28169014] ; [14.28169014 24.71830986],0
v1,1,0.315028,1.009479,[43 66] ; [30 62],[39.58706468 69.41293532] ; [33.41293532 58.58706468],0
d1,1,0.347006,0.884374,[46 64] ; [34 62],[42.7184466 67.2815534] ; [37.2815534 58.7184466],0
a4,1,0.347384,0.882991,[38 72] ; [27 68],[34.87804878 75.12195122] ; [30.12195122 64.87804878],0
s7,1,0.357823,0.845521,[38 68] ; [27 64],[34.97461929 71.02538071] ; [30.02538071 60.97461929],0
n4,1,0.44534,0.582484,[71 39] ; [57 39],[68.34951456 41.65048544] ; [59.65048544 36.34951456],0
a3,1,0.45812,0.550484,[67 43] ; [53 42],[64.3902439 45.6097561] ; [55.6097561 39.3902439],0
a5,1,0.514624,0.424655,[60 50] ; [48 48],[57.66990291 52.33009709] ; [50.33009709 45.66990291],0
p12,1,0.516636,0.420604,[  4 106] ; [ 2 93],[  3.2195122 106.7804878] ; [ 2.7804878 92.2195122],0
v2,1,0.523709,0.406582,[43 63] ; [34 60],[40.81 65.19] ; [36.19 57.81],0
u2,1,0.568367,0.325423,[19 24] ; [16 26],[17.70588235 25.29411765] ; [17.29411765 24.70588235],0
a2,1,0.571142,0.320776,[13 97] ; [ 9 87],[11.74757282 98.25242718] ; [10.25242718 85.74757282],0
u1,1,0.807883,0.059126,[  6 104] ; [ 6 90],[  6.40776699 103.59223301] ; [ 5.59223301 90.40776699],0
s1,1,0.830313,0.045924,[  4 105] ; [ 3 93],[  3.72195122 105.27804878] ; [ 3.27804878 92.72195122],0
n5,1,0.852392,0.034621,[72 38] ; [61 34],[71.36585366 38.63414634] ; [61.63414634 33.36585366],0
b2,1,0.852996,0.034335,[23 44] ; [19 39],[22.512 44.488] ; [19.488 38.512],0
b3,1,0.852996,0.034335,[23 44] ; [19 39],[22.512 44.488] ; [19.488 38.512],0
p1,1,0.879867,0.022843,[11 99] ; [ 9 87],[10.67961165 99.32038835] ; [ 9.32038835 86.67961165],0
d2,1,0.936116,0.006425,[43 66] ; [38 57],[43.27941176 65.72058824] ; [37.72058824 57.27941176],0
s4,1,0.992145,9.7e-05,[24 86] ; [21 75],[24.02912621 85.97087379] ; [20.97087379 75.02912621],0
