Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,5e-06,20.683347,[ 8 52] ; [13  7],[15.75 44.25] ; [ 5.25 14.75],1
p7,1,6e-05,16.098693,[22 38] ; [17  2],[29.62025316 30.37974684] ; [9.37974684 9.62025316],1
p4,1,0.003555,8.498361,[15 46] ; [12  8],[20.33333333 40.66666667] ; [ 6.66666667 13.33333333],0
s2,1,0.013133,6.151041,[14 46] ; [11 10],[18.51851852 41.48148148] ; [ 6.48148148 14.51851852],0
p5,1,0.020317,5.384435,[ 1 60] ; [ 3 18],[ 2.97560976 58.02439024] ; [ 1.02439024 19.97560976],0
p2,1,0.022871,5.178245,[29 32] ; [16  5],[33.47560976 27.52439024] ; [11.52439024  9.47560976],0
d3,1,0.038942,4.263388,[22 39] ; [13  8],[26.03658537 34.96341463] ; [ 8.96341463 12.03658537],0
v4,1,0.061093,3.507471,[42 18] ; [19  2],[45.18518519 14.81481481] ; [15.81481481  5.18518519],0
r3,1,0.079983,3.06525,[43 17] ; [19  2],[45.92592593 14.07407407] ; [16.07407407  4.92592593],0
s6,1,0.120357,2.412668,[23 38] ; [12  9],[26.03658537 34.96341463] ; [ 8.96341463 12.03658537],0
u2,1,0.127276,2.325416,[17 21] ; [9 4],[19.37254902 18.62745098] ; [6.62745098 6.37254902],0
b3,1,0.128452,2.311111,[11 28] ; [ 1 12],[ 9. 30.] ; [ 3. 10.],0
b2,1,0.128452,2.311111,[11 28] ; [ 1 12],[ 9. 30.] ; [ 3. 10.],0
b4,1,0.131161,2.278709,[43 18] ; [11 10],[40.17073171 20.82926829] ; [13.82926829  7.17073171],0
d1,1,0.176704,1.825132,[14 47] ; [ 8 13],[16.36585366 44.63414634] ; [ 5.63414634 15.36585366],0
s3,1,0.177472,1.818671,[21 38] ; [11 10],[23.6 35.4] ; [ 8.4 12.6],0
p10,1,0.200635,1.637746,[12 49] ; [ 7 14],[14.13414634 46.86585366] ; [ 4.86585366 16.13414634],0
s5,1,0.208891,1.579097,[ 8 53] ; [ 5 15],[ 9.79012346 51.20987654] ; [ 3.20987654 16.79012346],0
p3,1,0.234756,1.411813,[15 46] ; [ 8 13],[17.1097561 43.8902439] ; [ 5.8902439 15.1097561],0
n5,1,0.249785,1.324507,[35 26] ; [ 9 12],[32.73170732 28.26829268] ; [11.26829268  9.73170732],0
p11,1,0.249785,1.324507,[26 35] ; [12  9],[28.26829268 32.73170732] ; [ 9.73170732 11.26829268],0
d2,1,0.282059,1.157143,[18 42] ; [ 9 12],[20. 40.] ; [ 7. 14.],0
s7,1,0.284651,1.14475,[13 44] ; [ 7 13],[14.80519481 42.19480519] ; [ 5.19480519 14.80519481],0
s8,1,0.304182,1.055772,[11 50] ; [ 6 15],[12.64634146 48.35365854] ; [ 4.35365854 16.64634146],0
n3,1,0.314069,1.013488,[16  9] ; [3 4],[14.84375 10.15625] ; [4.15625 2.84375],0
n6,1,0.329067,0.952567,[42 19] ; [12  9],[40.17073171 20.82926829] ; [13.82926829  7.17073171],0
d4,1,0.390819,0.736394,[33 26] ; [14  7],[34.6625 24.3375] ; [12.3375  8.6625],0
n2,1,0.415439,0.663182,[13 11] ; [5 2],[13.93548387 10.06451613] ; [4.06451613 2.93548387],0
u1,1,0.423666,0.640125,[ 1 60] ; [ 1 20],[ 1.48780488 59.51219512] ; [ 0.51219512 20.48780488],0
r1,1,0.424254,0.638502,[38 23] ; [11 10],[36.45121951 24.54878049] ; [12.54878049  8.45121951],0
n4,1,0.438304,0.600718,[35 26] ; [10 11],[33.47560976 27.52439024] ; [11.52439024  9.47560976],0
