Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,6.7e-05,15.891373,[14  5] ; [19 57],[ 6.6 12.4] ; [26.4 49.6],1
p8,1,0.000318,12.963753,[12  7] ; [16 60],[ 5.6 13.4] ; [22.4 53.6],1
s2,1,0.001919,9.62498,[12  5] ; [23 53],[ 6.39784946 10.60215054] ; [28.60215054 47.39784946],0
p4,1,0.003223,8.676608,[13  6] ; [24 52],[ 7.4 11.6] ; [29.6 46.4],0
s8,1,0.004551,8.049654,[9 9] ; [14 63],[ 4.35789474 13.64210526] ; [18.64210526 58.35789474],0
s7,1,0.004878,7.924282,[12  5] ; [24 48],[ 6.87640449 10.12359551] ; [29.12359551 42.87640449],0
p7,1,0.009758,6.678635,[11  6] ; [23 51],[ 6.35164835 10.64835165] ; [27.64835165 46.35164835],0
p11,1,0.015495,5.859327,[15  4] ; [37 40],[10.29166667  8.70833333] ; [41.70833333 35.29166667],0
b4,1,0.02555,4.986216,[ 7 12] ; [50 27],[11.28125  7.71875] ; [45.71875 31.28125],0
a2,1,0.032473,4.573373,[ 6 13] ; [ 9 68],[ 2.96875 16.03125] ; [12.03125 64.96875],0
p12,1,0.040033,4.216486,[ 2 17] ; [ 1 75],[ 0.6 18.4] ; [ 2.4 73.6],0
b5,1,0.041845,4.141471,[15  4] ; [41 36],[11.08333333  7.91666667] ; [44.91666667 32.08333333],0
p2,1,0.047553,3.92571,[15  4] ; [41 35],[11.2  7.8] ; [44.8 31.2],0
v2,1,0.050531,3.823759,[11  6] ; [29 46],[7.39130435 9.60869565] ; [32.60869565 42.39130435],0
s4,1,0.057687,3.602672,[ 6 12] ; [11 66],[ 3.22105263 14.77894737] ; [13.77894737 63.22105263],0
p9,1,0.076496,3.13783,[15  4] ; [42 32],[11.64516129  7.35483871] ; [45.35483871 28.64516129],0
u1,1,0.090152,2.871653,[ 4 15] ; [ 6 71],[ 1.97916667 17.02083333] ; [ 8.02083333 68.97916667],0
v4,1,0.093455,2.813827,[14  3] ; [45 29],[11.02197802  5.97802198] ; [47.97802198 26.02197802],0
p5,1,0.094611,2.794118,[ 4 15] ; [ 6 70],[ 2. 17.] ; [ 8. 68.],0
n6,1,0.130604,2.285309,[15  4] ; [44 29],[12.18478261  6.81521739] ; [46.81521739 26.18478261],0
a6,1,0.135737,2.225628,[13  6] ; [38 39],[10.09375  8.90625] ; [40.90625 36.09375],0
r2,1,0.140873,2.168393,[12  4] ; [39 32],[9.37931034 6.62068966] ; [41.62068966 29.37931034],0
n5,1,0.146055,2.112972,[13  5] ; [40 35],[10.25806452  7.74193548] ; [42.74193548 32.25806452],0
n2,1,0.155318,2.019231,[6 1] ; [20 15],[4.33333333 2.66666667] ; [21.66666667 13.33333333],0
r3,1,0.184209,1.763332,[13  4] ; [45 31],[10.60215054  6.39784946] ; [47.39784946 28.60215054],0
s3,1,0.185245,1.755036,[10  7] ; [30 43],[7.55555556 9.44444444] ; [32.44444444 40.55555556],0
a4,1,0.208912,1.578947,[10  9] ; [28 48],[ 7.6 11.4] ; [30.4 45.6],0
a5,1,0.221473,1.494799,[14  5] ; [45 32],[11.67708333  7.32291667] ; [47.32291667 29.67708333],0
v3,1,0.223343,1.482758,[ 7 11] ; [19 58],[ 4.92631579 13.07368421] ; [21.07368421 55.92631579],0
d2,1,0.304231,1.055556,[11  8] ; [34 42],[ 9. 10.] ; [36. 40.],0
n4,1,0.319308,0.991778,[13  6] ; [43 34],[11.08333333  7.91666667] ; [44.91666667 32.08333333],0
s6,1,0.360279,0.83692,[9 8] ; [31 45],[7.31182796 9.68817204] ; [32.68817204 43.31182796],0
v1,1,0.380826,0.768034,[8 9] ; [26 47],[ 6.42222222 10.57777778] ; [27.57777778 45.42222222],0
r1,1,0.468777,0.524857,[ 5 13] ; [28 48],[ 6.31914894 11.68085106] ; [26.68085106 49.31914894],0
d5,1,0.473703,0.513325,[16  3] ; [59 18],[14.84375  4.15625] ; [60.15625 16.84375],0
d1,1,0.497937,0.45933,[12  7] ; [42 35],[10.6875  8.3125] ; [43.3125 33.6875],0
b1,1,0.504624,0.445198,[11  8] ; [38 39],[9.69791667 9.30208333] ; [39.30208333 37.69791667],0
p1,1,0.54484,0.366643,[ 2 17] ; [ 5 72],[ 1.38541667 17.61458333] ; [ 5.61458333 71.38541667],0
d3,1,0.567986,0.326064,[11  8] ; [50 27],[12.07291667  6.92708333] ; [48.92708333 28.07291667],0
a7,1,0.707749,0.140535,[12  7] ; [45 32],[11.28125  7.71875] ; [45.71875 31.28125],0
u2,1,0.712547,0.135747,[3 3] ; [10 14],[2.6 3.4] ; [10.4 13.6],0
n3,1,0.730626,0.118537,[3 4] ; [17 17],[3.41463415 3.58536585] ; [16.58536585 17.41463415],0
b3,1,0.811791,0.056699,[4 8] ; [14 33],[3.66101695 8.33898305] ; [14.33898305 32.66101695],0
b2,1,0.811791,0.056699,[4 8] ; [14 33],[3.66101695 8.33898305] ; [14.33898305 32.66101695],0
p10,1,0.856771,0.032575,[10  8] ; [44 32],[10.34042553  7.65957447] ; [43.65957447 32.34042553],0
n1,1,0.881342,0.022281,[2 5] ; [11 24],[2.16666667 4.83333333] ; [10.83333333 24.16666667],0
a3,1,0.912877,0.011971,[13  6] ; [51 25],[12.8  6.2] ; [51.2 24.8],0
u3,1,0.948429,0.004184,[2 3] ; [10 16],[1.93548387 3.06451613] ; [10.06451613 15.93548387],0
s5,1,0.956148,0.003024,[ 3 11] ; [16 61],[ 2.92307692 11.07692308] ; [16.07692308 60.92307692],0
a1,1,0.986062,0.000305,[ 2 17] ; [ 8 69],[ 1.97916667 17.02083333] ; [ 8.02083333 68.97916667],0
s1,1,0.990418,0.000144,[ 1 18] ; [ 4 73],[ 0.98958333 18.01041667] ; [ 4.01041667 72.98958333],0
