Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,53.698402,[61 40] ; [ 2 61],[38.79878049 62.20121951] ; [24.20121951 38.79878049],1
d4,1,0.0,47.257906,[86 15] ; [20 42],[65.6809816 35.3190184] ; [40.3190184 21.6809816],1
a5,1,0.0,30.250597,[76 25] ; [20 43],[59.12195122 41.87804878] ; [36.87804878 26.12195122],1
a3,1,7e-06,20.172922,[72 29] ; [22 40],[58.24539877 42.75460123] ; [35.75460123 26.24539877],1
d3,1,1.4e-05,18.915807,[50 51] ; [10 53],[36.95121951 64.04878049] ; [23.04878049 39.95121951],1
a4,1,0.000243,13.466596,[48 52] ; [12 50],[37.03703704 62.96296296] ; [22.96296296 39.03703704],1
d2,1,0.000307,13.026744,[57 42] ; [18 45],[45.83333333 53.16666667] ; [29.16666667 33.83333333],1
v2,1,0.000426,12.412916,[49 51] ; [12 46],[38.60759494 61.39240506] ; [22.39240506 35.60759494],1
v3,1,0.001389,10.220269,[35 61] ; [ 8 53],[26.29299363 69.70700637] ; [16.70700637 44.29299363],0
p10,1,0.00157,9.994903,[71 27] ; [29 32],[61.63522013 36.36477987] ; [38.36477987 22.63522013],0
p7,1,0.005463,7.719364,[60 38] ; [24 38],[51.45 46.55] ; [32.55 29.45],0
p4,1,0.007456,7.159721,[49 48] ; [18 44],[40.87421384 56.12578616] ; [26.12578616 35.87421384],0
r4,1,0.007634,7.117477,[79 22] ; [37 26],[71.43902439 29.56097561] ; [44.56097561 18.43902439],0
p2,1,0.010688,6.516535,[74 23] ; [36 27],[66.6875 30.3125] ; [43.3125 19.6875],0
r1,1,0.011954,6.317692,[71 30] ; [32 31],[63.43292683 37.56707317] ; [39.56707317 23.43292683],0
r2,1,0.021571,5.280096,[87 10] ; [48 15],[81.84375 15.15625] ; [53.15625  9.84375],0
r3,1,0.035754,4.408816,[85 15] ; [45 18],[79.75460123 20.24539877] ; [50.24539877 12.75460123],0
n4,1,0.038294,4.291926,[77 23] ; [39 24],[71.16564417 28.83435583] ; [44.83435583 18.16564417],0
p6,1,0.050861,3.812844,[29 67] ; [10 51],[23.84713376 72.15286624] ; [15.15286624 45.84713376],0
s5,1,0.052073,3.773412,[27 69] ; [ 9 52],[22.01273885 73.98726115] ; [13.98726115 47.01273885],0
v4,1,0.067037,3.354126,[87 13] ; [47 15],[82.71604938 17.28395062] ; [51.28395062 10.71604938],0
