Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,8e-06,19.864341,[21  8] ; [ 6 29],[12.234375 16.765625] ; [14.765625 20.234375],1
p2,1,6.4e-05,15.968858,[22  7] ; [ 9 26],[14.046875 14.953125] ; [16.953125 18.046875],1
p4,1,0.001655,9.898079,[15 14] ; [ 5 29],[ 9.20634921 19.79365079] ; [10.79365079 23.20634921],0
p8,1,0.003049,8.777807,[14 15] ; [ 5 30],[ 8.609375 20.390625] ; [10.390625 24.609375],0
s8,1,0.003333,8.615789,[10 19] ; [ 2 33],[ 5.4375 23.5625] ; [ 6.5625 28.4375],0
p11,1,0.003356,8.602812,[15 14] ; [ 6 29],[ 9.515625 19.484375] ; [11.484375 23.515625],0
v4,1,0.006102,7.520004,[23  6] ; [16 19],[17.671875 11.328125] ; [21.328125 13.671875],0
p3,1,0.006826,7.318246,[13 16] ; [ 5 30],[ 8.15625 20.84375] ; [ 9.84375 25.15625],0
r4,1,0.010323,6.578273,[10 19] ; [ 3 32],[ 5.890625 23.109375] ; [ 7.109375 27.890625],0
v1,1,0.015816,5.823183,[13 16] ; [ 6 29],[ 8.609375 20.390625] ; [10.390625 24.609375],0
s6,1,0.032915,4.550219,[13 16] ; [ 7 28],[ 9.0625 19.9375] ; [10.9375 24.0625],0
r2,1,0.038953,4.262915,[23  5] ; [19 14],[19.27868852  8.72131148] ; [22.72131148 10.27868852],0
p6,1,0.050552,3.82306,[ 8 21] ; [ 3 31],[ 5.06349206 23.93650794] ; [ 5.93650794 28.06349206],0
s2,1,0.060873,3.513436,[11 18] ; [ 6 29],[ 7.703125 21.296875] ; [ 9.296875 25.703125],0
s5,1,0.0851,2.964706,[ 8 20] ; [ 4 31],[ 5.33333333 22.66666667] ; [ 6.66666667 28.33333333],0
a7,1,0.093596,2.811416,[16 13] ; [12 23],[12.6875 16.3125] ; [15.3125 19.6875],0
p7,1,0.1052,2.62489,[12 16] ; [ 8 26],[ 9.03225806 18.96774194] ; [10.96774194 23.03225806],0
b5,1,0.125788,2.34373,[18 11] ; [15 20],[14.953125 14.046875] ; [18.046875 16.953125],0
s3,1,0.149364,2.078732,[11 16] ; [ 8 26],[ 8.40983607 18.59016393] ; [10.59016393 23.40983607],0
s7,1,0.17753,1.818182,[ 9 18] ; [ 6 27],[ 6.75 20.25] ; [ 8.25 24.75],0
d3,1,0.225967,1.466072,[16 13] ; [14 21],[13.59375 15.40625] ; [16.40625 18.59375],0
b3,1,0.227098,1.458947,[ 5 14] ; [11 14],[ 6.90909091 12.09090909] ; [ 9.09090909 15.90909091],0
b2,1,0.227098,1.458947,[ 5 14] ; [11 14],[ 6.90909091 12.09090909] ; [ 9.09090909 15.90909091],0
d4,1,0.255922,1.290686,[19 10] ; [18 17],[16.765625 12.234375] ; [20.234375 14.765625],0
u3,1,0.267938,1.227273,[5 6] ; [ 4 12],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
d2,1,0.286505,1.135971,[ 9 20] ; [15 19],[11.04761905 17.95238095] ; [12.95238095 21.04761905],0
n6,1,0.30373,1.057745,[17 12] ; [16 19],[14.953125 14.046875] ; [18.046875 16.953125],0
n2,1,0.388476,0.743706,[7 4] ; [10 11],[5.84375 5.15625] ; [11.15625  9.84375],0
a4,1,0.423632,0.640217,[ 8 20] ; [13 21],[ 9.48387097 18.51612903] ; [11.51612903 22.48387097],0
a1,1,0.436121,0.606467,[ 3 26] ; [ 6 29],[ 4.078125 24.921875] ; [ 4.921875 30.078125],0
a5,1,0.451259,0.567488,[16 13] ; [16 19],[14.5 14.5] ; [17.5 17.5],0
a3,1,0.502049,0.450602,[18 10] ; [19 15],[16.70967742 11.29032258] ; [20.29032258 13.70967742],0
a2,1,0.53579,0.383398,[ 2 27] ; [ 4 31],[ 2.71875 26.28125] ; [ 3.28125 31.71875],0
