Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,4e-06,21.335435,[56 11] ; [10 18],[46.54736842 20.45263158] ; [19.45263158  8.54736842],1
r3,1,4.4e-05,16.670256,[66  2] ; [19  9],[60.20833333  7.79166667] ; [24.79166667  3.20833333],1
s2,1,0.000152,14.341778,[50 18] ; [ 9 19],[41.79166667 26.20833333] ; [17.20833333 10.79166667],1
r1,1,0.000598,11.780878,[57 11] ; [14 14],[50.29166667 17.70833333] ; [20.70833333  7.29166667],1
r4,1,0.001417,10.183145,[59  9] ; [16 12],[53.125 14.875] ; [21.875  6.125],0
s7,1,0.00305,8.777349,[42 26] ; [ 6 17],[35.86813187 32.13186813] ; [12.13186813 10.86813187],0
n6,1,0.008008,7.031678,[48 19] ; [12 16],[42.31578947 24.68421053] ; [17.68421053 10.31578947],0
s5,1,0.008379,6.950684,[24 43] ; [ 2 23],[18.93478261 48.06521739] ; [ 7.06521739 17.93478261],0
d4,1,0.011732,6.350961,[56 11] ; [16 11],[51.31914894 15.68085106] ; [20.68085106  6.31914894],0
d1,1,0.012338,6.26157,[36 32] ; [ 7 21],[30.45833333 37.54166667] ; [12.54166667 15.45833333],0
n5,1,0.01242,6.249945,[47 20] ; [12 16],[41.61052632 25.38947368] ; [17.38947368 10.61052632],0
v2,1,0.013735,6.071937,[33 33] ; [ 6 21],[27.67741935 38.32258065] ; [11.32258065 15.67741935],0
v4,1,0.013978,6.040882,[63  5] ; [20  7],[59.41052632  8.58947368] ; [23.58947368  3.41052632],0
p8,1,0.019648,5.442862,[30 38] ; [ 5 22],[25.05263158 42.94736842] ; [ 9.94736842 17.05263158],0
s8,1,0.020978,5.328656,[29 39] ; [ 5 23],[24.08333333 43.91666667] ; [ 9.91666667 18.08333333],0
b4,1,0.023973,5.096555,[46 22] ; [12 16],[41.08333333 26.91666667] ; [16.91666667 11.08333333],0
p4,1,0.034437,4.47288,[38 30] ; [ 9 19],[33.29166667 34.70833333] ; [13.70833333 14.29166667],0
r2,1,0.04106,4.173537,[63  5] ; [21  6],[60.12631579  7.87368421] ; [23.87368421  3.12631579],0
a8,1,0.047903,3.913382,[13 50] ; [ 1 25],[ 9.91011236 53.08988764] ; [ 4.08988764 21.91011236],0
p9,1,0.055375,3.670765,[33 33] ; [ 8 20],[28.78723404 37.21276596] ; [12.21276596 15.78723404],0
v3,1,0.075878,3.151053,[24 40] ; [ 5 22],[20.3956044 43.6043956] ; [ 8.6043956 18.3956044],0
b5,1,0.07691,3.129026,[47 21] ; [14 14],[43.20833333 24.79166667] ; [17.79166667 10.20833333],0
n4,1,0.089314,2.886687,[48 19] ; [15 13],[44.43157895 22.56842105] ; [18.56842105  9.43157895],0
p3,1,0.100995,2.689764,[30 38] ; [ 7 20],[26.48421053 41.51578947] ; [10.51578947 16.48421053],0
u3,1,0.102992,2.658588,[18 10] ; [3 6],[15.89189189 12.10810811] ; [5.10810811 3.89189189],0
a2,1,0.108118,2.581513,[14 54] ; [ 2 26],[11.33333333 56.66666667] ; [ 4.66666667 23.33333333],0
s1,1,0.109721,2.558231,[ 5 63] ; [ 5 22],[ 7.15789474 60.84210526] ; [ 2.84210526 24.15789474],0
a7,1,0.138815,2.191048,[45 23] ; [14 14],[41.79166667 26.20833333] ; [17.20833333 10.79166667],0
p11,1,0.159679,1.977261,[35 33] ; [10 18],[31.875 36.125] ; [13.125 14.875],0
s4,1,0.185102,1.756181,[18 49] ; [ 4 24],[15.51578947 51.48421053] ; [ 6.48421053 21.51578947],0
p1,1,0.204115,1.612683,[ 8 59] ; [ 1 27],[ 6.34736842 60.65263158] ; [ 2.65263158 25.34736842],0
p7,1,0.226752,1.461122,[34 33] ; [18 10],[36.67368421 30.32631579] ; [15.32631579 12.67368421],0
u1,1,0.249354,1.326918,[14 54] ; [ 3 25],[12.04166667 55.95833333] ; [ 4.95833333 23.04166667],0
a3,1,0.295392,1.094884,[40 28] ; [19  8],[42.23157895 25.76842105] ; [16.76842105 10.23157895],0
v1,1,0.308284,1.038013,[30 37] ; [ 9 18],[27.79787234 39.20212766] ; [11.20212766 15.79787234],0
b1,1,0.33898,0.914286,[34 34] ; [11 17],[31.875 36.125] ; [13.125 14.875],0
a4,1,0.354032,0.858954,[27 41] ; [14 14],[29.04166667 38.95833333] ; [11.95833333 16.04166667],0
d3,1,0.408338,0.683635,[42 25] ; [15 13],[40.2 26.8] ; [16.8 11.2],0
n2,1,0.514084,0.425745,[14  9] ; [10  4],[14.91891892  8.08108108] ; [9.08108108 4.91891892],0
p2,1,0.544813,0.366692,[48 20] ; [18 10],[46.75 21.25] ; [19.25  8.75],0
p6,1,0.632711,0.228403,[21 47] ; [ 7 20],[20.04210526 47.95789474] ; [ 7.95789474 19.04210526],0
u2,1,0.700311,0.148148,[13 14] ; [5 4],[13.5 13.5] ; [4.5 4.5],0
a1,1,0.816609,0.053782,[ 4 64] ; [ 2 26],[ 4.25 63.75] ; [ 1.75 26.25],0
